kir_top20_natam_male_n
48.0
33.0
""
76.0
57.0
""
185.0
""
""
34.0
51.0
249.0
""
20.0
32.0
""
172.0
49.0
""
75.0
108.0
2002.0
124.0
30.0
211.0
34.0
71.0
90.0
216.0
""
""
28.0
145.0
111.0
71.0
97.0
""
""
""
""
90.0
""
""
""
""
""
255.0
388.0
99.0
64.0
104.0
77.0
33.0
""
""
96.0
""
48.0
""
28.0
""
118.0
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
119.0
""
""
""
32.0
174.0
""
25.0
52.0
354.0
110.0
33.0
""
""
60.0
""
""
27.0
38.0
280.0
107.0
86.0
285.0
157.0
91.0
102.0
261.0
68.0
191.0
30.0
53.0
44.0
38.0
95.0
""
127.0
79.0
62.0
""
""
""
28.0
""
""
""
""
38.0
32.0
""
""
""
322.0
""
""
""
29.0
""
51.0
43.0
""
""
64.0
46.0
""
""
""
""
55.0
257.0
""
29.0
26.0
118.0
25.0
""
245.0
201.0
54.0
53.0
20.0
""
""
""
65.0
299.0
""
534.0
143.0
59.0
376.0
53.0
734.0
103.0
106.0
127.0
28.0
28.0
117.0
280.0
87.0
121.0
28.0
26.0
103.0
""
""
152.0
""
""
34.0
""
""
45.0
100.0
""
""
""
""
""
101.0
""
99.0
52.0
26.0
44.0
57.0
71.0
134.0
""
31.0
35.0
29.0
37.0
""
""
70.0
59.0
41.0
178.0
24.0
""
""
""
37.0
""
160.0
25.0
""
""
98.0
45.0
55.0
33.0
""
""
""
""
""
23.0
""
""
21.0
""
""
35.0
""
""
27.0
191.0
""
""
412.0
30.0
107.0
""
62.0
67.0
""
78.0
""
29.0
""
29.0
55.0
69.0
65.0
635.0
44.0
259.0
320.0
42.0
66.0
""
""
70.0
27.0
26.0
92.0
48.0
""
31.0
186.0
""
""
313.0
107.0
""
33.0
325.0
""
117.0
68.0
""
75.0
122.0
42.0
""
""
26.0
""
109.0
955.0
43.0
193.0
54.0
""
""
""
60.0
""
""
21.0
26.0
""
25.0
228.0
282.0
243.0
110.0
92.0
61.0
""
95.0
""
""
""
""
32.0
21.0
""
45.0
""
52.0
100.0
376.0
""
491.0
61.0
43.0
""
250.0
""
""
35.0
45.0
""
""
30.0
33.0
""
""
""
""
""
""
""
""
""
21.0
21.0
""
22.0
""
312.0
""
""
""
""
""
""
""
""
""
178.0
""
""
""
164.0
""
273.0
65.0
""
""
""
""
""
""
115.0
""
23.0
""
25.0
61.0
43.0
70.0
""
184.0
39.0
""
127.0
92.0
49.0
90.0
417.0
""
""
106.0
127.0
""
""
""
26.0
""
""
""
""
33.0
48.0
33.0
""
67.0
86.0
""
108.0
""
32.0
""
""
""
""
""
""
""
68.0
""
""
""
488.0
114.0
""
""
131.0
81.0
43.0
""
221.0
28.0
""
""
""
""
127.0
82.0
107.0
""
""
203.0
""
""
""
""
""
""
213.0
""
""
58.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
133.0
614.0
""
""
""
""
21.0
""
""
""
""
""
""
""
47.0
""
44.0
235.0
296.0
27.0
63.0
36.0
""
468.0
33.0
419.0
36.0
29.0
""
""
50.0
21.0
132.0
49.0
419.0
""
59.0
1129.0
1579.0
642.0
211.0
3745.0
379.0
28.0
151.0
188.0
119.0
""
""
""
34.0
""
32.0
56.0
23.0
""
75.0
28.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
175.0
""
263.0
""
""
""
60.0
""
""
""
""
""
""
61.0
90.0
26.0
71.0
620.0
134.0
26.0
""
27.0
""
""
""
""
""
""
""
""
52.0
""
""
65.0
""
""
""
""
""
39.0
""
86.0
460.0
766.0
81.0
108.0
62.0
52.0
430.0
54.0
""
444.0
131.0
336.0
2636.0
501.0
289.0
43.0
397.0
25.0
943.0
21.0
""
152.0
171.0
91.0
45.0
144.0
83.0
118.0
499.0
108.0
22.0
386.0
189.0
223.0
165.0
""
""
""
158.0
198.0
""
""
73.0
247.0
""
""
48.0
55.0
42.0
""
""
249.0
136.0
31.0
""
34.0
""
98.0
""
""
""
236.0
""
""
20.0
1571.0
58.0
2744.0
172.0
883.0
54.0
""
2447.0
1208.0
223.0
3225.0
""
26.0
22.0
164.0
27.0
""
117.0
24.0
""
23.0
""
138.0
548.0
64.0
209.0
""
""
""
58.0
""
39.0
181.0
""
""
204.0
200.0
133.0
85.0
127.0
243.0
267.0
508.0
237.0
793.0
382.0
116.0
""
""
372.0
287.0
640.0
528.0
""
75.0
558.0
121.0
146.0
2118.0
103.0
""
28.0
62.0
366.0
178.0
220.0
665.0
47.0
513.0
76.0
337.0
180.0
20.0
""
147.0
""
""
""
214.0
129.0
1708.0
