frac_years_xw_asian_female
""
0.71102786
""
""
""
""
""
0.76108915
""
""
""
""
""
""
""
0.70891756
""
""
""
""
""
""
0.66173393
""
""
""
""
0.72436202
""
""
""
""
""
""
0.75621164
""
0.73347026
""
""
""
0.71533936
0.67951018
""
""
0.63526088
""
""
""
0.73646611
""
0.74868715
0.73276263
""
""
""
""
""
""
0.6804511
""
0.53988552
""
0.75218111
""
""
""
""
""
""
0.74426502
""
""
""
""
0.62479281
""
""
0.82396346
""
0.73530817
0.58442438
""
""
0.4961631
""
""
""
""
""
""
""
""
""
""
""
""
""
0.66547114
0.71791047
0.50464231
""
""
""
0.789433
0.61617601
""
0.76246297
0.34798491
""
0.5287084
0.68555969
""
""
""
0.64999324
""
""
""
""
""
""
""
""
""
""
""
""
0.83326375
""
""
""
""
""
0.62865156
""
""
0.67827249
""
""
""
""
""
""
""
""
0.84364837
""
""
""
""
""
""
""
0.63324273
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.59367961
""
0.73978961
""
""
0.64699662
""
""
0.82312375
""
""
""
""
""
0.6496557
0.62442678
""
""
0.80385059
""
""
0.71805274
""
""
0.80223012
0.73655468
0.64172149
0.76567006
0.52295339
0.67746758
0.72489917
""
0.7908262
0.78882658
0.60636193
""
0.80843103
0.71713728
0.7618314
""
0.82344717
0.70986772
""
""
0.8057918
0.59023136
0.77794528
0.73535305
0.67254388
""
0.68735844
0.79634082
0.72510505
0.73041743
0.83485782
0.82416749
0.77137941
0.7894277
0.80638027
0.75112426
0.83377033
0.79931444
0.70409811
""
0.70619786
0.81859028
0.80132776
0.77182978
0.78938478
0.69269121
""
0.72453338
0.50708872
0.80146784
0.63356328
0.62995946
0.65577185
""
0.7456401
""
""
""
0.7223475
0.63248336
""
""
""
""
""
""
""
""
0.69695896
""
0.5770148
""
""
0.77709633
0.64332211
""
""
""
""
""
""
""
0.74429059
""
""
""
""
0.77450675
""
""
""
0.71154976
""
""
""
""
""
""
""
""
""
""
""
0.73717499
""
""
""
""
""
""
""
""
""
""
0.68910813
""
0.77701521
0.80603796
0.77388245
0.69708335
0.78381932
0.73262674
0.77149254
0.71407229
0.67468601
0.80413127
0.61982554
0.60537922
0.69876802
""
0.75470817
""
0.78183001
0.77332079
""
0.75282347
0.6179446
0.69197369
0.55381578
""
""
""
0.80494446
0.78854954
0.66808492
""
""
""
""
""
""
""
""
0.70579684
0.74471235
0.72578233
""
0.67920983
""
""
""
0.63320959
0.68757427
0.66769165
""
""
""
0.75622457
0.61059374
0.62610447
0.78594899
0.49181703
0.71605843
0.68281269
""
0.74716944
0.69594222
0.75920606
0.67053682
0.72118813
