somecoll_other_female_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
""
""
""
""
""
36.0
""
""
""
21.0
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
124.0
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
22.0
""
""
""
""
408.0
""
""
109.0
""
""
26.0
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
""
""
23.0
""
""
""
""
""
20.0
""
""
""
414.0
""
""
36.0
""
""
258.0
""
33.0
106.0
""
""
""
""
109.0
""
""
""
1454.0
""
45.0
""
20.0
55.0
""
""
89.0
26.0
""
466.0
60.0
""
283.0
393.0
""
332.0
602.0
174.0
172.0
30.0
249.0
74.0
399.0
38.0
43.0
""
""
165.0
105.0
99.0
30.0
""
""
41.0
""
160.0
37.0
23.0
56.0
""
99.0
""
""
""
32.0
""
""
""
""
""
""
""
""
""
78.0
""
22.0
""
""
168.0
""
""
""
""
""
""
""
""
88.0
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
72.0
76.0
""
""
66.0
45.0
""
""
28.0
53.0
""
56.0
22.0
""
37.0
""
69.0
158.0
""
""
""
""
""
""
""
""
97.0
56.0
""
""
""
""
""
""
""
""
""
""
""
85.0
""
""
""
""
""
""
26.0
""
""
""
""
26.0
""
""
126.0
""
""
60.0
""
121.0
28.0
87.0
29.0
86.0
22.0
""
""
23.0
23.0
30.0
46.0
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
40.0
""
59.0
""
""
22.0
""
""
""
""
""
""
""
81.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
64.0
""
""
""
""
""
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
251.0
1659.0
75.0
256.0
31.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
456.0
""
""
""
""
""
107.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
""
""
89.0
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
