kfr_top01_white_pooled_n
40751
18388
4331
52081
28321
4457
56638
5801
3996
21300
26421
79149
4057
10264
25334
2912
2210
25549
3616
3285
28064
28494
20421
8901
69460
2062
10465
29169
65841
5833
6493
14246
54439
33134
3981
32791
6180
9196
1266
1324
25144
5050
2748
1429
3318
3570
66706
18743
45239
11654
23348
34677
14305
956
1675
27254
4118
1442
1405
7879
5047
40661
2272
7011
10127
8293
2810
5269
6077
8617
3319
5119
4254
12212
5674
3468
11517
8946
3562
54499
6133
12988
7224
13842
84697
10865
11526
16339
33894
21212
15818
6698
7709
34092
7467
2846
14990
28283
133444
35735
47112
97821
75587
39340
42978
93724
37685
77433
8719
24370
16950
11025
35211
2258
34090
55577
28046
1742
1664
1824
12420
6756
5456
6383
4981
21926
20962
5624
3445
3591
173102
8409
11561
5530
18560
8540
31904
14934
2299
6215
21237
14534
1768
3215
8049
1927
14832
7941
4288
4211
10323
58273
12120
1803
46658
33410
3588
19956
4640
12235
1718
4970
19550
130454
2331
199326
10413
10580
3482
27123
307221
33843
11573
44166
11294
5010
38854
99254
13453
7328
8294
9879
93914
10995
9582
147598
4169
13609
37727
3024
6844
16366
77887
4412
6109
14972
23217
24385
64881
9242
50919
33210
12126
16837
32185
46703
104749
14313
21369
26616
20718
32446
4729
4740
46968
58568
35682
168600
16714
17044
9811
15289
19133
10662
112915
29002
21317
31943
168576
60648
52102
28602
3859
17819
3160
9860
3947
23618
1906
11239
25556
11742
13199
31512
11190
9535
16695
79760
12021
23068
153802
27688
16684
3691
19555
11822
8207
69451
14651
58335
18063
43637
81491
77174
52208
319755
73082
238544
298040
36360
25942
9812
1547
21219
2131
5329
51676
22727
7100
18783
96483
484
394
261876
93202
9030
40995
186320
12069
4189
3470
2488
5611
8684
5626
7085
3036
14337
10599
25070
203133
4413
12745
20918
6508
7530
7013
10196
19545
3043
15615
21571
13018
17839
48267
26268
5722
35102
27005
19139
11727
43887
15977
8217
9517
16422
27126
12527
11546
32029
7009
43958
46896
109336
10470
360434
49217
9051
12461
162841
3273
7100
21625
32666
13084
4474
7945
6002
4333
5167
12522
8382
10949
2371
12667
18484
2818
14423
6037
6835
14693
1912
24958
230
1175
5414
4432
2168
1299
953
2852
2678
11263
222
628
242
1443
695
446
7161
1205
140
95
274
763
59
444
381
769
1239
2866
1709
2490
3537
1545
18050
4154
1831
1507
140
653
4610
8805
2617
2723
10379
17273
1427
3717
259
12006
7666
1399
898
528
1005
4421
2736
2025
1279
680
473
2100
267
8290
5335
6458
5822
6320
5112
5154
9885
46773
3594
3729
5141
15596
86
200
70
89
6071
9776
1880
661
5638
6411
3803
2586
7421
16817
2050
25163
3977
4661
67144
3699
1522
151
678
1139
3916
48875
365
334
10072
1122
850
742
556
1060
1648
827
344
1954
4735
4209
1201
5833
183
2316
34675
147962
2053
84
2892
4527
7476
3950
987
544
2039
1075
1165
6043
2203
1863
11768
24455
40332
7397
4718
5226
4121
12645
9527
124441
14080
7928
3042
1683
23007
6622
37290
11320
21566
4943
10371
21595
7384
26724
5940
60868
3095
2345
8542
18465
4626
445
1812
41
6391
113
5080
16769
4953
1434
16979
4702
567
359
38
2398
3160
1266
825
2145
1336
1474
2052
8820
2519
823
62126
3562
65575
1398
4179
84
17978
1487
511
364
170
321
1046
8163
19558
9795
20862
196814
29738
9807
5094
7278
1260
379
1141
1088
176
2958
1317
1875
14431
531
765
11384
2184
346
1485
4139
3720
15854
5563
19560
115036
166435
13172
27146
19664
14556
11943
3655
490
7535
4609
5171
76562
4122
12206
13657
5523
28
24456
312
25
28
97
52
744
2314
751
989
101
64
30
7048
1625
1352
8838
1226
3754
1488
3047
3895
1332
45
359
13893
100
914
7103
6523
4902
656
1704
9582
11083
5315
1294
8326
90
18414
801
2650
938
6070
490
277
1985
31906
491
175164
1913
46969
15895
867
9927
17783
2162
4702
2524
10336
3983
41009
5271
585
13706
4721
876
2606
121
42423
139573
17410
29639
986
767
2850
4116
1683
9290
11002
554
721
17668
8499
21269
3206
13359
38354
32966
51218
24042
131273
80822
4605
1659
1085
30870
34956
153184
79730
115
1413
111155
7184
31216
436493
7543
4467
5703
7208
48178
6280
18719
128481
4770
71314
5699
14941
25471
4224
615
13234
136
525
662
12417
7071
231539
