grad_asian_male_n
""
""
""
""
""
""
47.0
""
""
""
""
116.0
""
""
20.0
""
""
""
""
""
""
20.0
""
""
77.0
""
""
""
135.0
""
""
""
69.0
34.0
""
24.0
""
""
""
""
""
""
""
""
""
""
113.0
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
130.0
31.0
""
167.0
55.0
""
""
130.0
21.0
84.0
""
""
""
""
25.0
""
30.0
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
264.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
208.0
""
790.0
""
""
""
""
331.0
29.0
""
""
""
""
""
53.0
""
""
""
""
26.0
""
""
62.0
""
""
20.0
""
""
""
37.0
""
""
""
""
""
23.0
""
""
""
""
""
""
26.0
67.0
""
""
""
""
""
""
""
""
""
""
103.0
""
""
""
""
""
""
69.0
""
""
""
71.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
85.0
""
""
""
""
""
""
35.0
""
30.0
""
33.0
69.0
41.0
47.0
2431.0
128.0
1115.0
532.0
40.0
""
""
""
""
""
""
23.0
""
""
""
59.0
""
""
450.0
54.0
""
32.0
202.0
""
""
""
""
""
""
""
""
""
""
""
""
353.0
""
""
""
""
""
""
""
""
""
""
""
""
26.0
42.0
""
""
29.0
21.0
""
""
33.0
""
""
""
""
""
""
""
""
""
20.0
21.0
79.0
""
1067.0
20.0
""
""
104.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
38.0
""
""
""
""
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
178.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
""
""
""
84.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
83.0
""
54.0
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
565.0
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
162.0
362.0
""
""
""
""
""
""
""
""
""
""
92.0
""
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
872.0
23.0
84.0
""
""
""
""
""
22.0
""
152.0
""
32.0
""
""
""
""
""
""
53.0
""
""
""
""
""
""
""
""
""
""
""
69.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
107.0
87.0
243.0
60.0
555.0
1083.0
""
""
""
46.0
46.0
2095.0
209.0
""
""
681.0
""
46.0
4474.0
""
""
""
""
20.0
""
""
213.0
""
35.0
""
""
""
""
""
""
""
""
""
""
""
698.0
