kid_natam_female_n
130
66
13
209
132
14
489
14
14
81
105
663
17
57
123
20
1290
163
57
173
285
9184
497
61
593
140
198
247
480
24
25
70
477
244
262
208
43
44
8
6
267
24
13
17
13
14
645
1523
217
231
320
196
76
4
10
253
22
285
3
46
28
330
10
38
58
32
6
27
8
31
9
16
17
22
44
5
37
24
18
263
48
38
23
64
328
42
51
128
738
265
83
19
15
128
35
19
65
137
739
230
164
772
419
202
230
527
161
433
70
167
92
68
223
16
316
196
199
15
4
8
79
33
26
51
15
126
96
15
20
13
802
29
47
28
89
42
133
113
16
23
227
131
8
36
45
20
157
1088
20
38
35
311
47
8
585
738
214
123
50
23
7
18
114
777
10
1317
462
180
1310
129
2346
290
333
307
116
60
394
895
326
312
76
89
308
31
32
430
6
29
97
10
8
61
276
12
8
26
49
68
242
23
331
114
44
106
110
234
370
39
82
94
83
68
11
11
182
171
126
534
50
52
15
25
129
41
493
61
35
38
328
119
194
79
11
50
8
37
18
62
3
28
67
26
48
84
18
12
64
860
45
70
1447
77
392
7
184
572
15
237
14
107
63
85
148
161
223
3974
125
1043
1123
131
200
43
12
271
282
199
281
205
62
84
818
0
33
1202
325
37
133
1028
22
576
227
80
614
568
189
25
126
39
21
345
3130
132
1069
138
18
13
9
245
47
6
52
51
48
92
552
933
1227
243
350
203
31
268
37
17
32
42
75
34
22
123
15
125
183
1135
25
1417
151
116
56
581
10
12
44
109
32
29
124
61
35
43
25
22
31
7
29
73
14
87
64
36
92
55
1077
47
39
30
16
7
8
0
4
9
697
11
2
0
953
22
1978
228
14
0
2
0
14
4
1222
6
168
21
117
705
149
198
25
593
89
38
809
1246
154
204
2695
38
33
355
399
12
35
2
72
30
10
5
1
226
226
113
29
595
785
25
361
1
104
63
18
21
15
12
5
19
156
10
9
17
1681
1427
342
6
1999
217
84
20
513
80
14
23
17
24
435
851
267
56
30
566
10
9
2
43
1
17
506
7
5
159
30
10
0
2
2
5
5
3
7
17
39
19
66
0
26
268
1693
18
2
27
33
49
12
2
1
9
2
5
34
195
10
100
755
787
37
144
54
35
1324
52
927
96
47
3
6
115
48
345
153
1527
40
116
4248
6371
2232
571
12284
1251
74
463
476
681
21
52
2
115
1
38
116
41
18
144
74
13
6
0
23
36
21
7
40
22
36
13
49
18
5
403
24
523
10
13
2
129
2
5
15
10
4
31
95
191
49
114
1298
251
36
28
40
7
2
16
29
91
17
4
6
90
1
7
140
19
2
18
27
27
93
36
239
1003
1677
160
188
107
155
1339
179
45
1897
433
1753
8142
1824
1046
128
1647
162
4222
240
106
1282
1337
969
352
787
429
753
2575
977
161
1979
1261
1724
799
15
27
17
1293
1564
24
0
698
700
2
21
111
200
117
38
31
1274
370
72
27
89
0
151
18
35
40
1651
8
0
65
7605
397
11415
1020
3875
153
11
8018
6901
2154
31513
45
89
40
434
60
9
413
83
81
97
1
410
1579
144
968
10
8
23
605
4
88
906
40
33
806
1221
338
361
437
821
818
1836
994
2473
913
411
105
86
1185
1262
1656
1578
116
306
1912
585
417
7815
557
58
117
126
1359
1403
838
1765
335
1599
274
1725
621
64
5
711
2
23
11
808
645
6170
