kir_stycz_hisp_male_n
25.0
74.0
""
""
65.0
""
""
86.0
""
""
26.0
""
""
""
""
38.0
22.0
""
""
""
""
31.0
82.0
""
45.0
24.0
""
40.0
""
29.0
""
""
""
""
43.0
""
244.0
""
23.0
""
47.0
41.0
""
""
199.0
""
""
90.0
172.0
""
98.0
89.0
""
""
""
""
34.0
22.0
73.0
""
""
""
46.0
""
""
""
""
""
""
552.0
""
""
""
""
137.0
""
""
37.0
34.0
""
""
""
""
44.0
""
""
""
""
""
""
""
""
""
""
""
""
33.0
1188.0
346.0
229.0
232.0
62.0
60.0
23796.0
654.0
212.0
8887.0
1640.0
1266.0
438.0
2388.0
""
""
""
568.0
""
""
""
54.0
""
""
""
""
""
""
""
40.0
80.0
28.0
""
""
""
""
62.0
""
""
75.0
""
24.0
41.0
""
""
24.0
""
""
31.0
63.0
""
""
""
""
""
""
39.0
""
""
26.0
30.0
""
""
""
""
""
""
""
""
""
""
55.0
""
351.0
""
""
58.0
""
""
214.0
61.0
""
""
31.0
""
400.0
42.0
""
46.0
8387.0
""
91.0
819.0
100.0
199.0
5943.0
80.0
466.0
12983.0
192.0
204.0
4168.0
54.0
9952.0
2079.0
144.0
80.0
138618.0
2221.0
646.0
50.0
404.0
3451.0
24.0
""
6075.0
1073.0
162.0
26381.0
1072.0
28.0
23684.0
7236.0
1093.0
29074.0
24893.0
3818.0
6908.0
1288.0
5357.0
4227.0
12498.0
2829.0
362.0
""
66.0
2808.0
2349.0
5928.0
777.0
280.0
""
7076.0
139.0
9732.0
1720.0
476.0
4655.0
145.0
2606.0
28.0
""
59.0
1038.0
226.0
28.0
""
""
61.0
26.0
28.0
""
133.0
6965.0
""
474.0
48.0
46.0
2235.0
127.0
157.0
""
""
""
""
63.0
""
3014.0
""
""
48.0
132.0
793.0
168.0
""
83.0
425.0
""
54.0
71.0
172.0
324.0
327.0
""
32.0
23.0
""
116.0
2017.0
""
148.0
""
24.0
""
""
""
""
32.0
""
1854.0
28.0
3125.0
3137.0
158.0
202.0
2530.0
493.0
138.0
258.0
170.0
886.0
175.0
1456.0
258.0
""
177.0
""
978.0
9153.0
""
212.0
133.0
370.0
1175.0
37.0
94.0
""
1323.0
307.0
109.0
""
60.0
""
20.0
""
""
143.0
312.0
390.0
297.0
6293.0
""
258.0
26.0
""
""
560.0
1591.0
186.0
41.0
""
""
755.0
590.0
250.0
37297.0
383.0
51.0
289.0
216.0
6642.0
2590.0
4441.0
1014.0
1545.0
1738.0
86.0
180.0
796.0
146.0
523.0
2009.0
40.0
34.0
""
""
1169.0
""
42.0
""
""
""
""
""
""
""
57.0
77.0
""
""
65.0
""
""
""
25.0
""
""
""
""
44.0
""
69.0
23.0
""
198.0
95.0
""
206.0
101.0
""
479.0
""
1001.0
34.0
45.0
117.0
""
91.0
""
""
""
""
""
1001.0
""
""
55.0
124.0
""
""
21.0
""
""
""
""
132.0
78.0
150.0
""
885.0
20.0
""
48.0
72.0
""
""
1569.0
64.0
627.0
""
""
23.0
""
""
144.0
161.0
""
52.0
""
""
""
""
""
""
""
""
""
""
131.0
""
""
76.0
25.0
""
""
""
""
""
""
""
""
""
""
""
66.0
316.0
48.0
23.0
""
84.0
38.0
""
""
""
72.0
""
""
""
""
""
236.0
92.0
""
""
""
24.0
""
""
24.0
""
""
""
""
""
""
""
61.0
36.0
""
""
30.0
""
""
""
""
25.0
56.0
20.0
""
""
""
""
""
""
569.0
""
""
""
""
328.0
2188.0
120.0
330.0
511.0
""
180.0
""
""
205.0
""
""
23.0
255.0
""
""
""
1014.0
""
130.0
""
""
""
89.0
31.0
25.0
40.0
75.0
""
83.0
100.0
137.0
""
""
""
23.0
38.0
181.0
44.0
""
75.0
108.0
72.0
""
""
233.0
""
43.0
""
""
""
232.0
""
67.0
""
""
35.0
96.0
""
""
""
""
28.0
32824.0
""
""
171.0
""
24.0
3150.0
""
""
""
""
""
""
""
""
""
82.0
""
""
""
""
64.0
45.0
25.0
""
""
""
""
""
3623.0
203.0
298.0
54.0
3020.0
263.0
""
44.0
47.0
""
""
723.0
132.0
45.0
""
183.0
""
""
""
""
""
""
""
""
""
""
141.0
183.0
""
""
""
""
""
""
""
""
544.0
254.0
""
81.0
""
""
""
""
32.0
71.0
""
102.0
""
25.0
""
""
""
203.0
2320.0
20.0
637.0
23.0
55.0
495.0
43.0
""
""
35.0
""
""
79.0
68.0
""
85.0
""
22.0
20.0
""
31.0
40.0
40.0
368.0
""
47.0
""
""
""
""
78.0
""
103.0
42.0
""
63.0
""
68.0
""
28.0
37.0
""
""
""
73.0
""
101.0
47.0
2423.0
143.0
32.0
66.0
914.0
102.0
""
25.0
37.0
