lpov_nbh_pooled_female_n
21862
9909
2283
29684
19385
3250
41558
3119
2126
15112
17122
60876
2171
5828
15642
1537
1419
14677
1979
3323
25026
30240
14585
9256
54092
2528
9464
23825
57471
4799
5912
9140
45595
28396
5624
23198
5191
7489
1771
2126
26429
5088
2218
939
3418
4462
66261
13740
38365
9361
17156
26082
12644
948
1306
25617
3401
1031
1088
8015
4229
29390
1829
4123
5321
4436
1444
2772
3196
4456
4222
5966
7508
9273
4351
1936
8293
5184
2490
56482
6736
7399
3843
8104
55819
6055
6538
11967
23074
12632
9197
3613
3985
21584
3935
1508
8262
17692
98073
27170
29895
159739
62465
27596
28072
82328
25330
59382
6081
15870
12403
11143
33132
2975
29366
37459
26126
1716
1415
1852
10541
5073
4257
6412
4196
19696
18708
4433
3424
3369
158580
6407
8447
3682
11601
6643
22655
15992
2598
5858
17179
9429
1623
2928
8917
2318
10891
7324
4548
4435
5716
45803
11662
2756
31873
27378
3159
18990
3455
6605
943
2532
13417
106915
1776
192016
5523
5482
2268
15042
214411
21206
6271
26056
5916
2735
23378
59397
7112
3945
4243
5098
56760
5759
5197
88628
2228
6977
22447
1607
3752
10256
48549
2312
3311
8018
12643
13434
39486
5144
31820
18743
6432
9346
18142
27391
67437
7566
11476
14798
10871
17792
2453
2502
35102
31870
21504
111223
8642
9030
5303
8053
10119
5609
70802
15705
11093
16498
95593
34917
27977
16718
1935
9482
1634
5617
2017
13016
958
5827
13433
6517
7481
17791
5813
5370
10863
45039
6430
12339
93570
15007
8635
1872
10924
6215
4550
39697
7579
32464
9622
26838
47298
44675
34410
403731
45789
216906
223998
26518
19030
6436
1290
11319
1200
2759
27581
12197
3699
10117
58793
275
227
168650
50754
4814
26240
126982
6541
2244
1850
1328
2944
4630
2952
3758
1599
7560
5781
13080
121092
2265
6793
11253
3498
3889
3594
5569
10714
1532
8814
11569
6793
9648
25690
14553
3218
18412
14177
10204
5969
24519
8261
4344
4981
9278
16406
6792
6213
18949
3712
25122
28391
73833
6784
323786
29866
5557
6310
109864
1748
3783
12567
18222
7101
2385
4194
3264
2267
2776
7010
4892
6145
1282
6725
10407
1505
8305
3273
5212
8011
992
13219
109
604
2948
2479
1200
702
518
1479
1377
5933
118
343
127
889
366
507
3966
618
64
45
121
393
35
347
192
436
684
1489
989
1314
1912
777
9744
2156
934
915
182
385
2427
5032
1419
1399
5765
9342
717
1939
124
6244
3921
756
486
257
537
2283
1458
1060
694
475
236
1196
152
4487
2873
3268
3220
3253
2669
2820
5195
26226
1888
1895
2663
9239
171
133
42
204
3699
5866
1092
534
3081
3472
2025
1378
4235
9832
1203
14257
2102
2443
40401
2136
835
81
377
574
2164
33207
223
192
9159
1040
489
380
280
540
852
492
185
1012
2577
2474
689
3610
86
1359
22350
104303
1108
43
2133
2484
4190
2031
522
278
1023
550
596
3447
1195
927
7751
14929
26238
4125
2772
2824
2552
7700
5770
81855
7646
4355
1594
799
13289
3436
20063
6094
12376
2645
5843
14108
6988
16476
3582
43638
2590
1325
5196
45397
4056
375
2539
63
6234
234
5070
15032
4431
1734
13172
3043
402
282
23
3034
2748
851
453
1808
946
1065
1822
8131
1983
835
53766
2313
85990
1881
2958
65
16434
2040
894
707
1091
947
10196
43028
26848
8412
17583
211039
23438
7645
3816
6500
1053
280
1697
2657
2570
2887
1105
1523
10418
403
591
7898
1300
214
1144
2814
2384
13098
4217
18932
90209
152874
8676
19052
14381
10839
9694
2687
418
5186
2893
3454
55420
2953
7733
8847
3831
66
17198
196
27
179
247
125
606
1597
501
743
464
172
72
5018
1046
940
5156
639
2061
855
1884
2341
706
20
257
7873
57
508
3871
3533
2666
345
923
5354
5996
2851
849
4684
46
39965
1682
4994
1889
7086
528
245
1809
35472
709
135635
1670
43355
9483
495
9003
12118
1494
6919
4735
6008
2679
24066
3472
307
7526
2660
490
1373
61
23084
80912
9468
16481
544
402
1533
2257
906
5206
6675
332
408
10737
5227
12545
2011
7556
36822
34117
64587
17698
112737
96956
2963
1091
626
21318
24030
171308
68386
104
933
115072
15067
26084
608544
4095
2473
4055
4531
27123
3548
10568
80400
3104
42735
3304
12064
16907
2264
335
7475
79
288
375
7520
4076
156498
