hs_other_female_n
47.0
25.0
""
92.0
53.0
""
139.0
""
""
26.0
42.0
164.0
""
""
43.0
""
""
40.0
""
""
47.0
190.0
41.0
""
192.0
""
32.0
120.0
333.0
""
""
28.0
167.0
174.0
""
61.0
""
24.0
""
""
46.0
""
""
""
""
""
212.0
35.0
73.0
30.0
69.0
68.0
27.0
""
""
88.0
""
""
""
24.0
""
105.0
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
129.0
""
""
""
22.0
145.0
""
""
74.0
97.0
36.0
""
""
""
50.0
""
""
""
42.0
341.0
63.0
91.0
490.0
190.0
67.0
126.0
325.0
58.0
222.0
""
49.0
35.0
37.0
100.0
""
114.0
75.0
118.0
""
""
""
29.0
""
""
36.0
""
58.0
61.0
""
""
""
511.0
""
""
""
25.0
""
63.0
80.0
""
""
44.0
59.0
""
""
""
""
36.0
""
""
""
""
106.0
""
""
213.0
55.0
""
42.0
""
""
""
""
73.0
472.0
""
1276.0
27.0
""
40.0
58.0
873.0
114.0
35.0
103.0
23.0
""
124.0
243.0
23.0
34.0
""
""
232.0
23.0
""
228.0
""
""
78.0
""
""
71.0
146.0
""
""
21.0
32.0
37.0
131.0
""
122.0
56.0
""
24.0
39.0
86.0
219.0
""
24.0
41.0
34.0
50.0
""
""
92.0
97.0
87.0
370.0
20.0
30.0
""
21.0
36.0
""
288.0
40.0
35.0
41.0
349.0
91.0
84.0
46.0
""
25.0
""
""
""
42.0
""
""
35.0
""
25.0
79.0
""
22.0
34.0
140.0
""
46.0
310.0
59.0
23.0
""
48.0
27.0
""
132.0
21.0
73.0
27.0
80.0
166.0
154.0
160.0
1867.0
164.0
804.0
798.0
100.0
98.0
""
""
45.0
""
""
131.0
63.0
21.0
51.0
320.0
""
""
730.0
141.0
""
95.0
484.0
28.0
""
""
""
""
""
""
""
""
""
""
55.0
682.0
""
48.0
38.0
""
""
""
""
32.0
""
""
36.0
""
28.0
79.0
61.0
23.0
60.0
40.0
38.0
""
119.0
20.0
""
""
34.0
66.0
21.0
26.0
72.0
""
86.0
92.0
273.0
21.0
1109.0
103.0
40.0
""
356.0
""
""
40.0
57.0
23.0
""
""
""
""
""
20.0
""
23.0
""
20.0
27.0
""
25.0
""
""
22.0
""
66.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
44.0
""
""
20.0
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
107.0
""
""
""
66.0
""
""
""
""
""
40.0
""
""
""
""
""
""
""
29.0
""
63.0
""
""
165.0
""
""
""
""
""
""
275.0
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
88.0
535.0
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
64.0
106.0
129.0
""
23.0
""
""
78.0
35.0
355.0
32.0
""
""
""
51.0
""
72.0
""
105.0
""
""
178.0
159.0
109.0
41.0
594.0
60.0
""
35.0
144.0
26.0
""
""
""
22.0
""
""
39.0
23.0
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
210.0
""
278.0
""
""
""
30.0
""
""
""
""
""
""
36.0
59.0
21.0
33.0
602.0
59.0
""
""
25.0
""
""
""
""
""
""
""
""
36.0
""
""
28.0
""
""
""
""
""
31.0
""
169.0
324.0
492.0
26.0
46.0
40.0
34.0
144.0
""
""
61.0
""
44.0
587.0
73.0
38.0
""
55.0
""
257.0
""
""
""
""
""
""
40.0
20.0
""
""
""
""
60.0
""
""
44.0
""
""
""
""
""
""
""
""
44.0
""
""
""
21.0
""
""
""
42.0
35.0
""
""
""
""
2689.0
133.0
368.0
""
42.0
""
""
""
174.0
""
645.0
""
231.0
32.0
""
25.0
72.0
""
34.0
404.0
20.0
""
109.0
""
""
20.0
""
""
""
""
104.0
358.0
35.0
43.0
""
""
""
""
""
""
48.0
""
""
83.0
54.0
77.0
""
51.0
263.0
198.0
303.0
144.0
1092.0
879.0
""
""
""
134.0
218.0
2029.0
583.0
""
""
1029.0
35.0
174.0
4048.0
21.0
""
""
20.0
172.0
26.0
81.0
662.0
21.0
287.0
24.0
51.0
88.0
""
""
34.0
""
""
""
48.0
38.0
1755.0
