kfr_other_female_n
251.0
126.0
21.0
461.0
269.0
50.0
683.0
25.0
20.0
165.0
222.0
1012.0
20.0
86.0
227.0
""
36.0
223.0
26.0
53.0
295.0
1026.0
215.0
105.0
1034.0
30.0
195.0
637.0
1736.0
62.0
81.0
144.0
1001.0
990.0
88.0
423.0
24.0
76.0
""
""
240.0
41.0
""
""
23.0
43.0
1099.0
223.0
406.0
144.0
376.0
334.0
112.0
""
""
423.0
34.0
30.0
""
80.0
53.0
499.0
""
59.0
56.0
56.0
""
""
33.0
34.0
32.0
45.0
64.0
108.0
37.0
""
59.0
43.0
22.0
775.0
65.0
111.0
31.0
90.0
863.0
70.0
99.0
443.0
499.0
176.0
94.0
39.0
35.0
293.0
46.0
21.0
99.0
215.0
2080.0
409.0
499.0
3146.0
1185.0
421.0
659.0
1963.0
485.0
1369.0
97.0
283.0
235.0
198.0
594.0
24.0
593.0
475.0
608.0
24.0
""
""
146.0
69.0
69.0
202.0
56.0
366.0
295.0
39.0
25.0
27.0
3099.0
60.0
133.0
32.0
139.0
80.0
343.0
406.0
29.0
66.0
300.0
296.0
""
34.0
109.0
""
228.0
75.0
35.0
27.0
48.0
490.0
111.0
21.0
1145.0
310.0
42.0
244.0
39.0
64.0
""
""
420.0
2515.0
25.0
6787.0
136.0
58.0
131.0
245.0
4431.0
543.0
103.0
380.0
93.0
44.0
527.0
1137.0
102.0
96.0
64.0
56.0
1218.0
89.0
88.0
1355.0
21.0
59.0
349.0
""
49.0
339.0
777.0
26.0
28.0
116.0
171.0
181.0
609.0
49.0
583.0
276.0
69.0
149.0
274.0
463.0
1191.0
108.0
136.0
209.0
170.0
253.0
""
26.0
459.0
472.0
434.0
1919.0
109.0
166.0
68.0
112.0
155.0
82.0
1597.0
211.0
130.0
161.0
1411.0
486.0
384.0
268.0
""
137.0
20.0
85.0
21.0
210.0
""
36.0
160.0
84.0
145.0
351.0
78.0
93.0
219.0
849.0
97.0
223.0
1586.0
263.0
115.0
""
236.0
95.0
62.0
757.0
77.0
403.0
118.0
451.0
686.0
782.0
841.0
10222.0
792.0
4517.0
4423.0
539.0
470.0
103.0
27.0
177.0
24.0
41.0
509.0
228.0
64.0
170.0
1960.0
""
""
4466.0
801.0
84.0
513.0
2767.0
118.0
46.0
27.0
""
57.0
60.0
40.0
23.0
""
64.0
61.0
179.0
3142.0
39.0
140.0
181.0
38.0
43.0
26.0
53.0
120.0
""
121.0
200.0
72.0
115.0
312.0
254.0
60.0
208.0
155.0
135.0
48.0
479.0
79.0
61.0
41.0
161.0
287.0
97.0
103.0
361.0
42.0
358.0
495.0
1344.0
109.0
5721.0
502.0
194.0
73.0
1891.0
23.0
35.0
174.0
269.0
110.0
36.0
60.0
53.0
32.0
33.0
79.0
62.0
86.0
21.0
73.0
131.0
""
98.0
49.0
78.0
100.0
""
249.0
""
""
52.0
34.0
""
""
""
""
""
64.0
""
""
""
""
""
29.0
113.0
""
""
""
""
""
""
22.0
""
""
""
20.0
31.0
36.0
23.0
""
150.0
23.0
""
23.0
""
""
27.0
129.0
""
20.0
120.0
132.0
""
31.0
""
64.0
40.0
""
""
""
""
34.0
""
""
""
""
""
24.0
""
43.0
23.0
29.0
38.0
34.0
""
35.0
59.0
409.0
""
""
21.0
318.0
29.0
""
""
""
56.0
151.0
""
""
28.0
25.0
""
""
46.0
148.0
24.0
292.0
20.0
29.0
876.0
26.0
""
""
""
""
35.0
1503.0
""
""
168.0
22.0
""
""
""
""
""
""
""
""
26.0
""
""
68.0
""
25.0
417.0
2843.0
""
""
31.0
38.0
88.0
""
""
""
""
""
""
80.0
26.0
""
333.0
442.0
722.0
66.0
81.0
47.0
42.0
324.0
172.0
1860.0
138.0
74.0
""
""
272.0
49.0
381.0
106.0
405.0
53.0
90.0
680.0
581.0
554.0
196.0
2668.0
216.0
28.0
192.0
794.0
142.0
""
28.0
""
94.0
""
59.0
199.0
124.0
""
192.0
40.0
""
""
""
27.0
48.0
""
""
37.0
""
24.0
""
73.0
22.0
""
1136.0
22.0
1708.0
31.0
40.0
""
178.0
22.0
""
""
""
""
43.0
188.0
364.0
111.0
212.0
3537.0
287.0
91.0
48.0
120.0
""
""
""
28.0
""
28.0
""
""
209.0
""
""
202.0
""
""
22.0
29.0
21.0
172.0
42.0
1008.0
1783.0
2884.0
129.0
267.0
213.0
162.0
632.0
80.0
""
270.0
72.0
158.0
2758.0
249.0
217.0
133.0
169.0
""
1375.0
""
""
""
23.0
""
36.0
157.0
56.0
74.0
38.0
""
""
339.0
39.0
25.0
201.0
""
34.0
""
48.0
53.0
""
""
""
177.0
""
""
68.0
77.0
52.0
""
""
181.0
151.0
31.0
""
86.0
""
13333.0
643.0
1742.0
26.0
151.0
""
""
20.0
937.0
""
3551.0
""
1260.0
165.0
""
166.0
300.0
42.0
192.0
1968.0
99.0
39.0
612.0
92.0
""
140.0
36.0
""
20.0
""
516.0
2140.0
160.0
249.0
""
""
23.0
28.0
""
65.0
254.0
""
""
384.0
230.0
414.0
75.0
257.0
1413.0
1028.0
1727.0
766.0
6136.0
4866.0
57.0
""
20.0
787.0
1043.0
11191.0
3249.0
""
30.0
5788.0
221.0
934.0
21888.0
82.0
73.0
94.0
95.0
928.0
115.0
385.0
3515.0
91.0
1517.0
126.0
350.0
490.0
57.0
""
228.0
""
""
""
255.0
182.0
9852.0
