working_natam_female_n
""
42.0
""
""
""
""
""
24.0
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
26.0
""
49.0
""
""
""
""
""
""
""
""
58.0
66.0
""
""
143.0
""
""
""
""
130.0
""
""
21.0
114.0
""
29.0
38.0
""
""
""
""
""
""
""
""
""
""
""
""
44.0
""
""
30.0
""
794.0
297.0
""
""
55.0
224.0
""
""
113.0
100.0
49.0
53.0
193.0
31.0
86.0
159.0
116.0
144.0
""
54.0
49.0
""
""
26.0
""
""
115.0
1000.0
36.0
1067.0
188.0
174.0
""
67.0
2274.0
131.0
1238.0
878.0
296.0
""
64.0
74.0
""
""
""
166.0
""
""
""
""
""
""
""
""
""
""
""
""
76.0
""
""
""
""
""
21.0
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
76.0
""
""
33.0
""
""
114.0
""
""
""
""
""
90.0
""
""
""
233.0
""
25.0
114.0
""
""
145.0
55.0
47.0
236.0
20.0
220.0
59.0
67.0
228.0
66.0
27.0
26.0
925.0
49.0
25.0
""
85.0
63.0
""
""
66.0
26.0
35.0
341.0
90.0
""
447.0
333.0
""
344.0
514.0
59.0
138.0
48.0
71.0
79.0
256.0
45.0
123.0
""
45.0
116.0
137.0
161.0
43.0
57.0
""
146.0
""
118.0
66.0
63.0
153.0
""
132.0
""
""
""
49.0
""
""
""
""
""
""
""
""
""
221.0
""
45.0
""
""
189.0
""
""
""
""
""
""
""
""
155.0
""
""
""
52.0
62.0
""
""
""
53.0
""
""
92.0
""
""
""
""
""
""
""
""
57.0
""
""
""
""
""
""
""
""
""
""
52.0
""
32.0
54.0
""
""
50.0
90.0
""
21.0
32.0
40.0
28.0
48.0
23.0
""
54.0
""
82.0
156.0
""
""
""
36.0
""
""
""
""
120.0
106.0
""
""
""
""
22.0
""
""
""
""
21.0
""
113.0
""
""
""
""
""
29.0
56.0
28.0
""
""
""
32.0
33.0
""
100.0
""
""
60.0
""
115.0
""
88.0
37.0
102.0
61.0
""
""
39.0
44.0
43.0
43.0
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
26.0
""
""
""
""
58.0
""
""
""
""
""
""
""
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
65.0
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
88.0
""
""
103.0
""
92.0
""
21.0
98.0
""
""
""
32.0
""
""
""
59.0
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
45.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
297.0
""
""
""
""
""
67.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
24.0
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
""
81.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
