lpov_nbh_black_female_n
493.0
727.0
603.0
142.0
37.0
377.0
497.0
1381.0
801.0
51.0
197.0
318.0
628.0
70.0
41.0
420.0
422.0
288.0
133.0
265.0
150.0
39.0
697.0
1522.0
42.0
695.0
510.0
804.0
99.0
60.0
118.0
405.0
452.0
326.0
1274.0
82.0
13205.0
56.0
457.0
248.0
1170.0
431.0
526.0
822.0
3000.0
570.0
25.0
59.0
6907.0
344.0
5902.0
690.0
367.0
478.0
542.0
207.0
1038.0
205.0
547.0
413.0
1308.0
540.0
2386.0
185.0
189.0
371.0
""
""
""
856.0
""
""
""
""
374.0
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
396.0
73.0
""
""
""
""
5512.0
69.0
38.0
1180.0
206.0
""
50.0
152.0
357.0
275.0
""
67.0
""
173.0
46.0
""
406.0
280.0
""
""
37.0
358.0
124.0
335.0
57.0
1362.0
218.0
139.0
421.0
258.0
333.0
""
""
401.0
27.0
""
359.0
174.0
162.0
49.0
""
145.0
2308.0
22.0
103.0
""
301.0
147.0
121.0
""
255.0
""
""
567.0
1030.0
224.0
""
150.0
""
587.0
""
778.0
""
94.0
""
70.0
33.0
6537.0
""
648.0
151.0
""
""
473.0
35.0
""
""
781.0
""
153.0
123.0
122.0
""
9007.0
""
""
104.0
""
""
4539.0
""
56.0
1685.0
""
31.0
126.0
""
1633.0
300.0
28.0
""
35090.0
173.0
239.0
""
""
457.0
""
""
607.0
103.0
24.0
2359.0
151.0
""
5072.0
5461.0
26.0
8272.0
6743.0
2393.0
1821.0
146.0
1518.0
400.0
2479.0
111.0
67.0
""
30.0
3171.0
313.0
647.0
91.0
20.0
""
270.0
""
847.0
188.0
118.0
907.0
""
2495.0
""
""
""
108.0
23.0
""
""
""
""
""
""
""
""
3259.0
""
129.0
""
""
2242.0
26.0
""
""
""
""
""
""
""
315.0
""
""
""
""
99.0
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
108.0
""
""
""
""
""
""
""
""
""
""
56.0
""
4112.0
4255.0
95.0
344.0
3883.0
627.0
148.0
88.0
1422.0
5085.0
1149.0
15972.0
1972.0
114.0
971.0
151.0
2329.0
18572.0
61.0
399.0
153.0
833.0
660.0
494.0
151.0
35.0
11337.0
3351.0
218.0
51.0
1320.0
""
23.0
86.0
130.0
50.0
186.0
382.0
441.0
7815.0
30.0
566.0
464.0
233.0
""
1055.0
1821.0
2934.0
159.0
32.0
275.0
1297.0
1507.0
314.0
24370.0
219.0
237.0
968.0
114.0
9201.0
988.0
9063.0
582.0
4184.0
3708.0
614.0
452.0
2051.0
328.0
856.0
2280.0
208.0
198.0
154.0
95.0
2167.0
111.0
126.0
99.0
181.0
38.0
101.0
38.0
809.0
36.0
243.0
365.0
343.0
96.0
3740.0
128.0
24.0
322.0
151.0
583.0
594.0
275.0
62.0
408.0
106.0
749.0
42.0
77.0
4845.0
544.0
77.0
297.0
1443.0
85.0
8110.0
95.0
5622.0
424.0
521.0
800.0
247.0
935.0
132.0
497.0
""
""
432.0
20761.0
219.0
285.0
3026.0
1374.0
235.0
""
217.0
295.0
327.0
141.0
""
850.0
579.0
70.0
93.0
18238.0
""
""
1041.0
94.0
297.0
343.0
4868.0
37.0
524.0
328.0
72.0
234.0
197.0
67.0
1789.0
1796.0
175.0
173.0
144.0
