hs_white_male_n
435.0
938.0
148.0
114.0
481.0
""
110.0
776.0
189.0
168.0
283.0
59.0
132.0
88.0
116.0
417.0
361.0
55.0
46.0
310.0
77.0
677.0
459.0
131.0
490.0
516.0
216.0
743.0
142.0
242.0
214.0
20.0
55.0
141.0
945.0
493.0
3338.0
109.0
624.0
257.0
538.0
458.0
28.0
30.0
1655.0
106.0
215.0
755.0
2050.0
94.0
1141.0
945.0
32.0
106.0
159.0
154.0
272.0
512.0
1233.0
""
478.0
303.0
874.0
470.0
80.0
36.0
199.0
""
""
1876.0
""
""
""
""
694.0
""
""
243.0
302.0
84.0
82.0
""
""
388.0
""
""
""
""
28.0
64.0
""
34.0
46.0
""
""
""
52.0
577.0
618.0
238.0
175.0
65.0
57.0
15786.0
994.0
307.0
3778.0
686.0
39.0
977.0
471.0
151.0
160.0
328.0
1307.0
357.0
81.0
30.0
185.0
67.0
166.0
163.0
213.0
81.0
163.0
195.0
702.0
482.0
283.0
133.0
52.0
84.0
132.0
737.0
177.0
109.0
597.0
167.0
365.0
178.0
300.0
106.0
424.0
80.0
134.0
392.0
213.0
46.0
216.0
35.0
70.0
97.0
238.0
526.0
132.0
121.0
313.0
367.0
63.0
69.0
63.0
102.0
187.0
84.0
98.0
98.0
236.0
204.0
480.0
45.0
2099.0
187.0
108.0
850.0
87.0
78.0
973.0
122.0
160.0
96.0
360.0
191.0
1317.0
601.0
66.0
157.0
4289.0
""
197.0
1270.0
189.0
82.0
4401.0
182.0
1182.0
2722.0
165.0
835.0
237.0
129.0
3030.0
559.0
238.0
212.0
18264.0
500.0
1185.0
113.0
485.0
880.0
56.0
25.0
1231.0
719.0
722.0
10344.0
1894.0
92.0
6146.0
5781.0
256.0
6453.0
10170.0
908.0
2538.0
1392.0
2186.0
1631.0
5448.0
1086.0
1307.0
""
386.0
2047.0
2633.0
2434.0
515.0
450.0
43.0
1490.0
357.0
3761.0
772.0
440.0
2505.0
101.0
4414.0
50.0
53.0
46.0
1767.0
504.0
105.0
""
62.0
40.0
""
32.0
39.0
219.0
2011.0
""
1714.0
81.0
248.0
4520.0
417.0
376.0
