work_26_pooled_male_n
19549
9102
2068
27038
17524
2836
37464
2935
1958
13651
15396
55145
1960
5476
14139
1476
1341
13540
1824
3078
22448
27499
13238
8198
48665
2281
8489
21565
51611
4288
5465
8402
40960
26191
4994
21112
4840
6500
1618
1864
23690
4720
2044
862
3038
3885
59383
12121
34753
8452
15733
23563
11375
852
1239
23170
3020
933
899
7324
3959
27246
1617
3706
4924
4106
1355
2623
2975
4197
3743
5457
6689
8468
3989
1742
7616
4723
2141
51372
6059
6732
3505
7515
50041
5604
5906
11162
21065
11153
8455
3294
3848
19491
3638
1481
7636
16672
90116
25054
27853
145866
58029
25558
25769
75276
23660
53504
5756
14877
11405
10048
29616
2652
26077
33694
23623
1497
1262
1656
9715
4424
3842
5871
3909
17627
16783
3909
3153
3146
144087
6021
7806
3388
11096
5990
20453
14379
2359
5296
15970
8731
1574
2631
7994
2081
10147
6749
4259
4118
5393
40781
10641
2456
29592
25162
2901
17262
3181
5922
866
2369
12395
95224
1734
173100
5010
4986
2138
13754
191624
18719
5685
23707
5545
2449
21208
53371
6528
3630
4030
4819
50731
5410
4684
79283
2043
6345
20285
1471
3373
9396
43575
2144
3086
7219
11400
12064
35677
4549
28947
17164
5948
8368
16446
24470
60854
6935
10396
13735
10053
15843
2154
2272
31627
28681
19600
99392
7966
8243
4830
7156
9279
5117
64106
14233
10259
14962
85638
31347
25667
15449
1901
8609
1470
5005
1867
11895
918
5336
12272
5982
6888
16003
5370
5001
9946
41275
5851
11598
84369
13512
8113
1788
9974
5790
4103
36153
6850
29568
8705
24304
43009
40811
31367
367420
41296
196209
201367
24088
17290
5886
1217
10074
1056
2663
25131
11023
3428
9165
53417
270
227
152305
45516
4474
23887
114256
5994
2136
1685
1137
2768
4266
2718
3287
1482
6921
5099
12088
109775
2189
6158
10430
3263
3679
3197
5111
9621
1437
8120
10484
6214
8709
23231
12995
2940
16851
12864
9232
5453
22309
7331
3932
4429
8422
15077
5941
5737
17149
3291
22850
25845
66671
6129
294624
27166
5215
6034
98951
1666
3494
11212
16475
6257
2177
3842
3049
2147
2603
6207
4536
5617
1160
6230
9470
1391
7610
3069
4753
7510
908
12119
129
583
2614
2137
994
639
492
1307
1292
5377
94
271
113
822
328
491
3653
550
68
42
143
359
27
315
194
386
557
1352
862
1237
1703
730
8991
1988
864
850
154
359
2224
4642
1250
1282
5275
8377
677
1742
128
5545
3584
629
401
255
529
2114
1280
953
729
381
215
1093
111
4023
2499
2974
2893
2867
2482
2646
4622
23914
1725
1706
2456
8201
164
103
33
171
3370
5508
991
565
2871
3198
1863
1194
3894
8978
1034
12744
1921
2210
37018
2038
736
74
329
559
1967
30548
191
183
8349
975
465
344
279
503
787
434
167
925
2234
2391
650
3388
115
1223
20993
96500
1010
37
2131
2370
3843
1909
479
259
989
489
554
3187
1124
855
7167
13599
23608
3693
2491
2557
2327
7098
5325
73825
6982
3945
1393
829
12039
3239
18593
5772
11301
2383
5491
13478
6339
15276
3352
39926
2299
1235
4632
43454
3784
384
2553
94
6043
238
4854
14005
4253
1596
12014
2818
380
285
30
2788
2600
788
439
1745
930
1008
1625
7504
1777
885
50003
2121
79328
1848
2851
43
15243
1934
830
726
974
821
10006
41185
25243
7620
16186
194923
22015
7091
3722
6082
1022
280
1637
2539
2493
2712
1066
1393
9649
414
543
7190
1277
236
1045
2607
2377
12394
3930
17399
83515
141523
8131
18178
13128
10013
8881
2527
392
4712
2666
3204
50650
2814
7171
8253
3734
60
16483
215
21
158
234
133
599
1535
553
697
527
151
68
4757
1008
881
4634
604
1922
787
1722
2093
635
24
251
7086
45
445
3501
3199
2390
349
860
5133
5726
2646
720
4267
45
36819
1615
4644
1813
6467
457
211
1759
32281
636
125986
1614
40228
8904
429
8605
11380
1408
6402
4494
5650
2415
22304
3115
307
7008
2380
466
1274
62
21266
73176
8678
15225
491
397
1593
2070
804
4753
6315
279
398
10042
4881
11431
1883
7152
34873
32866
63309
16532
105726
91433
2837
1027
633
19879
22385
158008
64143
89
896
109220
16765
24623
568796
3812
2284
3917
4323
25165
3589
10003
73106
2779
39572
3032
11305
15723
2125
326
7117
74
258
360
6941
3777
143276
