comcoll_black_male_n
61.0
""
""
172.0
335.0
67.0
890.0
""
""
301.0
200.0
1233.0
""
24.0
137.0
""
""
69.0
""
132.0
775.0
849.0
250.0
323.0
1028.0
100.0
290.0
536.0
1453.0
119.0
210.0
152.0
1197.0
737.0
296.0
373.0
158.0
177.0
103.0
98.0
971.0
177.0
74.0
""
123.0
213.0
2046.0
232.0
980.0
269.0
378.0
575.0
426.0
36.0
41.0
859.0
97.0
""
""
304.0
134.0
571.0
51.0
""
""
""
""
""
""
""
188.0
257.0
448.0
232.0
143.0
""
191.0
46.0
42.0
2045.0
278.0
45.0
""
72.0
783.0
40.0
44.0
209.0
370.0
84.0
66.0
""
""
260.0
""
""
22.0
128.0
974.0
342.0
201.0
2936.0
873.0
186.0
182.0
1002.0
203.0
943.0
104.0
126.0
183.0
397.0
1057.0
127.0
756.0
599.0
788.0
77.0
36.0
61.0
291.0
89.0
83.0
173.0
128.0
547.0
565.0
102.0
124.0
135.0
3867.0
154.0
153.0
61.0
74.0
168.0
446.0
560.0
112.0
200.0
435.0
110.0
56.0
76.0
365.0
106.0
332.0
234.0
223.0
193.0
38.0
1119.0
368.0
139.0
380.0
749.0
81.0
655.0
87.0
20.0
""
""
219.0
2402.0
40.0
4583.0
""
""
""
57.0
3831.0
167.0
""
204.0
""
""
172.0
365.0
""
""
""
""
540.0
""
""
855.0
""
""
190.0
""
""
107.0
597.0
""
""
36.0
32.0
66.0
357.0
""
358.0
59.0
""
30.0
106.0
204.0
880.0
""
27.0
60.0
""
80.0
""
""
576.0
151.0
154.0
1751.0
""
22.0
""
""
27.0
""
784.0
59.0
""
34.0
663.0
275.0
84.0
147.0
""
21.0
""
38.0
""
75.0
""
""
30.0
""
50.0
74.0
""
25.0
165.0
227.0
""
29.0
799.0
28.0
""
""
34.0
""
""
201.0
""
90.0
29.0
83.0
171.0
295.0
231.0
7730.0
264.0
2847.0
3635.0
508.0
396.0
103.0
32.0
""
""
""
""
""
""
""
200.0
""
""
1006.0
45.0
""
146.0
1068.0
""
""
""
""
""
""
""
""
""
""
""
""
650.0
""
""
24.0
""
""
""
""
65.0
""
22.0
27.0
""
""
21.0
""
""
""
""
""
""
106.0
""
""
""
52.0
189.0
""
""
107.0
""
156.0
176.0
1024.0
85.0
5649.0
186.0
38.0
""
1889.0
""
""
82.0
109.0
""
""
""
""
""
""
42.0
44.0
40.0
""
27.0
74.0
""
70.0
""
123.0
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
101.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
310.0
""
""
""
""
""
""
202.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
460.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
69.0
84.0
189.0
""
""
""
""
24.0
43.0
960.0
""
""
""
""
79.0
""
41.0
""
""
""
""
49.0
67.0
""
""
394.0
29.0
""
""
154.0
""
""
""
""
""
""
""
97.0
21.0
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
416.0
""
489.0
""
""
""
87.0
""
""
""
""
""
""
""
84.0
112.0
143.0
2897.0
464.0
107.0
74.0
23.0
""
""
""
""
""
""
""
""
56.0
""
""
63.0
""
""
""
""
""
198.0
57.0
334.0
901.0
2125.0
81.0
240.0
277.0
197.0
143.0
29.0
""
27.0
""
""
619.0
""
41.0
120.0
28.0
""
90.0
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
145.0
""
""
""
""
""
""
""
72.0
""
467.0
""
158.0
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
78.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
85.0
148.0
230.0
44.0
663.0
304.0
""
""
""
44.0
39.0
1438.0
550.0
""
""
593.0
27.0
67.0
4051.0
""
""
""
""
49.0
""
""
207.0
""
32.0
""
""
21.0
""
""
""
""
""
""
""
""
628.0
