kir_native_black_female_n
90.0
113.0
129.0
""
""
63.0
89.0
289.0
139.0
""
35.0
58.0
111.0
22.0
""
114.0
84.0
58.0
31.0
64.0
34.0
""
183.0
277.0
""
135.0
91.0
164.0
32.0
""
37.0
116.0
82.0
82.0
484.0
""
2597.0
""
100.0
79.0
215.0
93.0
122.0
170.0
646.0
97.0
""
""
1392.0
68.0
1130.0
144.0
72.0
119.0
109.0
44.0
214.0
46.0
93.0
99.0
253.0
95.0
415.0
42.0
52.0
72.0
""
""
""
173.0
""
""
""
""
74.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
70.0
""
""
""
""
""
957.0
""
""
202.0
40.0
""
""
31.0
86.0
59.0
""
""
""
35.0
""
""
95.0
76.0
""
""
""
112.0
23.0
80.0
""
260.0
54.0
31.0
122.0
78.0
90.0
""
""
83.0
""
""
87.0
46.0
35.0
""
""
35.0
473.0
""
38.0
""
79.0
45.0
32.0
""
55.0
""
""
117.0
202.0
61.0
""
28.0
""
141.0
""
173.0
""
24.0
""
""
""
1275.0
""
182.0
31.0
""
""
93.0
""
""
""
175.0
""
30.0
24.0
30.0
""
1501.0
""
""
20.0
""
""
764.0
""
""
300.0
""
""
""
""
295.0
42.0
""
""
5721.0
26.0
39.0
""
""
69.0
""
""
109.0
""
""
400.0
34.0
""
898.0
1028.0
""
1250.0
1152.0
394.0
314.0
24.0
270.0
86.0
389.0
""
""
""
""
559.0
48.0
108.0
20.0
""
""
39.0
""
168.0
31.0
20.0
161.0
""
382.0
""
""
""
""
""
""
""
""
""
""
""
""
""
588.0
""
26.0
""
""
423.0
""
""
""
""
""
""
""
""
59.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
537.0
646.0
""
48.0
701.0
128.0
23.0
""
310.0
939.0
231.0
2816.0
349.0
""
187.0
32.0
343.0
1543.0
20.0
35.0
26.0
131.0
34.0
85.0
24.0
""
1976.0
612.0
29.0
""
274.0
""
""
""
41.0
""
24.0
71.0
66.0
1329.0
""
88.0
121.0
51.0
""
172.0
262.0
504.0
38.0
""
41.0
199.0
214.0
42.0
2268.0
41.0
48.0
184.0
27.0
1186.0
86.0
1002.0
91.0
751.0
559.0
112.0
64.0
271.0
66.0
102.0
328.0
42.0
34.0
26.0
26.0
342.0
24.0
27.0
""
35.0
""
""
""
139.0
""
38.0
50.0
57.0
32.0
797.0
23.0
""
82.0
34.0
113.0
111.0
49.0
21.0
75.0
25.0
161.0
""
""
874.0
113.0
""
48.0
240.0
23.0
1352.0
20.0
822.0
97.0
113.0
150.0
68.0
145.0
31.0
91.0
""
""
88.0
3436.0
46.0
76.0
567.0
226.0
47.0
""
49.0
52.0
79.0
39.0
""
151.0
107.0
""
25.0
3070.0
""
""
175.0
""
44.0
94.0
620.0
""
104.0
89.0
""
48.0
41.0
""
289.0
325.0
37.0
32.0
35.0
""
93.0
32.0
23.0
73.0
42.0
20.0
198.0
51.0
354.0
36.0
26.0
310.0
""
64.0
34.0
66.0
30.0
32.0
93.0
25.0
94.0
51.0
""
50.0
""
963.0
172.0
20.0
25.0
77.0
102.0
""
22.0
23.0
47.0
23.0
41.0
""
""
44.0
1020.0
154.0
""
59.0
43.0
212.0
20.0
36.0
125.0
35.0
""
32.0
23.0
48.0
55.0
153.0
88.0
68.0
""
30.0
201.0
34.0
53.0
""
69.0
22.0
99.0
107.0
60.0
119.0
60.0
""
""
""
30.0
23.0
46.0
57.0
53.0
""
344.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
39.0
""
""
""
""
""
""
""
199.0
""
""
""
""
""
10552.0
""
""
""
""
""
385.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
69.0
""
34.0
""
""
""
276.0
236.0
""
22.0
458.0
""
""
""
""
""
""
24.0
93.0
195.0
