kid_black_female_n
1492
595
121
5784
12180
2828
32053
379
136
11077
8906
49398
76
847
5164
65
58
2763
57
4331
29898
30274
11341
13760
46264
4644
10040
20348
53238
5178
7972
5760
44846
26353
11136
13745
6692
7995
4183
4055
39652
7559
2277
661
5228
7818
83354
9716
43094
8639
10823
26033
14823
1442
1899
31397
3432
727
1098
11077
4807
21489
1731
1299
157
351
26
218
228
129
7316
12003
16610
8275
3829
318
8116
1474
1602
82688
12044
1735
423
2351
28015
965
1230
7309
13090
3070
2906
233
117
9878
108
11
906
4768
39681
12482
7278
126464
33858
7177
7771
37159
8608
41849
4438
5115
8205
13979
39138
6073
29328
24395
29992
2198
1441
3083
11805
4206
3690
7169
5627
22532
22215
4288
5124
4823
173269
5886
5770
2340
2157
6313
14368
19449
5117
7962
15851
2860
2852
3946
14425
4724
7592
8939
7429
6790
1375
41532
15673
5944
13584
28918
4176
22634
2797
819
413
141
5793
101299
2469
172887
31
37
27
1776
179348
5490
118
7183
319
27
6782
13770
69
33
36
50
20617
250
581
36704
196
62
6427
123
503
2165
22253
60
626
781
582
2104
13534
146
11939
2014
111
1052
3626
6652
33823
249
871
1862
435
2619
12
68
19134
4991
4808
73508
169
725
696
484
559
252
31921
1886
299
777
29763
11136
3684
5807
20
633
8
1197
16
2173
10
161
812
482
1496
2198
344
637
5728
10015
221
1120
40761
1253
184
11
921
139
168
8831
227
2837
952
2765
4218
9915
9275
333194
9521
116495
162780
15594
12607
3450
2551
161
18
46
793
293
48
140
8287
23
25
39566
1236
63
5945
45532
403
17
26
5
22
18
20
23
9
157
172
263
28434
19
76
666
61
73
29
100
1896
5
546
908
113
150
392
396
20
188
217
264
54
3011
167
170
48
1505
6034
421
555
3781
187
6003
6257
44466
2928
243231
6623
880
120
75277
244
236
3434
3380
743
23
45
18
19
119
1302
1388
1303
107
769
2416
109
2640
381
5089
1496
10
290
4
10
266
216
31
7
1
15
18
32
0
0
1
3
1
1
194
6
1
1
0
3
0
1
0
5
7
7
5
6
21
13
431
10
4
8
0
0
16
55
16
7
157
216
3
12
0
58
38
0
7
0
2
28
6
17
3
4
1
5
0
53
68
21
54
16
34
22
218
3311
17
13
43
151
0
0
0
0
26
249
6
1
60
19
27
21
43
436
10
1112
11
12
10303
23
3
1
1
1
38
5207
3
0
300
12
3
3
1
2
8
8
1
7
35
15
1
35
3
31
323
17066
7
1
107
68
213
25
9
0
5
0
17
258
25
11
1659
2914
7047
103
111
79
121
731
965
35449
490
195
14
6
2998
27
806
36
461
48
383
1704
1581
544
250
12090
667
9
392
3048
335
11
40
4
244
0
454
3217
541
146
1955
189
68
80
6
392
73
9
1
108
7
24
39
1461
652
218
14824
73
14825
135
109
0
2200
125
6
17
23
17
34
350
2424
4381
4357
118777
17100
4570
2764
567
32
4
7
81
12
225
144
130
1455
105
91
1842
33
22
206
247
24
6355
2279
10130
30237
81313
3039
8339
8140
7236
3710
504
117
753
167
289
18266
199
1277
4487
1009
0
2522
6
1
0
4
2
23
21
3
12
8
0
0
890
5
5
110
8
5
3
7
3
2
1
6
84
1
1
28
31
7
4
5
20
45
14
8
94
0
2462
17
37
15
69
14
0
14
2214
15
17775
29
4013
100
4
66
213
12
144
66
22
23
466
27
0
38
22
3
15
1
228
2296
63
158
3
1
3
12
2
53
160
0
3
261
128
132
17
48
3289
6221
9250
898
26730
7072
32
11
20
1077
1013
60971
18830
19
7
23059
733
1247
180234
21
72
103
36
1005
46
156
7763
27
867
25
325
454
19
0
46
0
3
4
135
73
23820
