wgflx_rk_other_male_n
""
""
""
21.0
""
""
32.0
""
""
""
""
53.0
""
""
""
""
""
""
""
""
""
44.0
""
""
55.0
""
""
24.0
92.0
""
""
""
51.0
44.0
""
20.0
""
""
""
""
""
""
""
""
""
""
59.0
""
26.0
""
""
""
""
""
""
21.0
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
34.0
""
""
""
""
45.0
""
""
20.0
23.0
""
""
""
""
""
""
""
""
""
120.0
""
31.0
126.0
44.0
""
27.0
72.0
""
54.0
""
""
""
""
21.0
""
24.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
133.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
42.0
""
""
""
""
""
""
""
""
122.0
""
368.0
""
""
""
""
251.0
22.0
""
33.0
""
""
27.0
71.0
""
""
""
""
56.0
""
""
64.0
""
""
""
""
""
""
33.0
""
""
""
""
""
34.0
""
34.0
""
""
""
""
29.0
64.0
""
""
""
""
""
""
""
28.0
21.0
26.0
104.0
""
""
""
""
""
""
67.0
""
""
""
86.0
25.0
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
73.0
""
""
""
""
""
""
42.0
""
""
""
23.0
42.0
55.0
35.0
535.0
47.0
239.0
199.0
23.0
21.0
""
""
""
""
""
28.0
""
""
""
80.0
""
""
208.0
51.0
""
""
129.0
""
""
""
""
""
""
""
""
""
""
""
""
167.0
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
21.0
""
58.0
""
306.0
23.0
""
""
93.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
""
""
""
""
78.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
144.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
44.0
""
""
""
""
23.0
""
98.0
""
""
""
""
""
""
22.0
""
26.0
""
""
59.0
53.0
37.0
""
199.0
22.0
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
59.0
""
67.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
143.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
92.0
127.0
""
""
""
""
26.0
""
""
24.0
""
""
157.0
""
""
""
""
""
77.0
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
892.0
46.0
111.0
""
""
""
""
""
66.0
""
186.0
""
52.0
""
""
""
""
""
""
142.0
""
""
35.0
""
""
""
""
""
""
""
32.0
111.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
67.0
52.0
89.0
51.0
281.0
242.0
""
""
""
36.0
48.0
564.0
150.0
""
""
300.0
""
52.0
1121.0
""
""
""
""
46.0
""
24.0
161.0
""
72.0
""
24.0
27.0
""
""
""
""
""
""
""
""
463.0
