spouse_rk_hisp_female_n
27.0
63.0
""
""
43.0
""
""
53.0
""
""
""
""
""
""
""
48.0
""
""
""
""
""
""
65.0
""
25.0
20.0
""
25.0
""
""
""
""
""
""
30.0
""
140.0
""
21.0
""
30.0
26.0
""
""
143.0
""
""
53.0
108.0
""
91.0
67.0
""
""
""
""
24.0
""
55.0
""
""
""
36.0
""
""
""
""
""
""
309.0
""
""
""
""
96.0
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
639.0
264.0
134.0
160.0
55.0
50.0
9634.0
335.0
127.0
3906.0
655.0
600.0
284.0
1434.0
""
""
""
289.0
""
""
""
35.0
""
""
""
""
""
""
""
32.0
32.0
20.0
""
""
""
""
38.0
""
""
44.0
""
""
""
""
""
22.0
""
""
21.0
38.0
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
23.0
35.0
""
184.0
""
""
48.0
""
""
118.0
33.0
""
""
""
""
206.0
32.0
""
28.0
4376.0
""
47.0
476.0
65.0
108.0
3095.0
48.0
319.0
5503.0
128.0
150.0
2305.0
47.0
4771.0
909.0
78.0
63.0
53416.0
1016.0
295.0
34.0
230.0
1825.0
""
""
3048.0
539.0
115.0
11826.0
689.0
""
10714.0
3549.0
577.0
12921.0
12615.0
1519.0
3187.0
759.0
2660.0
2184.0
6289.0
1355.0
252.0
""
81.0
1534.0
1204.0
3036.0
441.0
176.0
""
3121.0
91.0
4623.0
796.0
311.0
1846.0
129.0
1304.0
""
""
36.0
540.0
125.0
22.0
""
""
49.0
""
""
""
74.0
2535.0
""
296.0
32.0
29.0
1426.0
104.0
101.0
""
""
""
""
47.0
""
1356.0
""
22.0
28.0
93.0
444.0
105.0
""
49.0
297.0
""
27.0
64.0
103.0
161.0
134.0
""
22.0
""
""
83.0
955.0
""
105.0
""
""
""
""
""
""
26.0
""
847.0
21.0
1261.0
1046.0
109.0
97.0
905.0
225.0
78.0
78.0
95.0
401.0
83.0
528.0
239.0
""
137.0
""
646.0
5057.0
""
155.0
100.0
239.0
527.0
35.0
52.0
""
840.0
209.0
72.0
""
24.0
""
""
""
""
63.0
131.0
201.0
166.0
2924.0
""
146.0
""
""
""
328.0
772.0
144.0
27.0
""
""
323.0
298.0
144.0
16001.0
210.0
38.0
