frac_years_xw_other_male
0.70004576
0.7027244
""
""
0.66048694
""
""
0.72534889
""
""
""
""
""
""
""
0.69334984
0.5771718
""
""
""
""
0.64307666
0.57729512
0.62671053
0.65006888
0.60381633
0.55498171
0.67910498
""
""
""
""
""
""
0.67024189
0.68873483
0.76326722
""
0.65871108
0.83190161
0.60933363
0.67090666
""
""
0.68779808
""
""
0.70037264
0.72757608
""
0.73763782
0.67122799
""
""
""
""
0.62281245
0.60523987
0.68737882
""
0.61956507
""
0.68421108
0.66236454
""
""
""
""
""
0.70510405
0.44256961
""
""
""
0.6946798
""
""
0.68938625
0.59318751
0.64005917
0.49784681
""
""
0.52023906
0.40674511
""
""
""
0.34402439
0.66808325
""
""
""
""
""
""
0.35127884
0.64203
0.65070093
0.48905566
""
""
""
0.75616521
0.57913941
0.50749892
0.73916477
0.39201441
""
0.55770576
0.66307259
""
""
0.64356714
0.67623627
0.55986857
""
""
""
""
""
""
""
""
""
""
0.60842288
0.73172194
0.7464307
""
""
""
""
0.54811138
""
""
0.70440477
""
""
0.49935657
0.55714595
""
0.64898467
""
""
0.70805454
""
""
""
""
""
""
""
0.63250411
""
""
0.62731081
0.61997032
""
""
""
""
""
""
""
""
""
0.62845999
0.59232038
""
0.73023373
""
""
0.62391996
""
""
0.72262168
""
""
""
0.71958148
""
0.59472644
0.79818386
""
""
0.79232484
""
0.58927405
0.72801077
0.62834191
0.566342
0.78807205
0.71207529
0.71187574
0.78095019
0.74706036
0.72361791
0.68185133
0.65881133
0.76978171
0.76167881
0.57382303
0.72346771
0.78891748
0.68119663
0.77746928
0.70284158
0.76475948
0.70919776
""
""
0.79606605
0.69109893
0.71472681
0.74599576
0.70172983
""
0.6852839
0.79406422
0.69679993
0.72904754
0.79207397
0.77660209
0.76317406
0.76264608
0.79752374
0.78566515
0.82615709
0.78273636
0.72732162
""
0.75066757
0.77819043
0.79722893
0.78675282
0.71954578
0.7020424
""
0.7313652
0.67253739
0.79294819
0.73612636
0.65385795
0.67186904
""
0.72972685
""
""
""
0.75179034
0.62012714
""
""
""
""
""
""
""
0.66521746
0.68358552
""
0.6044305
""
""
0.75410479
0.65522134
0.60160738
""
""
""
""
""
""
0.72252762
""
""
""
0.60598093
0.7502504
""
""
""
