stayhome_hisp_male_n
44.0
88.0
""
""
63.0
""
""
130.0
""
""
27.0
""
""
""
""
87.0
22.0
""
""
""
""
31.0
129.0
""
61.0
39.0
""
48.0
""
29.0
""
""
""
""
57.0
26.0
281.0
""
35.0
""
68.0
44.0
""
""
261.0
""
""
83.0
227.0
""
180.0
90.0
""
""
""
""
42.0
25.0
98.0
""
29.0
""
57.0
""
""
""
""
""
""
713.0
""
""
""
""
236.0
""
""
47.0
41.0
21.0
24.0
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
39.0
1319.0
468.0
195.0
282.0
77.0
88.0
21602.0
740.0
256.0
8428.0
1433.0
1257.0
534.0
2393.0
""
20.0
""
569.0
""
""
""
56.0
""
29.0
""
""
""
""
""
53.0
101.0
39.0
""
""
""
""
59.0
""
""
78.0
""
31.0
42.0
""
23.0
25.0
""
""
45.0
62.0
""
""
""
""
""
""
43.0
""
""
28.0
36.0
""
""
""
""
""
""
""
""
""
23.0
68.0
""
420.0
""
""
73.0
""
""
236.0
71.0
""
""
37.0
""
389.0
47.0
""
55.0
9256.0
""
88.0
863.0
118.0
172.0
6186.0
95.0
518.0
11926.0
215.0
237.0
4437.0
62.0
9604.0
1975.0
145.0
83.0
129297.0
2245.0
743.0
58.0
376.0
3585.0
36.0
24.0
6392.0
1085.0
202.0
25043.0
1156.0
36.0
21967.0
7159.0
1170.0
27121.0
24622.0
3789.0
6954.0
1346.0
5721.0
4493.0
13623.0
2894.0
437.0
""
115.0
3159.0
2409.0
5837.0
815.0
310.0
""
6633.0
159.0
9610.0
1703.0
494.0
4293.0
220.0
2685.0
27.0
""
67.0
1059.0
247.0
49.0
""
""
56.0
26.0
27.0
""
136.0
6090.0
""
558.0
40.0
52.0
2757.0
163.0
174.0
""
""
""
""
74.0
""
2866.0
""
24.0
61.0
149.0
886.0
196.0
""
111.0
496.0
""
76.0
93.0
183.0
329.0
350.0
""
41.0
25.0
""
147.0
2133.0
21.0
183.0
""
33.0
""
""
""
""
37.0
28.0
1789.0
41.0
3106.0
2710.0
185.0
226.0
2314.0
492.0
160.0
240.0
234.0
971.0
194.0
1444.0
369.0
""
247.0
""
1329.0
10858.0
""
276.0
174.0
470.0
1238.0
64.0
93.0
""
1556.0
426.0
153.0
""
68.0
""
26.0
""
""
144.0
358.0
447.0
389.0
6441.0
""
291.0
39.0
""
""
645.0
1794.0
284.0
49.0
""
""
801.0
712.0
306.0
38627.0
433.0
58.0
463.0
253.0
7229.0
2816.0
5022.0
1099.0
1710.0
1968.0
98.0
245.0
934.0
204.0
621.0
2364.0
50.0
43.0
""
""
1449.0
24.0
43.0
20.0
""
""
""
""
""
""
76.0
84.0
""
""
78.0
""
""
""
41.0
20.0
""
""
""
83.0
""
68.0
28.0
""
279.0
167.0
""
224.0
126.0
""
537.0
""
1093.0
49.0
49.0
164.0
""
118.0
""
""
""
""
""
1088.0
""
""
64.0
141.0
""
""
