kir_26_other_male_n
206.0
102.0
""
375.0
211.0
38.0
539.0
29.0
""
132.0
171.0
789.0
25.0
71.0
148.0
""
30.0
204.0
24.0
43.0
237.0
856.0
194.0
100.0
878.0
27.0
131.0
504.0
1399.0
44.0
70.0
116.0
814.0
815.0
52.0
360.0
30.0
70.0
""
""
165.0
42.0
""
""
26.0
38.0
877.0
167.0
394.0
110.0
309.0
271.0
105.0
""
""
316.0
29.0
20.0
""
70.0
46.0
408.0
""
39.0
43.0
41.0
""
29.0
35.0
34.0
35.0
40.0
55.0
92.0
36.0
""
60.0
37.0
""
661.0
54.0
76.0
39.0
78.0
760.0
73.0
69.0
380.0
445.0
158.0
84.0
30.0
40.0
258.0
48.0
""
100.0
155.0
1779.0
407.0
435.0
2716.0
974.0
391.0
553.0
1644.0
421.0
1144.0
70.0
228.0
180.0
163.0
468.0
25.0
506.0
375.0
492.0
""
""
""
129.0
51.0
57.0
211.0
45.0
307.0
255.0
41.0
25.0
""
2469.0
70.0
105.0
30.0
134.0
49.0
265.0
320.0
29.0
72.0
260.0
242.0
""
38.0
87.0
22.0
203.0
61.0
48.0
36.0
56.0
399.0
94.0
""
922.0
287.0
33.0
225.0
27.0
58.0
""
26.0
355.0
2011.0
37.0
5397.0
107.0
51.0
103.0
173.0
3595.0
434.0
87.0
331.0
77.0
24.0
456.0
923.0
84.0
87.0
59.0
68.0
948.0
73.0
70.0
1135.0
""
50.0
321.0
""
48.0
260.0
599.0
25.0
21.0
64.0
144.0
145.0
552.0
39.0
504.0
218.0
63.0
108.0
205.0
347.0
964.0
72.0
137.0
155.0
121.0
170.0
24.0
21.0
394.0
404.0
338.0
1567.0
96.0
126.0
75.0
74.0
131.0
69.0
1289.0
206.0
123.0
144.0
1107.0
403.0
293.0
229.0
""
123.0
""
88.0
21.0
162.0
""
39.0
110.0
66.0
106.0
277.0
52.0
78.0
172.0
670.0
64.0
192.0
1200.0
216.0
109.0
""
223.0
59.0
46.0
642.0
45.0
344.0
95.0
377.0
550.0
637.0
649.0
8432.0
688.0
3818.0
3512.0
426.0
320.0
92.0
23.0
131.0
""
48.0
436.0
169.0
66.0
135.0
1518.0
""
""
3779.0
692.0
67.0
406.0
2248.0
96.0
38.0
23.0
""
37.0
54.0
31.0
30.0
23.0
69.0
59.0
137.0
2461.0
34.0
92.0
135.0
38.0
39.0
""
63.0
110.0
""
99.0
136.0
50.0
117.0
256.0
194.0
60.0
170.0
122.0
119.0
45.0
368.0
47.0
33.0
43.0
131.0
254.0
71.0
88.0
265.0
23.0
280.0
388.0
1069.0
84.0
4781.0
406.0
148.0
47.0
1606.0
""
40.0
148.0
208.0
92.0
39.0
56.0
48.0
""
35.0
83.0
33.0
59.0
""
67.0
118.0
""
66.0
41.0
61.0
72.0
""
240.0
""
""
37.0
37.0
""
""
""
""
""
62.0
""
""
""
""
""
""
66.0
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
151.0
30.0
""
""
""
""
21.0
126.0
""
""
118.0
124.0
""
23.0
""
43.0
35.0
""
""
""
""
""
""
""
""
""
""
28.0
""
29.0
22.0
""
27.0
28.0
""
25.0
43.0
350.0
""
""
""
230.0
""
""
""
""
37.0
128.0
""
""
24.0
21.0
29.0
""
30.0
139.0
""
227.0
20.0
21.0
728.0
27.0
""
""
""
""
""
1179.0
""
""
149.0
""
""
""
""
""
""
""
""
""
""
""
""
39.0
""
23.0
345.0
2240.0
""
""
42.0
26.0
73.0
""
""
""
""
""
""
60.0
""
""
256.0
338.0
593.0
62.0
67.0
42.0
34.0
297.0
145.0
1525.0
102.0
57.0
""
""
214.0
34.0
349.0
77.0
326.0
33.0
69.0
600.0
536.0
397.0
139.0
2273.0
163.0
""
155.0
599.0
115.0
""
33.0
""
84.0
""
43.0
153.0
108.0
""
151.0
31.0
""
""
""
""
41.0
""
""
33.0
""
""
""
77.0
""
""
879.0
21.0
1363.0
""
24.0
""
179.0
""
""
""
""
""
26.0
182.0
309.0
86.0
192.0
3042.0
268.0
85.0
48.0
113.0
""
""
""
20.0
""
20.0
""
""
197.0
""
""
156.0
""
""
""
30.0
""
151.0
58.0
791.0
1529.0
2407.0
127.0
208.0
150.0
143.0
476.0
81.0
""
221.0
81.0
154.0
2221.0
180.0
225.0
129.0
132.0
""
1162.0
""
""
""
24.0
""
35.0
137.0
48.0
55.0
34.0
""
""
310.0
39.0
31.0
147.0
""
23.0
""
29.0
35.0
""
""
""
140.0
""
""
68.0
67.0
54.0
""
""
162.0
135.0
35.0
""
74.0
""
11861.0
609.0
1539.0
""
124.0
""
""
28.0
807.0
""
2821.0
""
1015.0
144.0
""
177.0
217.0
36.0
175.0
1820.0
74.0
39.0
535.0
68.0
""
123.0
24.0
""
22.0
""
415.0
1952.0
120.0
221.0
""
""
""
34.0
""
72.0
229.0
""
""
309.0
202.0
324.0
54.0
230.0
1146.0
855.0
1502.0
616.0
5052.0
4121.0
58.0
""
""
647.0
833.0
9386.0
2672.0
""
20.0
4686.0
176.0
798.0
18263.0
96.0
56.0
82.0
83.0
759.0
118.0
318.0
2801.0
83.0
1297.0
111.0
290.0
370.0
38.0
""
161.0
""
""
""
238.0
146.0
8175.0
