kfr_native_natam_male_n
""
""
""
21.0
""
""
54.0
""
""
""
""
50.0
""
""
""
""
31.0
""
""
25.0
23.0
406.0
46.0
""
44.0
""
24.0
""
49.0
""
""
""
30.0
25.0
""
24.0
""
""
""
""
22.0
""
""
""
""
""
44.0
86.0
22.0
""
32.0
""
""
""
""
37.0
""
23.0
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
36.0
""
""
""
94.0
35.0
""
""
""
""
""
""
""
""
45.0
""
""
47.0
26.0
""
27.0
50.0
""
35.0
""
""
""
""
30.0
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
66.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
48.0
""
""
""
""
""
""
44.0
37.0
""
""
""
""
""
""
""
59.0
""
99.0
67.0
30.0
183.0
""
205.0
35.0
49.0
35.0
""
""
37.0
87.0
35.0
62.0
""
""
34.0
""
""
40.0
""
""
""
""
""
""
24.0
""
""
""
""
""
27.0
""
22.0
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
123.0
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
66.0
""
37.0
51.0
""
""
""
""
24.0
""
""
26.0
""
""
""
37.0
""
""
50.0
24.0
""
""
61.0
""
61.0
40.0
""
27.0
53.0
""
""
""
""
""
33.0
239.0
20.0
95.0
21.0
""
""
""
28.0
""
""
""
""
""
""
59.0
88.0
114.0
48.0
35.0
23.0
""
21.0
""
""
""
""
""
""
""
""
""
""
27.0
85.0
""
93.0
""
""
""
54.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
122.0
""
""
""
""
""
""
""
""
""
55.0
""
""
""
73.0
""
78.0
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
24.0
""
42.0
""
""
49.0
51.0
""
27.0
160.0
""
""
31.0
33.0
""
""
""
""
""
""
""
""
""
""
""
""
36.0
46.0
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
100.0
38.0
""
""
35.0
""
""
""
55.0
""
""
""
""
""
34.0
47.0
""
""
""
54.0
""
""
""
""
""
""
47.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
138.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
68.0
74.0
""
24.0
""
""
149.0
""
103.0
""
""
""
""
""
""
29.0
""
177.0
""
""
388.0
542.0
222.0
69.0
1192.0
135.0
""
51.0
38.0
39.0
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
116.0
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
109.0
165.0
32.0
26.0
""
""
123.0
""
""
165.0
39.0
101.0
746.0
194.0
102.0
""
155.0
""
287.0
""
""
102.0
99.0
52.0
""
55.0
34.0
48.0
337.0
66.0
""
137.0
66.0
63.0
42.0
""
""
""
60.0
72.0
""
""
25.0
71.0
""
""
""
""
""
""
""
78.0
37.0
""
""
""
""
""
""
""
""
90.0
""
""
""
452.0
""
517.0
50.0
231.0
""
""
572.0
355.0
81.0
818.0
""
""
""
52.0
""
""
36.0
""
""
""
""
40.0
118.0
""
52.0
""
""
""
24.0
""
""
52.0
""
""
47.0
62.0
27.0
""
35.0
43.0
42.0
107.0
68.0
179.0
65.0
50.0
""
""
111.0
61.0
106.0
123.0
""
32.0
118.0
31.0
31.0
387.0
33.0
""
""
""
98.0
72.0
66.0
147.0
""
121.0
21.0
87.0
44.0
""
""
34.0
""
""
""
71.0
51.0
464.0
