jail_black_female_n
425.0
606.0
501.0
125.0
31.0
307.0
421.0
1202.0
685.0
46.0
170.0
262.0
527.0
68.0
33.0
351.0
372.0
244.0
121.0
224.0
135.0
39.0
581.0
1323.0
37.0
588.0
425.0
705.0
87.0
51.0
102.0
345.0
382.0
286.0
1054.0
73.0
11221.0
42.0
380.0
220.0
979.0
369.0
429.0
705.0
2558.0
481.0
""
55.0
5783.0
281.0
5023.0
587.0
305.0
401.0
445.0
189.0
883.0
172.0
461.0
338.0
1123.0
459.0
2020.0
145.0
158.0
310.0
""
""
""
688.0
""
""
""
""
314.0
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
329.0
59.0
""
""
""
""
4570.0
61.0
34.0
974.0
175.0
""
38.0
129.0
307.0
236.0
""
51.0
""
135.0
41.0
""
362.0
247.0
""
""
32.0
318.0
110.0
300.0
49.0
1135.0
194.0
126.0
363.0
220.0
280.0
""
""
331.0
24.0
""
319.0
158.0
139.0
45.0
""
134.0
1990.0
""
93.0
""
251.0
125.0
109.0
""
211.0
""
""
503.0
874.0
186.0
""
137.0
""
513.0
""
663.0
""
85.0
""
62.0
27.0
5518.0
""
560.0
133.0
""
""
409.0
31.0
""
""
649.0
""
133.0
107.0
107.0
""
7519.0
""
""
90.0
""
""
3782.0
""
51.0
1442.0
""
29.0
97.0
""
1367.0
257.0
23.0
""
29178.0
154.0
201.0
""
""
395.0
""
""
521.0
84.0
20.0
2000.0
129.0
""
4230.0
4548.0
24.0
6894.0
5569.0
1982.0
1498.0
127.0
1267.0
342.0
2105.0
90.0
55.0
""
25.0
2629.0
262.0
543.0
75.0
""
""
225.0
""
711.0
165.0
98.0
762.0
""
2093.0
""
""
""
88.0
""
""
""
""
""
""
""
""
""
2723.0
""
116.0
""
""
1844.0
21.0
""
""
""
""
""
""
""
267.0
""
""
""
""
80.0
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
98.0
""
""
""
""
""
""
""
""
""
""
51.0
""
3510.0
3654.0
83.0
284.0
3283.0
535.0
128.0
73.0
1182.0
4200.0
967.0
13454.0
1649.0
91.0
779.0
124.0
1969.0
15932.0
51.0
356.0
134.0
670.0
561.0
404.0
125.0
27.0
9206.0
2822.0
182.0
46.0
1096.0
""
21.0
68.0
98.0
43.0
138.0
330.0
366.0
6498.0
23.0
484.0
379.0
208.0
""
881.0
1513.0
2511.0
131.0
25.0
225.0
1111.0
1245.0
270.0
20731.0
184.0
201.0
826.0
93.0
7697.0
840.0
7706.0
491.0
3537.0
3134.0
513.0
367.0
1765.0
270.0
722.0
1927.0
172.0
168.0
126.0
75.0
1804.0
97.0
107.0
82.0
144.0
36.0
87.0
33.0
683.0
29.0
199.0
312.0
289.0
83.0
3130.0
109.0
""
279.0
124.0
484.0
502.0
231.0
49.0
348.0
85.0
639.0
35.0
62.0
4127.0
459.0
65.0
240.0
1187.0
76.0
6570.0
89.0
4641.0
363.0
431.0
667.0
200.0
800.0
109.0
414.0
""
""
364.0
17193.0
180.0
241.0
2668.0
1124.0
184.0
""
188.0
260.0
275.0
117.0
""
710.0
507.0
61.0
77.0
15114.0
""
""
887.0
77.0
253.0
292.0
4016.0
32.0
439.0
268.0
60.0
202.0
169.0
60.0
1472.0
1501.0
148.0
143.0
123.0
75.0
313.0
146.0
105.0
290.0
216.0
75.0
686.0
162.0
1338.0
125.0
97.0
1361.0
""
376.0
106.0
242.0
89.0
96.0
317.0
65.0
490.0
225.0
41.0
201.0
""
3972.0
789.0
99.0
75.0
438.0
421.0
""
76.0
58.0
199.0
100.0
239.0
34.0
""
182.0
4844.0
798.0
29.0
261.0
117.0
879.0
105.0
99.0
592.0
139.0
46.0
131.0
99.0
130.0
256.0
711.0
500.0
314.0
""
108.0
869.0
167.0
176.0
""
339.0
104.0
387.0
472.0
178.0
454.0
244.0
50.0
30.0
""
140.0
55.0
196.0
143.0
314.0
23.0
1387.0
""
26.0
91.0
""
20.0
""
""
