grad_black_female_n
34.0
30.0
53.0
""
""
20.0
31.0
68.0
47.0
""
""
""
34.0
""
""
27.0
26.0
""
""
23.0
""
""
51.0
86.0
""
31.0
22.0
44.0
""
""
""
23.0
30.0
27.0
157.0
""
739.0
""
23.0
""
70.0
23.0
42.0
59.0
152.0
33.0
""
""
401.0
25.0
308.0
42.0
25.0
27.0
39.0
""
46.0
""
24.0
22.0
72.0
41.0
126.0
""
""
23.0
""
""
""
50.0
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
292.0
""
""
63.0
""
""
""
""
32.0
""
""
""
""
""
""
""
28.0
""
""
""
""
22.0
""
""
""
73.0
""
""
27.0
""
23.0
""
""
""
""
""
""
""
""
""
""
""
137.0
""
""
""
""
""
""
""
""
""
""
39.0
54.0
""
""
""
""
37.0
""
48.0
""
""
""
""
""
320.0
""
31.0
""
""
""
23.0
""
""
""
37.0
""
""
""
""
""
461.0
""
""
""
""
""
222.0
""
""
94.0
""
""
""
""
72.0
""
""
""
1880.0
""
""
""
""
22.0
""
""
26.0
""
""
124.0
""
""
251.0
291.0
""
401.0
344.0
130.0
89.0
""
84.0
""
130.0
""
""
""
""
157.0
""
30.0
""
""
""
""
""
44.0
""
""
43.0
""
113.0
""
""
""
""
""
""
""
""
""
""
""
""
""
168.0
""
""
""
""
113.0
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
230.0
235.0
""
""
190.0
29.0
""
""
72.0
290.0
58.0
897.0
77.0
""
58.0
""
98.0
851.0
""
22.0
""
35.0
28.0
24.0
""
""
476.0
151.0
""
""
74.0
""
""
""
""
""
""
""
""
389.0
""
23.0
31.0
""
""
38.0
106.0
163.0
""
""
""
46.0
59.0
""
1147.0
""
""
43.0
""
404.0
43.0
437.0
36.0
192.0
193.0
28.0
""
67.0
""
40.0
113.0
""
""
""
""
99.0
""
""
""
""
""
""
""
47.0
""
""
""
""
""
180.0
""
""
""
""
33.0
25.0
""
""
""
""
30.0
""
""
261.0
23.0
""
""
81.0
""
336.0
""
264.0
""
25.0
36.0
""
40.0
""
""
""
""
20.0
998.0
""
""
160.0
69.0
""
""
""
""
22.0
""
""
41.0
25.0
""
""
853.0
""
""
58.0
""
""
35.0
202.0
""
25.0
""
""
""
""
""
53.0
68.0
""
""
""
""
28.0
""
""
""
""
""
44.0
""
80.0
""
""
88.0
""
22.0
""
""
""
""
27.0
""
29.0
""
""
""
""
284.0
39.0
""
""
32.0
24.0
""
""
""
""
""
""
""
""
""
282.0
37.0
""
""
""
36.0
""
""
26.0
""
""
""
""
""
""
39.0
21.0
""
""
""
51.0
""
""
""
21.0
""
""
34.0
""
41.0
""
""
""
""
""
""
""
""
""
""
75.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
""
""
""
3347.0
""
""
""
""
""
111.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
92.0
52.0
""
""
142.0
""
""
""
""
""
""
""
29.0
57.0
""
48.0
""
""
""
""
""
""
""
""
""
""
""
75.0
""
""
""
""
""
""
""
""
34.0
216.0
""
57.0
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
183.0
""
88.0
""
""
127.0
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
21.0
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
358.0
44.0
""
36.0
520.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
103.0
""
""
""
""
""
""
""
""
""
""
45.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
59.0
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
128.0
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
175.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
""
""
108.0
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
""
""
""
""
""
347.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
""
45.0
""
""
23.0
24.0
71.0
332.0
113.0
""
""
""
""
20.0
37.0
405.0
23.0
""
21.0
21.0
""
64.0
40.0
""
368.0
""
102.0
34.0
""
34.0
""
28.0
39.0
47.0
942.0
169.0
""
20.0
110.0
""
23.0
""
""
30.0
""
27.0
44.0
66.0
45.0
42.0
67.0
63.0
""
48.0
20.0
""
53.0
36.0
47.0
24.0
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
206.0
438.0
28.0
""
""
""
103.0
24.0
33.0
""
64.0
105.0
""
403.0
1532.0
""
28.0
23.0
""
""
47.0
22.0
1036.0
""
""
28.0
""
47.0
""
88.0
""
107.0
""
69.0
62.0
347.0
45.0
""
""
""
""
""
""
""
""
""
""
90.0
""
50.0
""
""
""
""
""
""
""
""
""
29.0
""
248.0
""
""
""
""
""
""
""
82.0
""
""
""
""
27.0
70.0
""
146.0
""
""
""
""
""
""
""
""
78.0
""
""
""
""
""
""
""
""
""
""
63.0
""
412.0
""
""
""
""
""
""
""
""
""
126.0
""
""
""
""
""
""
""
112.0
2020.0
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
266.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
105.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
27.0
""
52.0
""
""
27.0
""
28.0
""
36.0
69.0
40.0
""
47.0
60.0
""
""
""
23.0
""
129.0
454.0
47.0
36.0
""
""
95.0
""
22.0
25.0
55.0
""
22.0
""
96.0
""
21.0
49.0
94.0
29.0
63.0
76.0
24.0
43.0
30.0
26.0
""
25.0
22.0
21.0
