lpov_nbh_natam_pooled_n
""
70.0
""
""
""
""
""
44.0
""
""
""
""
""
""
""
40.0
23.0
""
""
""
""
34.0
24.0
""
51.0
21.0
94.0
""
""
""
20.0
""
""
""
31.0
110.0
133.0
""
27.0
274.0
22.0
34.0
""
""
290.0
""
""
51.0
251.0
""
65.0
85.0
""
""
""
""
""
""
37.0
""
""
""
35.0
""
75.0
""
""
55.0
39.0
1553.0
568.0
""
""
114.0
467.0
""
30.0
242.0
204.0
103.0
95.0
144.0
58.0
161.0
319.0
217.0
290.0
""
113.0
116.0
""
35.0
46.0
""
""
243.0
1931.0
73.0
2109.0
333.0
299.0
""
128.0
4460.0
251.0
2317.0
1651.0
500.0
""
135.0
152.0
""
""
24.0
340.0
21.0
""
""
23.0
""
""
""
""
""
""
""
""
138.0
""
""
""
""
""
36.0
""
""
50.0
""
""
""
""
""
""
""
""
25.0
27.0
""
""
""
""
""
34.0
25.0
""
""
21.0
""
""
""
""
""
""
""
""
""
""
42.0
37.0
""
144.0
""
""
52.0
20.0
""
236.0
27.0
""
""
""
""
208.0
35.0
""
""
460.0
23.0
47.0
238.0
20.0
26.0
313.0
120.0
111.0
476.0
32.0
393.0
103.0
134.0
489.0
118.0
55.0
48.0
1848.0
101.0
51.0
33.0
189.0
128.0
24.0
""
137.0
55.0
64.0
646.0
183.0
""
872.0
725.0
25.0
772.0
1054.0
116.0
298.0
119.0
124.0
157.0
505.0
98.0
280.0
""
96.0
234.0
291.0
310.0
91.0
103.0
""
305.0
29.0
252.0
115.0
117.0
292.0
""
270.0
""
""
""
108.0
31.0
""
""
""
""
""
""
""
""
425.0
""
67.0
""
""
376.0
34.0
24.0
""
""
""
""
""
""
312.0
""
""
""
90.0
130.0
""
""
""
94.0
""
""
176.0
""
""
""
""
""
""
""
""
104.0
""
""
""
""
""
""
""
""
""
""
114.0
""
64.0
108.0
26.0
""
136.0
191.0
23.0
44.0
71.0
74.0
46.0
97.0
54.0
""
98.0
""
176.0
326.0
""
37.0
33.0
78.0
45.0
21.0
""
""
248.0
240.0
""
""
""
""
39.0
""
""
""
""
45.0
39.0
232.0
""
26.0
""
""
""
65.0
119.0
57.0
""
""
""
64.0
65.0
""
215.0
""
23.0
122.0
24.0
257.0
48.0
182.0
92.0
206.0
147.0
21.0
28.0
64.0
94.0
84.0
110.0
""
""
""
""
114.0
""
26.0
21.0
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
21.0
""
""
55.0
""
""
51.0
""
""
50.0
""
115.0
""
""
32.0
""
""
""
""
""
""
""
106.0
""
""
""
34.0
""
""
""
""
""
""
""
27.0
""
29.0
""
119.0
""
""
""
""
""
""
107.0
""
30.0
""
""
""
""
""
32.0
37.0
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
60.0
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
