hs_other_pooled_n
89.0
46.0
""
156.0
97.0
""
242.0
""
""
56.0
82.0
308.0
""
28.0
66.0
""
""
78.0
""
""
98.0
339.0
78.0
41.0
369.0
""
64.0
222.0
630.0
22.0
25.0
44.0
326.0
340.0
27.0
131.0
""
42.0
""
""
84.0
""
""
""
""
""
391.0
61.0
163.0
49.0
132.0
118.0
52.0
""
""
170.0
""
""
""
43.0
""
180.0
""
""
21.0
23.0
""
""
""
""
""
""
24.0
38.0
""
""
21.0
""
""
269.0
""
30.0
20.0
37.0
281.0
33.0
36.0
159.0
194.0
72.0
37.0
""
""
105.0
""
""
33.0
84.0
701.0
136.0
173.0
969.0
358.0
132.0
223.0
610.0
127.0
422.0
36.0
86.0
70.0
65.0
180.0
""
209.0
154.0
214.0
""
""
""
56.0
""
21.0
80.0
24.0
116.0
119.0
""
""
""
963.0
30.0
37.0
""
55.0
26.0
115.0
136.0
""
31.0
100.0
111.0
""
""
24.0
""
90.0
26.0
""
""
""
184.0
38.0
""
375.0
118.0
""
91.0
""
25.0
""
""
115.0
850.0
""
2369.0
69.0
34.0
72.0
102.0
1678.0
224.0
65.0
188.0
51.0
""
218.0
470.0
45.0
60.0
33.0
33.0
440.0
35.0
37.0
446.0
""
24.0
123.0
""
""
128.0
268.0
""
""
40.0
58.0
73.0
257.0
""
250.0
100.0
35.0
45.0
88.0
170.0
410.0
29.0
58.0
77.0
64.0
87.0
""
""
194.0
191.0
169.0
710.0
46.0
53.0
26.0
44.0
60.0
37.0
531.0
87.0
60.0
76.0
615.0
170.0
156.0
88.0
""
49.0
""
36.0
""
71.0
""
20.0
63.0
31.0
45.0
142.0
25.0
36.0
67.0
293.0
26.0
89.0
563.0
117.0
64.0
""
112.0
34.0
32.0
275.0
33.0
165.0
60.0
167.0
294.0
320.0
287.0
3639.0
311.0
1598.0
1473.0
187.0
158.0
39.0
""
88.0
""
24.0
230.0
98.0
34.0
93.0
592.0
""
""
1411.0
286.0
32.0
185.0
945.0
49.0
26.0
""
""
26.0
39.0
24.0
""
""
40.0
37.0
93.0
1227.0
25.0
76.0
70.0
""
""
""
25.0
56.0
""
45.0
57.0
28.0
71.0
155.0
101.0
43.0
108.0
74.0
65.0
32.0
204.0
38.0
27.0
28.0
58.0
132.0
34.0
45.0
133.0
""
143.0
162.0
487.0
37.0
2090.0
178.0
71.0
26.0
693.0
""
""
80.0
111.0
53.0
23.0
29.0
31.0
""
20.0
48.0
20.0
30.0
""
32.0
60.0
""
41.0
""
23.0
40.0
""
135.0
""
""
21.0
22.0
""
""
""
""
""
27.0
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
65.0
""
""
""
""
""
""
89.0
""
""
52.0
67.0
""
""
""
30.0
24.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
192.0
""
""
""
114.0
""
""
""
""
23.0
68.0
""
""
""
""
""
""
""
62.0
""
111.0
""
""
316.0
""
""
""
""
""
""
519.0
""
""
63.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
156.0
996.0
""
""
""
""
38.0
""
""
""
""
""
""
32.0
""
""
122.0
200.0
277.0
33.0
36.0
23.0
""
159.0
65.0
680.0
68.0
28.0
""
""
94.0
21.0
148.0
37.0
193.0
22.0
34.0
353.0
292.0
216.0
81.0
1202.0
121.0
""
74.0
257.0
56.0
""
""
""
40.0
""
25.0
76.0
46.0
""
73.0
""
""
""
""
""
23.0
""
""
""
""
""
""
22.0
""
""
385.0
""
532.0
""
""
""
68.0
""
""
""
""
""
""
85.0
126.0
36.0
72.0
1162.0
121.0
34.0
""
51.0
""
""
""
""
""
""
""
""
78.0
""
""
63.0
""
""
""
""
""
68.0
""
350.0
638.0
956.0
51.0
82.0
71.0
71.0
238.0
40.0
""
127.0
32.0
88.0
1125.0
125.0
84.0
42.0
98.0
""
494.0
""
""
""
""
""
""
57.0
41.0
38.0
26.0
""
""
139.0
""
""
76.0
""
""
""
22.0
""
""
""
""
80.0
""
""
36.0
39.0
22.0
""
""
79.0
57.0
""
""
32.0
""
5427.0
273.0
721.0
""
66.0
""
""
""
338.0
""
1198.0
""
436.0
68.0
""
60.0
117.0
""
62.0
821.0
38.0
""
215.0
34.0
""
49.0
""
""
""
""
194.0
720.0
59.0
97.0
""
""
""
""
""
31.0
98.0
""
""
151.0
111.0
155.0
24.0
116.0
483.0
379.0
621.0
276.0
2114.0
1720.0
21.0
""
""
256.0
378.0
3939.0
1093.0
""
""
1978.0
66.0
334.0
7859.0
43.0
31.0
27.0
38.0
324.0
54.0
149.0
1233.0
35.0
569.0
47.0
109.0
172.0
""
""
70.0
""
""
""
103.0
74.0
3297.0
