spouse_rk_asian_pooled_n
129.0
44.0
""
338.0
184.0
""
683.0
22.0
""
217.0
174.0
1339.0
""
144.0
273.0
""
""
102.0
""
""
146.0
336.0
90.0
46.0
1219.0
""
76.0
258.0
1776.0
23.0
28.0
93.0
963.0
537.0
29.0
340.0
""
30.0
""
""
202.0
""
""
""
""
20.0
1530.0
176.0
493.0
78.0
121.0
258.0
42.0
""
""
150.0
""
""
""
34.0
""
253.0
""
""
23.0
28.0
""
""
""
""
27.0
""
35.0
49.0
""
""
26.0
20.0
""
622.0
29.0
80.0
""
34.0
794.0
48.0
30.0
134.0
321.0
59.0
45.0
""
20.0
283.0
""
""
60.0
164.0
1823.0
310.0
310.0
2606.0
933.0
252.0
404.0
2017.0
279.0
1304.0
37.0
174.0
231.0
81.0
376.0
""
373.0
348.0
430.0
""
""
""
90.0
23.0
28.0
84.0
22.0
240.0
206.0
""
33.0
25.0
4848.0
41.0
151.0
32.0
150.0
21.0
152.0
183.0
29.0
77.0
205.0
147.0
""
20.0
51.0
""
103.0
34.0
20.0
33.0
""
362.0
72.0
""
627.0
272.0
""
160.0
""
55.0
""
""
171.0
3043.0
""
12056.0
35.0
28.0
""
84.0
4721.0
412.0
46.0
235.0
31.0
""
257.0
789.0
26.0
24.0
""
27.0
601.0
20.0
33.0
928.0
""
25.0
228.0
""
""
125.0
436.0
""
""
33.0
72.0
69.0
375.0
34.0
311.0
154.0
44.0
55.0
105.0
254.0
848.0
77.0
90.0
176.0
80.0
106.0
""
""
334.0
172.0
118.0
1662.0
44.0
31.0
20.0
35.0
28.0
39.0
1164.0
113.0
144.0
86.0
1015.0
205.0
195.0
201.0
""
96.0
""
42.0
""
130.0
""
21.0
80.0
67.0
61.0
182.0
45.0
44.0
141.0
653.0
46.0
196.0
1484.0
163.0
50.0
""
87.0
37.0
25.0
711.0
46.0
369.0
63.0
561.0
657.0
718.0
719.0
31612.0
1564.0
17044.0
7978.0
598.0
298.0
62.0
""
66.0
""
20.0
238.0
140.0
""
69.0
1021.0
""
""
5905.0
632.0
30.0
350.0
3037.0
78.0
""
""
""
""
26.0
""
""
""
75.0
73.0
105.0
3879.0
""
36.0
216.0
41.0
33.0
21.0
58.0
103.0
""
163.0
126.0
76.0
313.0
453.0
232.0
""
387.0
218.0
178.0
33.0
424.0
43.0
29.0
24.0
111.0
255.0
65.0
66.0
213.0
21.0
269.0
268.0
1240.0
64.0
15536.0
354.0
65.0
""
1496.0
""
""
132.0
117.0
47.0
""
""
""
""
""
43.0
24.0
37.0
""
55.0
90.0
""
35.0
""
26.0
21.0
""
92.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
76.0
""
""
""
""
""
""
26.0
""
""
47.0
93.0
""
""
""
38.0
20.0
""
""
""
""
""
""
""
""
""
""
""
""
26.0
36.0
""
59.0
""
20.0
45.0
35.0
562.0
""
""
""
51.0
""
""
""
""
""
33.0
""
""
""
""
23.0
""
51.0
133.0
""
304.0
""
""
443.0
""
""
""
""
""
""
553.0
""
""
50.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
215.0
2438.0
""
""
40.0
""
""
""
""
""
""
""
""
59.0
""
""
116.0
144.0
657.0
""
39.0
""
48.0
66.0
42.0
1207.0
45.0
30.0
""
""
177.0
""
158.0
44.0
73.0
""
56.0
241.0
48.0
202.0
34.0
539.0
""
""
38.0
335.0
38.0
""
""
""
37.0
""
""
129.0
55.0
""
196.0
""
""
""
""
""
93.0
""
""
47.0
""
""
23.0
92.0
""
""
1225.0
""
972.0
""
""
""
135.0
""
""
""
""
""
37.0
303.0
279.0
129.0
363.0
10263.0
435.0
61.0
27.0
67.0
""
""
""
""
""
""
""
""
96.0
""
""
131.0
""
""
""
""
""
92.0
""
334.0
2558.0
5484.0
33.0
116.0
72.0
61.0
143.0
29.0
""
31.0
22.0
""
1238.0
""
42.0
55.0
""
""
483.0
""
""
""
""
""
48.0
46.0
""
27.0
""
""
""
85.0
""
""
57.0
""
""
""
""
""
""
""
""
40.0
""
""
""
""
""
""
""
22.0
44.0
""
""
24.0
""
9659.0
326.0
1029.0
""
61.0
""
""
""
462.0
""
2410.0
""
668.0
61.0
""
34.0
80.0
""
41.0
616.0
40.0
""
282.0
25.0
""
40.0
""
""
""
""
173.0
1165.0
94.0
102.0
""
""
""
""
""
23.0
63.0
""
""
135.0
72.0
104.0
36.0
64.0
1424.0
1163.0
2745.0
874.0
7574.0
14124.0
""
""
""
632.0
581.0
26407.0
2719.0
""
""
9319.0
165.0
745.0
53212.0
27.0
55.0
34.0
32.0
340.0
24.0
142.0
2999.0
33.0
624.0
26.0
89.0
283.0
""
""
46.0
""
""
""
171.0
40.0
9276.0
