staycz_pooled_female_n
21865
9914
2283
29685
19384
3251
41561
3120
2126
15114
17122
60873
2171
5829
15644
1537
1419
14678
1979
3323
25029
30227
14584
9257
54084
2528
9463
23823
57465
4799
5916
9259
45602
28406
5624
23192
5191
7489
1771
2126
26429
5088
2218
939
3418
4462
66302
13738
38365
9361
17153
26082
12644
948
1306
25618
3401
1031
1088
8015
4229
29388
1829
4123
5320
4436
1444
2772
3196
4456
4222
5966
7509
9275
4352
1937
8294
5185
2490
56490
6736
7399
3843
8105
55827
6055
6538
11965
23074
12632
9198
3613
3985
21584
3935
1508
8264
17691
98020
27150
29887
159568
62443
27581
28057
82108
25312
59366
6081
15861
12401
11144
33129
2975
29366
37458
26120
1716
1415
1852
10542
5073
4256
6409
4196
19695
18717
4433
3424
3371
158567
6407
8448
3682
11601
6642
22654
15987
2597
5859
17180
9427
1624
2928
8917
2318
10890
7323
4548
4435
5716
45801
11662
2756
31872
27375
3159
18991
3455
6608
943
2532
13418
106899
1776
192005
5523
5482
2268
15042
214422
21207
6273
26056
5917
2735
23379
59390
7110
3945
4243
5098
56761
5759
5197
88626
2228
6977
22448
1607
3752
10254
48549
2312
3311
8018
12644
13433
39485
5143
31819
18742
6432
9346
18142
27390
67435
7566
11475
14796
10871
17792
2453
2502
35097
31870
21498
111202
8642
9030
5302
8053
10120
5610
70803
15704
11093
16499
95596
34918
27972
16737
1935
9482
1634
5617
2017
13017
958
5828
13433
6513
7482
17792
5812
5370
10863
45034
6432
12338
93532
15007
8635
1872
10922
6215
4550
39695
7580
32462
9622
26798
47252
44658
34398
403048
45775
216563
223749
26503
19020
6435
1289
11316
1200
2759
27581
12196
3699
10117
58765
275
227
168526
50753
4814
26197
126843
6541
2244
1850
1328
2944
4630
2952
3758
1599
7559
5781
13080
121088
2265
6794
11256
3498
3889
3594
5569
10713
1532
8814
11570
6794
9649
25691
14552
3218
18412
14177
10204
5969
24518
8261
4344
4981
9279
16406
6792
6214
18949
3711
25124
28387
73813
6784
323657
29861
5556
6310
109870
1749
3783
12568
18222
7101
2385
4194
3265
2267
2776
7010
4892
6146
1282
6725
10407
1505
8305
3273
5213
8011
992
13219
109
604
2948
2479
1200
702
518
1479
1377
5934
118
343
127
889
366
507
3966
618
65
45
121
393
35
347
192
436
684
1489
989
1314
1913
777
9747
2156
935
915
182
386
2427
5032
1419
1399
5766
9342
717
1939
124
6244
3921
756
486
257
537
2282
1458
1060
694
475
236
1199
152
4486
2873
3268
3222
3253
2669
2821
5195
26225
1888
1895
2663
9268
171
135
42
205
3703
5868
1092
615
3081
3473
2025
1378
4235
9835
1203
14258
2102
2443
40402
2136
835
81
377
574
2164
33200
223
192
9159
1040
489
380
280
540
852
492
185
1012
2577
2474
688
3610
86
1359
22352
104322
1108
43
2133
2484
4190
2031
522
278
1023
550
596
3447
1195
927
7749
14928
26240
4125
2772
2824
2552
7700
5769
81859
7646
4355
1594
799
13290
3436
20063
6095
12376
2645
5843
14108
6988
16474
3582
43640
2590
1325
5197
45378
4056
375
2538
63
6234
234
5070
15032
4431
1734
13172
3043
402
282
23
3034
2748
851
453
1808
946
1065
1822
8131
1983
835
53764
2313
85973
1881
2958
65
16435
2040
894
707
1091
946
10195
43026
26848
8414
17584
211026
23438
7646
3816
6498
1053
280
1696
2656
2570
2887
1105
1522
10418
403
591
7898
1300
214
1144
2814
2384
13098
4217
18922
90196
152869
8676
19051
14382
10839
9685
2687
418
5186
2894
3454
55422
2953
7733
8845
3832
67
17209
199
27
179
246
128
606
1596
501
743
591
172
72
5017
1046
941
5156
639
2061
855
1885
2341
706
20
258
7873
57
508
3872
3533
2664
345
922
5354
5997
2850
849
4684
46
39972
1683
4994
1888
7087
528
245
1809
35474
709
135645
1670
43356
9483
495
9003
12117
1494
6919
4734
6008
2678
24066
3473
307
7526
2660
490
1373
61
23086
80914
9467
16483
544
402
1534
2258
906
5206
6675
332
408
10739
5226
12548
2011
7556
36823
34118
64589
17698
112740
96958
2963
1091
626
21318
24030
171302
68380
104
933
115065
15066
26086
608556
4097
2473
4056
4531
27124
3548
10570
80407
3104
42739
3304
12063
16908
2264
335
7475
79
288
375
7519
4076
156504
