kid_asian_pooled_n
516
234
47
1607
1009
89
4227
71
22
1269
820
7952
56
1794
2798
55
34
532
42
59
739
1570
375
214
8061
40
287
1028
7230
77
94
366
4831
2272
124
2297
64
184
26
22
895
74
44
10
30
85
7741
844
2363
322
494
1616
264
12
18
763
107
7
11
184
61
1304
26
62
103
105
29
111
33
67
79
153
150
194
46
21
166
51
22
4036
131
351
51
117
5208
162
82
662
1464
189
158
72
111
1174
62
25
258
669
10785
1393
1364
15724
4894
1062
1589
10747
1134
6040
168
602
1152
299
1751
47
1500
1824
1498
17
25
47
418
130
110
272
98
1231
928
74
149
113
33579
191
1084
97
962
63
571
686
65
418
1017
624
22
74
211
25
323
120
73
215
66
1880
307
21
2462
1795
46
616
21
188
13
39
817
16343
49
75549
158
112
57
381
33440
2910
233
1170
142
54
1462
5870
204
89
64
87
2990
127
111
6011
25
123
1496
5
98
411
2765
54
104
155
398
272
1798
109
1538
727
170
322
375
1443
4785
495
317
1120
578
513
68
45
1320
830
499
8976
193
88
92
185
137
193
8419
389
904
342
5641
744
754
1341
39
475
23
170
18
541
15
132
283
309
168
623
147
198
804
3654
197
1129
8913
1272
253
36
431
163
158
4144
234
1615
272
2816
3510
3414
3818
205975
8644
105807
47802
3241
1252
271
33
353
24
99
1769
1025
112
525
8786
9
27
53664
4016
163
2741
21104
393
54
110
20
51
95
57
119
39
375
436
755
47162
59
123
1989
263
172
104
219
416
33
1049
813
369
2854
3989
2485
84
4824
2166
1921
134
4039
181
88
95
665
1720
250
186
1225
103
1121
1310
11050
203
88698
2052
324
105
8354
32
59
607
422
99
28
72
52
31
80
117
117
117
35
155
425
30
142
59
75
135
118
585
4
7
33
40
4
6
5
35
43
111
7
9
0
9
2
2
116
6
0
3
1
1
1
17
3
13
2
17
11
17
93
22
609
17
23
12
0
5
36
112
18
44
140
533
18
28
1
164
81
13
5
0
1
42
28
7
10
19
0
25
1
107
247
111
466
114
60
318
223
3802
39
31
67
232
2
1
0
7
66
164
9
3
48
81
153
27
200
1058
15
2071
82
64
2638
26
10
0
10
11
35
2736
7
0
237
16
14
3
0
11
2
5
5
14
77
65
17
188
14
94
1173
18077
17
0
209
24
80
44
7
0
8
6
9
259
8
6
512
760
4459
83
187
30
203
191
176
7347
112
53
31
8
1061
43
766
97
296
54
152
1480
168
977
244
2815
16
27
152
1457
141
0
38
3
109
13
62
637
211
6
1008
50
10
0
1
30
345
11
0
201
17
35
68
443
18
12
8755
33
4834
48
62
0
537
26
25
4
21
18
232
1442
1242
1039
1777
56782
2728
286
103
188
11
11
26
38
49
46
11
12
367
2
7
572
20
4
19
30
28
392
50
1413
14466
36671
127
486
327
183
441
91
8
128
69
46
6203
54
205
208
26
7
4355
101
0
22
17
10
681
420
109
169
31
115
110
396
11
10
156
8
39
19
19
27
6
0
12
228
1
3
164
79
61
25
11
136
309
35
27
73
1
68114
3800
7712
33
463
25
4
49
2632
41
15359
35
3565
236
8
107
360
22
169
6090
199
33
1600
123
7
135
44
5
22
0
887
7295
489
406
4
13
39
16
2
56
353
5
19
1271
642
456
323
271
12817
5785
30802
7953
67086
108864
92
28
25
3488
3528
180028
14841
7
62
56499
922
3908
375432
91
405
165
167
1852
115
821
22067
140
3569
140
579
1257
59
2
241
4
3
31
978
237
66319
