kfr_imm_hisp_male_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
63.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
159.0
25.0
""
""
""
24.0
2039.0
65.0
""
853.0
83.0
221.0
27.0
535.0
""
""
""
69.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
24.0
""
""
""
""
""
42.0
""
""
""
1101.0
""
""
92.0
""
28.0
730.0
""
29.0
1138.0
34.0
""
969.0
""
1259.0
216.0
""
""
24555.0
230.0
88.0
""
30.0
451.0
""
""
935.0
135.0
""
4062.0
55.0
""
3064.0
573.0
133.0
3296.0
3621.0
652.0
709.0
121.0
937.0
573.0
1446.0
402.0
28.0
""
""
367.0
273.0
706.0
114.0
56.0
""
818.0
""
1395.0
177.0
53.0
241.0
""
214.0
""
""
""
76.0
""
""
""
""
""
""
""
""
""
459.0
""
""
""
""
141.0
""
""
""
""
""
""
""
""
100.0
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
""
""
""
122.0
""
547.0
552.0
20.0
21.0
394.0
53.0
26.0
40.0
22.0
94.0
""
252.0
52.0
""
22.0
""
159.0
1802.0
""
26.0
""
51.0
156.0
""
""
""
166.0
23.0
""
""
""
""
""
""
""
""
46.0
43.0
44.0
894.0
""
33.0
""
""
""
74.0
194.0
27.0
""
""
""
117.0
74.0
39.0
7880.0
57.0
""
53.0
20.0
1148.0
418.0
839.0
125.0
182.0
252.0
""
28.0
107.0
21.0
75.0
350.0
""
""
""
""
177.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
23.0
""
26.0
""
""
70.0
""
135.0
""
""
22.0
""
""
""
""
""
""
""
143.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
95.0
""
""
""
""
""
""
211.0
""
76.0
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
61.0
""
""
""
""
""
185.0
""
20.0
37.0
""
""
""
""
31.0
""
""
""
27.0
""
""
""
106.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
29.0
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
5260.0
""
""
""
""
""
379.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
461.0
""
40.0
""
476.0
25.0
""
