kir_stycz_asian_male_n
54.0
27.0
""
151.0
88.0
""
443.0
""
""
141.0
102.0
903.0
""
99.0
209.0
""
""
58.0
""
""
87.0
158.0
44.0
""
640.0
""
26.0
127.0
1139.0
""
""
40.0
573.0
261.0
""
249.0
""
""
""
""
83.0
""
""
""
""
""
964.0
96.0
283.0
38.0
59.0
222.0
28.0
""
""
93.0
""
""
""
""
""
132.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
369.0
""
39.0
""
""
614.0
""
""
77.0
128.0
""
21.0
""
""
142.0
""
""
29.0
62.0
1368.0
163.0
159.0
1809.0
545.0
147.0
187.0
1386.0
157.0
935.0
""
75.0
77.0
36.0
181.0
""
221.0
165.0
157.0
""
""
""
37.0
""
""
37.0
""
135.0
100.0
""
""
""
3595.0
""
98.0
""
117.0
""
76.0
89.0
""
25.0
102.0
79.0
""
""
20.0
""
54.0
""
""
""
""
164.0
29.0
""
387.0
163.0
""
75.0
""
""
""
""
129.0
1869.0
""
8956.0
""
""
""
37.0
2452.0
193.0
""
73.0
""
""
95.0
446.0
""
""
""
""
260.0
""
""
477.0
""
""
101.0
""
""
54.0
296.0
""
""
""
34.0
23.0
164.0
""
135.0
76.0
20.0
27.0
47.0
130.0
450.0
35.0
35.0
49.0
42.0
43.0
""
""
135.0
66.0
58.0
786.0
""
""
""
""
""
""
700.0
34.0
50.0
35.0
484.0
70.0
101.0
92.0
""
35.0
""
""
""
57.0
""
""
42.0
40.0
""
91.0
""
23.0
69.0
297.0
""
104.0
818.0
78.0
22.0
""
44.0
""
""
340.0
""
180.0
26.0
277.0
352.0
366.0
351.0
24860.0
803.0
10578.0
5185.0
296.0
179.0
28.0
""
30.0
""
""
157.0
80.0
""
37.0
818.0
""
""
4895.0
390.0
26.0
229.0
1919.0
41.0
""
""
""
""
""
""
""
""
35.0
34.0
80.0
3770.0
""
""
151.0
24.0
""
""
27.0
33.0
""
63.0
63.0
27.0
229.0
335.0
193.0
""
269.0
133.0
137.0
""
301.0
21.0
""
""
42.0
104.0
24.0
""
90.0
""
110.0
142.0
831.0
25.0
11104.0
214.0
24.0
""
816.0
""
""
63.0
57.0
""
""
""
""
""
""
""
""
""
""
""
39.0
""
""
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
25.0
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
36.0
""
406.0
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
25.0
88.0
""
176.0
""
""
268.0
""
""
""
""
""
""
318.0
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
124.0
1985.0
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
45.0
60.0
426.0
""
""
""
26.0
""
""
821.0
""
""
""
""
72.0
""
82.0
""
57.0
""
""
173.0
""
124.0
""
273.0
""
""
""
164.0
""
""
""
""
""
""
""
67.0
27.0
""
137.0
""
""
""
""
""
47.0
""
""
""
""
""
""
41.0
""
""
817.0
""
633.0
""
""
""
65.0
""
""
""
""
""
25.0
145.0
143.0
44.0
226.0
7344.0
270.0
26.0
""
26.0
""
""
""
""
""
""
""
""
50.0
""
""
66.0
""
""
""
""
""
59.0
""
151.0
1707.0
3695.0
22.0
74.0
36.0
26.0
66.0
""
""
""
""
""
755.0
""
21.0
""
""
""
462.0
""
""
""
""
""
35.0
41.0
""
24.0
""
""
""
41.0
""
""
22.0
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
27.0
""
""
""
""
8301.0
221.0
845.0
""
25.0
""
""
""
306.0
""
1816.0
""
377.0
38.0
""
""
44.0
""
""
418.0
30.0
""
187.0
""
""
""
""
""
""
""
69.0
853.0
45.0
47.0
""
""
""
""
""
""
33.0
""
""
107.0
57.0
49.0
""
35.0
1016.0
782.0
2449.0
554.0
6592.0
10866.0
""
""
""
460.0
392.0
23578.0
2772.0
""
""
7538.0
68.0
467.0
51152.0
""
21.0
""
20.0
181.0
""
77.0
2477.0
""
357.0
""
47.0
181.0
""
""
30.0
""
""
""
106.0
25.0
8368.0
