work_24_hisp_female_n
39.0
93.0
""
""
58.0
""
""
90.0
""
""
27.0
""
""
""
""
71.0
23.0
""
""
""
""
43.0
94.0
""
50.0
34.0
""
44.0
""
34.0
""
""
""
""
48.0
""
252.0
""
34.0
""
46.0
40.0
""
""
205.0
""
""
102.0
184.0
""
121.0
97.0
""
""
""
""
37.0
25.0
71.0
""
42.0
""
54.0
""
""
""
""
""
""
595.0
""
""
""
""
168.0
""
""
47.0
31.0
""
20.0
""
""
56.0
""
""
""
""
""
""
""
""
""
""
""
""
57.0
1006.0
383.0
203.0
224.0
71.0
80.0
16982.0
624.0
217.0
6629.0
1348.0
904.0
471.0
2136.0
""
""
""
437.0
""
""
""
54.0
""
20.0
""
""
""
""
""
57.0
74.0
24.0
""
""
""
""
65.0
""
""
94.0
""
21.0
39.0
30.0
21.0
29.0
""
""
36.0
66.0
""
""
""
""
""
""
39.0
""
""
22.0
28.0
""
""
""
""
""
""
""
""
""
30.0
62.0
""
310.0
""
""
59.0
""
""
228.0
68.0
""
""
29.0
""
330.0
37.0
""
53.0
6748.0
""
76.0
708.0
80.0
179.0
4687.0
91.0
436.0
9569.0
202.0
229.0
3524.0
63.0
7616.0
1609.0
144.0
77.0
93033.0
1725.0
511.0
54.0
352.0
2857.0
25.0
""
5033.0
793.0
171.0
18512.0
951.0
35.0
17584.0
5632.0
911.0
20946.0
18760.0
2628.0
5198.0
1080.0
4189.0
3489.0
10038.0
2161.0
369.0
""
104.0
2262.0
1867.0
4675.0
638.0
284.0
""
5308.0
120.0
7107.0
1258.0
441.0
3318.0
197.0
2145.0
24.0
""
53.0
834.0
193.0
34.0
""
""
66.0
21.0
28.0
""
122.0
4820.0
""
400.0
51.0
45.0
2103.0
130.0
155.0
""
""
""
""
69.0
""
2189.0
""
36.0
49.0
137.0
716.0
183.0
""
77.0
401.0
""
44.0
83.0
154.0
259.0
241.0
""
28.0
""
""
120.0
1569.0
20.0
146.0
""
36.0
""
""
""
""
40.0
""
1466.0
27.0
2474.0
2570.0
171.0
170.0
1939.0
450.0
134.0
207.0
179.0
813.0
162.0
1065.0
328.0
""
207.0
""
972.0
8035.0
""
228.0
167.0
365.0
1041.0
62.0
107.0
""
1395.0
327.0
157.0
""
47.0
""
""
""
""
167.0
304.0
376.0
325.0
5148.0
""
240.0
25.0
""
""
570.0
1473.0
221.0
54.0
""
""
692.0
593.0
246.0
27202.0
382.0
57.0
323.0
227.0
5885.0
2243.0
4039.0
940.0
1372.0
1675.0
95.0
179.0
744.0
174.0
491.0
1768.0
51.0
40.0
""
""
1135.0
""
26.0
""
""
""
""
""
""
""
54.0
87.0
""
""
69.0
""
""
""
21.0
22.0
""
""
""
69.0
""
78.0
27.0
""
230.0
127.0
20.0
195.0
91.0
""
435.0
""
896.0
42.0
57.0
137.0
""
84.0
""
""
""
""
21.0
857.0
""
""
63.0
126.0
""
""
24.0
""
""
""
""
143.0
89.0
134.0
""
830.0
20.0
""
75.0
71.0
23.0
""
1340.0
51.0
485.0
""
""
""
""
""
159.0
188.0
""
34.0
""
""
""
""
""
""
""
""
20.0
""
194.0
""
""
102.0
24.0
""
""
""
""
""
""
""
""
""
""
""
82.0
359.0
48.0
""
""
81.0
30.0
""
""
""
60.0
""
""
""
""
""
274.0
