grad_asian_pooled_n
""
""
""
40.0
""
""
96.0
""
""
27.0
25.0
193.0
""
26.0
39.0
""
""
""
""
""
""
48.0
""
""
140.0
""
""
27.0
256.0
""
""
""
132.0
69.0
""
50.0
""
""
""
""
25.0
""
""
""
""
""
220.0
24.0
59.0
""
28.0
21.0
""
""
""
29.0
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
92.0
""
""
""
""
102.0
""
""
""
42.0
""
""
""
""
36.0
""
""
""
""
271.0
58.0
38.0
332.0
108.0
34.0
39.0
250.0
38.0
155.0
""
""
29.0
""
52.0
""
55.0
35.0
52.0
""
""
""
""
""
""
""
""
21.0
24.0
""
""
""
537.0
""
23.0
""
27.0
""
""
31.0
""
""
26.0
22.0
""
""
""
""
20.0
""
""
""
""
36.0
""
""
67.0
33.0
""
27.0
""
""
""
""
25.0
405.0
""
1652.0
""
""
""
""
689.0
64.0
""
33.0
""
""
35.0
110.0
""
""
""
""
70.0
""
""
130.0
""
""
36.0
""
""
""
65.0
""
""
""
""
""
56.0
""
39.0
""
""
""
""
49.0
125.0
""
""
23.0
""
""
""
""
44.0
30.0
23.0
209.0
""
""
""
""
""
""
153.0
""
""
""
150.0
31.0
27.0
22.0
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
106.0
""
27.0
199.0
26.0
""
""
""
""
""
95.0
""
57.0
""
65.0
130.0
94.0
110.0
4761.0
253.0
2200.0
1048.0
86.0
41.0
""
""
""
""
""
43.0
""
""
""
121.0
""
""
891.0
104.0
""
60.0
407.0
""
""
""
""
""
""
""
""
""
""
""
28.0
722.0
""
""
37.0
""
""
""
""
""
""
""
""
""
45.0
83.0
31.0
""
49.0
41.0
35.0
""
71.0
""
""
""
""
28.0
""
""
27.0
""
41.0
41.0
176.0
""
2062.0
48.0
""
""
207.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
94.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
""
59.0
""
""
""
""
""
""
75.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
355.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
90.0
""
""
""
""
""
""
174.0
""
""
""
""
22.0
""
""
""
""
""
""
36.0
""
""
""
67.0
""
""
""
45.0
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
154.0
""
115.0
""
""
""
""
""
""
""
""
""
""
37.0
34.0
""
45.0
1122.0
50.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
46.0
342.0
731.0
""
""
""
""
""
""
""
""
""
""
158.0
""
""
""
""
""
106.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
1722.0
62.0
157.0
""
""
""
""
""
64.0
""
330.0
""
81.0
""
""
""
""
""
""
115.0
""
""
38.0
""
""
""
""
""
""
""
29.0
142.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
197.0
166.0
428.0
96.0
1168.0
2156.0
""
""
""
90.0
85.0
4159.0
410.0
""
""
1347.0
32.0
85.0
8776.0
""
""
""
""
43.0
""
27.0
449.0
""
78.0
""
""
33.0
""
""
""
""
""
""
""
""
1370.0
