comcoll_hisp_male_n
31.0
""
""
48.0
61.0
""
108.0
""
""
25.0
30.0
182.0
""
""
50.0
""
""
35.0
""
""
40.0
178.0
27.0
""
191.0
""
56.0
96.0
213.0
""
""
""
132.0
105.0
""
70.0
""
""
""
""
36.0
""
""
""
""
""
325.0
34.0
54.0
""
46.0
48.0
20.0
""
""
56.0
""
""
""
""
""
82.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
126.0
""
""
""
26.0
120.0
""
""
64.0
58.0
29.0
""
""
""
31.0
""
""
""
112.0
1084.0
286.0
193.0
5286.0
840.0
308.0
196.0
1279.0
180.0
219.0
""
104.0
56.0
22.0
87.0
""
79.0
100.0
87.0
""
""
""
29.0
""
""
34.0
""
62.0
68.0
""
""
""
651.0
""
35.0
""
72.0
""
48.0
79.0
""
""
70.0
31.0
""
""
""
""
44.0
""
""
""
""
66.0
""
""
136.0
46.0
""
24.0
""
""
""
""
53.0
290.0
""
1549.0
""
""
""
62.0
831.0
118.0
39.0
179.0
""
""
124.0
373.0
""
""
""
""
115.0
""
""
133.0
""
""
41.0
""
""
47.0
93.0
""
""
""
72.0
37.0
241.0
38.0
182.0
100.0
31.0
37.0
40.0
81.0
154.0
""
""
72.0
23.0
32.0
""
""
432.0
33.0
156.0
348.0
""
""
""
""
""
""
123.0
25.0
""
20.0
111.0
85.0
69.0
29.0
""
""
""
""
""
""
""
""
""
31.0
""
39.0
""
""
26.0
125.0
""
30.0
390.0
36.0
""
""
34.0
""
23.0
120.0
""
121.0
""
279.0
357.0
163.0
323.0
8402.0
319.0
3456.0
1386.0
155.0
72.0
""
""
23.0
""
""
34.0
22.0
""
""
352.0
""
""
1079.0
118.0
""
241.0
1123.0
""
""
""
""
""
""
""
27.0
""
42.0
""
32.0
390.0
""
""
24.0
38.0
""
""
36.0
32.0
""
63.0
25.0
""
27.0
85.0
66.0
""
41.0
46.0
""
""
86.0
""
""
""
44.0
57.0
""
""
144.0
""
120.0
192.0
495.0
44.0
5504.0
202.0
24.0
""
214.0
""
21.0
23.0
34.0
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
28.0
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
28.0
""
""
""
""
97.0
""
""
""
35.0
""
""
""
""
62.0
70.0
""
""
23.0
32.0
""
""
41.0
79.0
""
60.0
""
""
246.0
30.0
""
""
""
""
""
400.0
""
""
371.0
48.0
""
""
""
""
""
""
""
""
""
36.0
""
34.0
""
""
461.0
1796.0
""
""
50.0
26.0
""
""
""
""
""
""
""
""
""
""
44.0
94.0
221.0
29.0
24.0
""
36.0
39.0
24.0
422.0
38.0
21.0
""
""
27.0
""
49.0
28.0
50.0
""
31.0
63.0
30.0
116.0
""
240.0
""
""
25.0
3125.0
133.0
""
160.0
""
261.0
""
211.0
539.0
142.0
80.0
337.0
55.0
""
""
""
223.0
98.0
28.0
""
64.0
31.0
28.0
67.0
301.0
36.0
47.0
1261.0
31.0
4054.0
95.0
62.0
""
562.0
135.0
55.0
51.0
100.0
45.0
938.0
3421.0
1447.0
174.0
373.0
4907.0
171.0
80.0
30.0
221.0
54.0
""
104.0
182.0
204.0
128.0
41.0
57.0
207.0
""
21.0
120.0
""
""
31.0
51.0
63.0
273.0
58.0
298.0
1464.0
2892.0
63.0
194.0
96.0
82.0
88.0
52.0
""
43.0
""
30.0
413.0
""
56.0
30.0
24.0
""
92.0
""
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
44.0
""
""
""
""
""
""
""
""
""
""
""
29.0
""
371.0
23.0
62.0
134.0
376.0
20.0
""
81.0
1400.0
29.0
2957.0
72.0
1443.0
111.0
""
130.0
127.0
""
88.0
67.0
78.0
44.0
225.0
63.0
""
27.0
37.0
""
""
""
165.0
668.0
59.0
141.0
""
""
""
""
""
46.0
70.0
""
""
108.0
31.0
84.0
""
25.0
1209.0
1335.0
2960.0
321.0
2240.0
3011.0
35.0
""
""
295.0
394.0
3190.0
1274.0
""
""
3192.0
890.0
753.0
25835.0
""
""
92.0
73.0
122.0
23.0
44.0
481.0
43.0
372.0
22.0
353.0
298.0
""
""
35.0
""
""
""
37.0
""
890.0
