staytract_other_male_n
48.0
90.0
""
""
24.0
""
""
125.0
""
""
""
""
""
""
""
65.0
37.0
""
""
""
""
32.0
91.0
21.0
46.0
48.0
22.0
56.0
""
""
""
""
""
""
65.0
44.0
328.0
""
35.0
48.0
66.0
46.0
""
""
353.0
""
""
44.0
228.0
""
165.0
66.0
""
""
""
""
39.0
28.0
73.0
""
39.0
""
79.0
33.0
""
""
""
""
""
1138.0
25.0
""
""
""
321.0
""
""
135.0
82.0
44.0
38.0
""
""
129.0
27.0
""
""
""
""
48.0
""
""
""
""
""
""
38.0
228.0
131.0
36.0
""
""
""
3077.0
179.0
88.0
898.0
119.0
""
124.0
116.0
""
""
28.0
170.0
33.0
""
""
""
""
""
""
""
""
""
""
43.0
63.0
30.0
""
""
""
""
46.0
""
""
75.0
""
""
21.0
20.0
""
26.0
""
""
46.0
""
""
""
""
""
""
""
50.0
""
""
31.0
34.0
""
""
""
""
""
""
""
""
""
24.0
36.0
""
323.0
""
""
58.0
""
""
183.0
""
""
""
30.0
""
178.0
37.0
""
""
3847.0
""
42.0
337.0
48.0
20.0
2392.0
38.0
262.0
1001.0
26.0
223.0
81.0
20.0
956.0
218.0
66.0
42.0
12113.0
153.0
430.0
31.0
131.0
357.0
""
""
859.0
212.0
142.0
4178.0
495.0
""
2570.0
3416.0
77.0
2910.0
5318.0
1551.0
1338.0
343.0
2120.0
568.0
3504.0
373.0
270.0
""
79.0
1656.0
775.0
888.0
195.0
95.0
""
410.0
69.0
1235.0
315.0
181.0
475.0
""
920.0
""
""
""
266.0
65.0
""
""
""
""
""
""
""
23.0
663.0
""
207.0
""
""
1267.0
51.0
28.0
""
""
""
""
""
""
630.0
""
""
""
46.0
215.0
""
""
""
112.0
""
""
27.0
36.0
22.0
""
""
20.0
""
""
""
130.0
""
""
""
""
""
""
""
""
38.0
""
169.0
""
702.0
660.0
110.0
122.0
644.0
371.0
90.0
92.0
166.0
444.0
116.0
461.0
169.0
""
270.0
""
562.0
1725.0
""
117.0
67.0
251.0
136.0
30.0
""
""
938.0
429.0
58.0
""
24.0
""
""
""
""
""
""
93.0
56.0
1012.0
""
69.0
34.0
""
""
177.0
295.0
177.0
21.0
""
""
175.0
184.0
69.0
1527.0
76.0
40.0
434.0
25.0
1104.0
256.0
848.0
254.0
733.0
385.0
52.0
88.0
180.0
197.0
222.0
458.0
26.0
20.0
""
""
372.0
""
45.0
""
""
""
""
""
""
""
27.0
47.0
""
""
86.0
""
""
""
24.0
28.0
""
""
""
73.0
""
51.0
21.0
""
217.0
61.0
""
107.0
61.0
""
318.0
""
511.0
20.0
""
146.0
""
61.0
""
""
""
""
""
712.0
""
""
57.0
82.0
""
""
30.0
""
""
""
""
106.0
40.0
52.0
""
562.0
""
""
55.0
28.0
""
""
572.0
""
100.0
""
""
""
""
""
132.0
166.0
""
""
""
""
""
""
""
""
""
""
""
21.0
211.0
""
""
98.0
""
""
""
""
""
""
""
""
""
""
""
""
""
283.0
49.0
21.0
""
59.0
21.0
""
""
""
""
""
""
""
""
""
344.0
41.0
""
""
""
35.0
""
""
""
""
""
""
""
""
""
27.0
26.0
""
""
""
38.0
""
""
""
""
40.0
27.0
21.0
""
""
""
""
""
""
31.0
""
""
""
""
2034.0
13506.0
683.0
1717.0
362.0
""
97.0
""
""
37.0
""
""
34.0
100.0
""
""
""
155.0
""
22.0
""
""
""
74.0
""
""
25.0
""
""
""
""
119.0
36.0
""
""
""
""
29.0
56.0
""
""
25.0
""
""
""
53.0
""
""
48.0
""
""
31.0
""
20.0
""
""
""
173.0
""
""
""
27.0
22.0
3599.0
""
""
67.0
""
""
868.0
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
32.0
""
43.0
""
24.0
23.0
""
""
341.0
82.0
60.0
41.0
634.0
68.0
""
32.0
""
""
""
162.0
123.0
92.0
21.0
193.0
""
""
""
""
""
""
""
""
29.0
""
40.0
169.0
""
""
""
""
""
""
""
""
134.0
303.0
""
145.0
""
""
""
""
40.0
65.0
""
51.0
""
20.0
""
""
""
34.0
446.0
31.0
243.0
""
""
346.0
51.0
""
""
29.0
""
""
""
82.0
""
""
""
""
26.0
""
""
66.0
""
131.0
""
58.0
""
""
""
""
47.0
""
136.0
46.0
""
74.0
""
68.0
""
""
""
""
21.0
""
69.0
""
47.0
""
352.0
87.0
21.0
90.0
809.0
27.0
""
33.0
76.0
21.0
32.0
""
27.0
""
""
""
""
""
""
108.0
""
""
21.0
""
""
""
242.0
""
23.0
""
""
20.0
""
""
79.0
""
""
108.0
""
79.0
24.0
""
28.0
""
66.0
""
""
""
""
""
""
""
""
""
85.0
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
25.0
""
29.0
""
""
""
35.0
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
76.0
""
""
""
33.0
144.0
""
""
""
""
""
""
31.0
""
""
""
""
""
20.0
""
""
""
""
""
""
301.0
57.0
""
""
""
175.0
""
""
47.0
""
""
""
""
""
30.0
""
""
29.0
""
""
112.0
""
""
""
""
24.0
""
21.0
""
""
68.0
""
""
31.0
""
""
""
""
""
""
58.0
39.0
""
24.0
""
139.0
""
""
""
""
36.0
42.0
22.0
155.0
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
460.0
""
""
""
30.0
""
143.0
""
""
""
35.0
25.0
""
""
""
37.0
""
85.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
60.0
""
""
108.0
""
""
""
66.0
""
601.0
30.0
226.0
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
231.0
""
""
""
""
22.0
""
""
71.0
""
20.0
25.0
""
""
""
36.0
""
""
""
49.0
""
""
""
""
74.0
24.0
""
""
""
""
48.0
""
""
""
221.0
""
""
40.0
""
""
""
""
""
""
""
""
""
237.0
""
""
""
34.0
""
""
34.0
""
516.0
33.0
""
109.0
""
""
""
25.0
""
""
""
""
""
""
""
""
""
39.0
""
""
42.0
""
""
""
""
""
44.0
""
20.0
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
55.0
""
""
""
""
""
22.0
25.0
""
39.0
""
20.0
21.0
""
142.0
179.0
153.0
""
""
""
""
""
""
273.0
""
""
""
""
""
57.0
""
""
372.0
""
148.0
56.0
""
""
34.0
""
""
35.0
379.0
83.0
33.0
""
102.0
""
""
25.0
53.0
23.0
""
""
44.0
43.0
28.0
41.0
193.0
48.0
""
90.0
""
29.0
150.0
22.0
22.0
""
""
""
""
88.0
50.0
198.0
""
""
98.0
