hs_asian_male_n
""
""
""
50.0
36.0
""
135.0
""
""
54.0
39.0
303.0
""
39.0
69.0
""
""
21.0
""
""
22.0
59.0
23.0
""
221.0
""
""
47.0
354.0
""
""
""
200.0
92.0
""
68.0
""
""
""
""
34.0
""
""
""
""
""
295.0
34.0
85.0
""
32.0
66.0
""
""
""
34.0
""
""
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
121.0
""
""
""
""
138.0
""
""
""
49.0
""
""
""
""
48.0
""
""
""
32.0
351.0
59.0
58.0
479.0
167.0
32.0
67.0
360.0
50.0
244.0
""
23.0
45.0
""
64.0
""
77.0
54.0
79.0
""
""
""
""
""
""
""
""
35.0
36.0
""
""
""
838.0
""
31.0
""
26.0
""
27.0
34.0
""
""
41.0
25.0
""
""
""
""
33.0
""
""
""
""
62.0
""
""
115.0
55.0
""
33.0
""
""
""
""
31.0
533.0
""
2292.0
""
""
""
20.0
904.0
79.0
""
41.0
""
""
51.0
157.0
""
""
""
""
105.0
""
""
167.0
""
""
49.0
""
""
""
115.0
""
""
""
""
""
71.0
""
56.0
32.0
""
""
""
52.0
155.0
""
""
31.0
""
""
""
""
64.0
32.0
30.0
313.0
""
""
""
""
""
""
221.0
""
25.0
""
174.0
35.0
44.0
36.0
""
20.0
""
""
""
22.0
""
""
""
""
""
""
""
""
""
124.0
""
47.0
267.0
31.0
""
""
26.0
""
""
114.0
""
84.0
""
90.0
162.0
134.0
122.0
6499.0
325.0
3152.0
1483.0
100.0
63.0
""
""
""
""
""
53.0
35.0
""
""
215.0
""
""
1239.0
120.0
""
79.0
593.0
""
""
""
""
""
""
""
""
""
""
""
34.0
953.0
""
""
45.0
""
""
""
""
29.0
""
24.0
26.0
""
69.0
107.0
50.0
""
88.0
51.0
49.0
""
84.0
""
""
""
""
45.0
""
""
41.0
""
57.0
53.0
233.0
""
2903.0
77.0
""
""
271.0
""
""
27.0
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
114.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
82.0
""
""
110.0
""
""
""
""
""
""
110.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
44.0
536.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
26.0
130.0
""
""
""
""
""
""
249.0
""
""
""
""
27.0
""
29.0
""
""
""
""
44.0
""
34.0
""
94.0
""
""
""
79.0
""
""
""
""
""
""
""
22.0
""
""
44.0
""
""
""
""
""
28.0
""
""
""
""
""
""
20.0
""
""
218.0
""
196.0
""
""
""
22.0
""
""
""
""
""
""
51.0
47.0
24.0
72.0
1701.0
79.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
25.0
""
""
""
""
""
21.0
""
59.0
491.0
980.0
""
""
""
""
26.0
""
""
""
""
""
256.0
""
""
""
""
""
141.0
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
2278.0
90.0
225.0
""
""
""
""
""
90.0
""
434.0
""
130.0
""
""
""
20.0
""
""
167.0
""
""
47.0
""
""
""
""
""
""
""
23.0
234.0
21.0
23.0
""
""
""
""
""
""
""
""
""
24.0
21.0
""
""
""
305.0
221.0
661.0
148.0
1597.0
2990.0
""
""
""
140.0
128.0
5876.0
603.0
""
""
1993.0
30.0
154.0
12458.0
""
""
""
""
63.0
""
32.0
641.0
""
117.0
""
""
54.0
""
""
""
""
""
""
27.0
""
2006.0
