comcoll_asian_female_n
""
""
""
32.0
""
""
85.0
""
""
24.0
""
126.0
""
""
35.0
""
""
""
""
""
20.0
43.0
""
""
131.0
""
""
26.0
208.0
""
""
""
109.0
64.0
""
49.0
""
""
""
""
22.0
""
""
""
""
""
181.0
20.0
52.0
""
23.0
22.0
""
""
""
26.0
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
""
""
104.0
""
""
""
37.0
""
""
""
""
37.0
""
""
""
""
235.0
35.0
34.0
287.0
87.0
34.0
39.0
216.0
30.0
124.0
""
""
33.0
""
40.0
""
35.0
41.0
45.0
""
""
""
""
""
""
""
""
""
22.0
""
""
""
497.0
""
""
""
21.0
""
""
24.0
""
""
21.0
23.0
""
""
""
""
""
""
""
""
""
43.0
""
""
67.0
31.0
""
25.0
""
""
""
""
23.0
359.0
""
1414.0
""
""
""
""
589.0
48.0
""
34.0
""
""
29.0
98.0
""
""
""
""
77.0
""
""
106.0
""
""
22.0
""
""
""
60.0
""
""
""
""
""
57.0
""
38.0
""
""
""
""
41.0
102.0
""
""
24.0
""
""
""
""
42.0
29.0
""
207.0
""
""
""
""
""
""
142.0
""
""
""
126.0
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
81.0
""
26.0
200.0
24.0
""
""
""
""
""
101.0
""
46.0
""
57.0
100.0
89.0
95.0
3930.0
201.0
1937.0
904.0
70.0
40.0
""
""
""
""
""
30.0
24.0
""
""
127.0
""
""
738.0
73.0
""
50.0
351.0
""
""
""
""
""
""
""
""
""
""
""
""
641.0
""
""
33.0
""
""
""
""
22.0
""
""
""
""
36.0
63.0
33.0
""
49.0
36.0
27.0
""
66.0
""
""
""
""
30.0
""
""
27.0
""
36.0
26.0
177.0
""
1686.0
53.0
""
""
175.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
79.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
41.0
""
""
""
""
""
""
64.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
305.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
73.0
""
""
""
""
""
""
165.0
""
""
""
""
22.0
""
22.0
""
""
""
""
38.0
""
20.0
""
64.0
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
128.0
""
114.0
""
""
""
""
""
""
""
""
""
""
46.0
29.0
""
43.0
1005.0
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
295.0
643.0
""
""
""
""
20.0
""
""
""
""
""
131.0
""
""
""
""
""
93.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
1378.0
61.0
133.0
""
""
""
""
""
59.0
""
283.0
""
79.0
""
""
""
""
""
""
106.0
""
""
42.0
""
""
""
""
""
""
""
32.0
152.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
163.0
125.0
360.0
71.0
1025.0
1828.0
""
""
""
72.0
61.0
3452.0
346.0
""
""
1140.0
27.0
81.0
7201.0
""
""
""
""
35.0
""
27.0
398.0
""
80.0
""
""
36.0
""
""
""
""
""
""
""
""
1200.0
