kir_stycz_natam_female_n
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
40.0
""
""
""
""
""
""
""
""
42.0
45.0
""
""
122.0
""
""
""
""
101.0
""
""
""
89.0
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
533.0
183.0
""
""
30.0
140.0
""
""
67.0
69.0
28.0
29.0
125.0
""
58.0
96.0
61.0
96.0
""
33.0
24.0
""
""
""
""
""
81.0
499.0
""
556.0
112.0
82.0
""
43.0
1632.0
83.0
576.0
686.0
218.0
""
40.0
48.0
""
""
""
110.0
""
""
""
""
""
""
""
""
""
""
""
""
54.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
46.0
""
""
23.0
""
""
69.0
""
""
""
""
""
61.0
""
""
""
132.0
""
""
78.0
""
""
93.0
39.0
25.0
163.0
""
145.0
42.0
51.0
143.0
53.0
""
""
613.0
32.0
""
""
51.0
33.0
""
""
32.0
""
""
207.0
61.0
""
298.0
218.0
""
211.0
317.0
35.0
84.0
30.0
38.0
51.0
139.0
30.0
78.0
""
27.0
68.0
97.0
86.0
30.0
31.0
""
95.0
""
69.0
44.0
41.0
100.0
""
82.0
""
""
""
31.0
""
""
""
""
""
""
""
""
""
154.0
""
20.0
""
""
111.0
""
""
""
""
""
""
""
""
104.0
""
""
""
23.0
32.0
""
""
""
26.0
""
""
44.0
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
26.0
""
""
37.0
""
""
32.0
54.0
""
""
23.0
22.0
23.0
38.0
""
""
33.0
""
39.0
89.0
""
""
""
21.0
""
""
""
""
68.0
68.0
""
""
""
""
""
""
""
""
""
""
""
62.0
""
""
""
""
""
""
26.0
""
""
""
""
20.0
""
""
62.0
""
""
33.0
""
62.0
""
53.0
22.0
74.0
30.0
""
""
23.0
30.0
24.0
25.0
""
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
46.0
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
