kfr_imm_other_pooled_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
128.0
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
""
""
""
334.0
""
""
114.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
674.0
""
""
26.0
""
""
407.0
""
22.0
133.0
""
""
""
""
118.0
36.0
""
""
2785.0
""
63.0
""
""
59.0
""
""
160.0
24.0
""
943.0
50.0
""
369.0
549.0
""
465.0
1138.0
326.0
240.0
28.0
505.0
70.0
723.0
42.0
""
""
""
305.0
71.0
132.0
32.0
""
""
42.0
""
203.0
55.0
27.0
50.0
""
112.0
""
""
""
31.0
""
""
""
""
""
""
""
""
""
56.0
""
22.0
""
""
221.0
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
111.0
106.0
""
""
82.0
36.0
""
""
25.0
53.0
""
62.0
24.0
""
38.0
""
85.0
409.0
""
""
""
29.0
23.0
""
""
""
151.0
49.0
""
""
""
""
""
""
""
""
""
""
""
169.0
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
394.0
""
""
118.0
""
193.0
44.0
143.0
29.0
88.0
32.0
""
""
23.0
29.0
23.0
69.0
""
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
60.0
""
""
31.0
""
""
""
""
""
""
""
97.0
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
52.0
""
""
""
""
""
""
86.0
""
""
""
""
""
""
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
44.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
63.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
98.0
1435.0
40.0
96.0
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
614.0
""
""
""
""
""
173.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
""
""
113.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
40.0
""
