jail_pooled_pooled_n
37414
16557
3686
50706
32957
5431
70481
5450
3753
25421
28600
101723
3683
10050
26542
2538
2242
24451
3147
5514
40556
48005
24097
15013
89846
4069
15258
39023
94115
7707
10077
16257
76598
47139
8970
38053
8202
11668
2762
3251
42603
8231
3647
1533
5443
6910
107022
22468
61343
14923
27980
42159
20313
1482
2216
41212
5521
1687
1732
12923
7040
49668
2919
6968
8500
7561
2247
4346
5614
7530
6504
9351
11420
15528
7285
3288
14102
8881
4090
90797
10612
12877
6624
14166
94342
10529
11104
20142
39284
20706
15642
6164
7008
36189
6633
2539
13970
29432
161489
44262
49745
259239
101282
45016
46422
132958
41656
93982
9696
25722
19914
18308
54778
4639
47676
63687
43082
2777
2279
2828
17126
7991
6815
9996
6768
31327
29812
6763
5480
5474
254863
10572
13814
6030
19386
10597
36964
25116
4202
9170
28059
15376
2558
4720
14171
3535
17748
11671
7417
7297
9344
73835
18224
4123
52239
43253
4970
30279
5465
10911
1464
4278
22658
177022
2986
319834
9937
9902
4017
26971
371583
37223
11322
46927
10701
4831
41392
105900
12581
6988
7708
9110
98583
10144
9183
153122
3740
12435
38001
2685
6392
17365
83167
4020
5853
14065
22850
24450
69354
9274
55252
33328
11497
16457
31913
48775
115999
13404
20249
26410
19382
31867
4418
4478
60071
56895
37564
191717
15027
15908
9138
13909
17464
9673
121286
27756
19888
29473
167465
61359
49907
29588
3307
16067
2659
9065
3336
21340
1603
9260
22558
11450
13016
30520
10255
9149
18476
80175
11116
22247
164618
26237
15675
3409
19212
11088
7846
69088
13588
56081
16999
46980
84396
79649
57236
642954
78303
362506
376744
43850
31145
10915
2029
19222
1955
4849
47351
20850
6443
16994
99588
470
378
287428
86601
8200
44821
217158
11384
4087
3327
2296
5302
8300
5325
6864
3007
14101
10426
24126
217483
4219
12204
20699
6521
7338
6651
10085
19589
2916
15862
20995
12421
17791
47297
26497
5800
34086
25775
18606
11085
44360
15149
7739
8875
16570
28905
12136
11170
33736
6642
44683
50468
130827
11854
549989
52776
9473
11319
190631
3158
6745
22104
32452
12534
4062
7229
5565
3903
4779
12133
8547
10724
2256
12172
18068
2591
14364
5457
8577
13986
1773
24002
213
1110
5237
4325
2080
1240
925
2643
2516
10826
209
589
230
1577
647
886
7167
1147
129
91
260
715
58
595
360
753
1149
2701
1712
2399
3421
1448
17583
3933
1753
1610
282
678
4434
8973
2533
2596
10336
16971
1371
3584
242
11388
7227
1301
842
488
988
4186
2610
1917
1299
773
437
2126
247
8267
5219
6186
5982
5981
4985
5218
9523
47490
3397
3525
4950
15800
294
222
64
294
6502
10274
1876
995
5629
6319
3713
2444
7627
17292
2114
25398
3775
4421
71446
3769
1471
141
648
1061
3841
55745
365
325
15319
1776
854
705
518
995
1568
853
332
1835
4568
4509
1178
5877
162
2377
38663
178476
2005
79
3768
4556
7522
3754
943
514
1890
1018
1093
6234
2215
1753
13442
26425
45774
7391
4877
5039
4571
13522
10117
141883
13536
7593
2822
1550
23304
6063
35091
10567
21593
4545
10000
23969
11320
28127
6324
73748
4146
2290
8813
75480
6596
590
4113
130
10635
391
8645
25580
7423
2893
22438
5290
685
484
43
5141
4695
1517
821
3041
1671
1757
3022
13656
3278
1440
90005
3752
142664
3096
4856
85
27684
3388
1430
1097
1725
1415
16539
69916
44606
13794
29006
349679
38556
12564
6263
10764
1800
450
2675
4363
4076
4860
1894
2536
17646
718
1007
13552
2244
405
1960
4712
4093
21686
6817
30470
152344
254321
14427
31898
23598
17684
16148
4504
703
8650
4928
5878
93572
4955
12965
14920
6383
108
29064
342
38
282
416
219
986
2716
908
1216
976
278
117
8309
1823
1637
8858
1121
3602
1483
3182
3948
1226
38
441
13622
100
859
6569
6101
4594
614
1546
9193
10534
4981
1438
8050
80
66467
2762
8059
3185
11291
844
402
3134
58816
1067
225285
2815
71974
16137
826
14979
20140
2538
10928
7548
10555
4646
42373
5928
552
13392
4719
845
2513
122
42227
144995
17304
29683
932
731
2726
3998
1653
9199
11517
538
728
18315
8915
21016
3386
12924
62053
56734
108035
30074
190178
162492
5092
1889
1105
35994
40809
287558
111789
164
1631
187213
23814
43455
1018726
7243
4298
7015
7821
46902
6245
18350
137909
5154
73765
5547
20387
29249
3946
582
12898
125
482
624
12708
6983
267206
