kir_top20_hisp_pooled_n
571.0
374.0
41.0
1127.0
1434.0
103.0
2549.0
151.0
85.0
708.0
846.0
4282.0
83.0
272.0
962.0
66.0
77.0
833.0
72.0
93.0
845.0
3531.0
678.0
502.0
4395.0
115.0
938.0
2080.0
4701.0
205.0
202.0
315.0
2668.0
2308.0
153.0
1323.0
103.0
216.0
33.0
46.0
736.0
105.0
42.0
""
54.0
107.0
6581.0
545.0
1457.0
364.0
1161.0
962.0
409.0
40.0
36.0
1198.0
85.0
55.0
66.0
304.0
161.0
1529.0
47.0
167.0
93.0
108.0
""
35.0
69.0
98.0
76.0
120.0
158.0
314.0
147.0
55.0
228.0
143.0
82.0
2389.0
220.0
278.0
94.0
449.0
2887.0
285.0
240.0
1280.0
1178.0
629.0
320.0
168.0
163.0
705.0
140.0
79.0
389.0
2557.0
24311.0
6772.0
4733.0
118778.0
17762.0
7773.0
4076.0
30656.0
4425.0
5867.0
426.0
2374.0
1279.0
529.0
1723.0
72.0
1613.0
1853.0
1685.0
56.0
70.0
57.0
742.0
278.0
231.0
808.0
155.0
1271.0
999.0
235.0
90.0
99.0
14551.0
177.0
631.0
122.0
2056.0
152.0
1029.0
1693.0
122.0
206.0
1181.0
700.0
70.0
156.0
330.0
40.0
681.0
220.0
79.0
89.0
118.0
1397.0
258.0
51.0
2720.0
919.0
58.0
650.0
71.0
99.0
""
30.0
1333.0
6289.0
67.0
32882.0
132.0
119.0
76.0
1371.0
13896.0
2388.0
482.0
2857.0
219.0
192.0
1948.0
6970.0
305.0
129.0
134.0
181.0
1997.0
131.0
154.0
2540.0
45.0
161.0
820.0
36.0
92.0
809.0
1756.0
77.0
63.0
171.0
1291.0
623.0
4112.0
685.0
2764.0
1814.0
475.0
611.0
742.0
1931.0
3453.0
293.0
333.0
1155.0
369.0
503.0
52.0
93.0
7742.0
761.0
2967.0
6414.0
183.0
161.0
133.0
129.0
187.0
110.0
2773.0
452.0
233.0
328.0
2128.0
1504.0
1354.0
588.0
40.0
248.0
30.0
143.0
25.0
250.0
27.0
72.0
251.0
562.0
291.0
850.0
102.0
316.0
538.0
2261.0
268.0
517.0
7467.0
526.0
237.0
27.0
648.0
198.0
505.0
2447.0
239.0
2739.0
243.0
5455.0
7294.0
3286.0
6592.0
190533.0
6364.0
73741.0
28311.0
2809.0
1370.0
299.0
80.0
254.0
22.0
76.0
815.0
313.0
91.0
300.0
8118.0
""
""
