kir_imm_asian_pooled_n
36.0
""
""
92.0
62.0
""
219.0
""
""
86.0
52.0
430.0
""
67.0
105.0
""
""
35.0
""
""
37.0
125.0
20.0
""
462.0
""
27.0
82.0
729.0
""
""
""
353.0
185.0
""
119.0
""
""
""
""
66.0
""
""
""
""
""
598.0
63.0
174.0
20.0
43.0
99.0
""
""
""
44.0
""
""
""
""
""
73.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
203.0
""
25.0
""
""
275.0
""
""
34.0
110.0
""
""
""
""
85.0
""
""
""
50.0
666.0
100.0
77.0
1042.0
334.0
57.0
141.0
780.0
84.0
458.0
""
51.0
74.0
20.0
104.0
""
120.0
87.0
129.0
""
""
""
22.0
""
""
27.0
""
85.0
52.0
""
""
""
1704.0
""
58.0
""
57.0
""
39.0
63.0
""
22.0
70.0
57.0
""
""
""
""
38.0
""
""
""
""
80.0
""
""
239.0
99.0
""
48.0
""
""
""
""
67.0
1021.0
""
4944.0
""
""
""
21.0
1839.0
149.0
""
63.0
""
""
70.0
211.0
""
""
""
""
209.0
""
""
312.0
""
""
87.0
""
""
37.0
172.0
""
""
""
25.0
""
126.0
""
116.0
52.0
""
""
25.0
81.0
260.0
""
""
44.0
22.0
29.0
""
""
87.0
43.0
32.0
568.0
""
""
""
""
""
""
395.0
29.0
38.0
22.0
343.0
47.0
50.0
40.0
""
24.0
""
""
""
39.0
""
""
30.0
""
""
34.0
""
""
33.0
204.0
""
66.0
454.0
57.0
20.0
""
32.0
""
""
223.0
""
110.0
""
173.0
247.0
187.0
243.0
13368.0
602.0
6955.0
2801.0
204.0
104.0
""
""
""
""
""
66.0
44.0
""
24.0
429.0
""
""
2321.0
167.0
""
130.0
1191.0
20.0
""
""
""
""
""
""
""
""
""
24.0
37.0
1667.0
""
""
69.0
""
""
""
""
24.0
""
58.0
27.0
""
132.0
175.0
91.0
""
176.0
87.0
59.0
""
141.0
""
""
""
25.0
92.0
""
""
53.0
""
76.0
82.0
443.0
20.0
6084.0
129.0
20.0
""
460.0
""
""
37.0
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
26.0
""
190.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
42.0
""
134.0
""
""
116.0
""
""
""
""
""
""
175.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
882.0
""
""
21.0
""
""
""
""
""
""
""
""
21.0
""
""
35.0
38.0
241.0
""
""
""
""
20.0
20.0
463.0
""
""
""
""
59.0
""
41.0
""
26.0
""
""
113.0
""
73.0
""
188.0
""
""
""
158.0
""
""
""
""
""
""
""
37.0
22.0
""
90.0
""
""
""
""
""
42.0
""
""
""
""
""
""
24.0
""
""
471.0
""
321.0
""
""
""
49.0
""
""
""
""
""
""
104.0
83.0
48.0
126.0
3744.0
179.0
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
51.0
""
""
""
""
""
27.0
""
120.0
905.0
2006.0
""
34.0
21.0
""
60.0
""
""
""
""
""
472.0
""
""
""
""
""
258.0
""
""
""
""
""
35.0
27.0
""
27.0
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
3351.0
132.0
386.0
""
""
""
""
""
172.0
""
836.0
""
245.0
""
""
""
20.0
""
""
170.0
""
""
58.0
""
""
""
""
""
""
""
34.0
381.0
33.0
""
""
""
""
""
""
""
""
""
""
43.0
24.0
24.0
""
""
635.0
479.0
1243.0
330.0
3204.0
6557.0
""
""
""
261.0
231.0
11673.0
1153.0
""
""
4292.0
44.0
282.0
26181.0
""
""
""
""
93.0
""
59.0
1155.0
""
177.0
""
27.0
100.0
""
""
""
""
""
""
51.0
""
3764.0
