kir_native_hisp_male_n
47.0
""
""
72.0
86.0
""
137.0
""
""
31.0
53.0
210.0
""
""
41.0
""
""
51.0
""
""
70.0
245.0
58.0
26.0
197.0
""
57.0
130.0
302.0
""
""
29.0
159.0
167.0
""
84.0
""
""
""
""
59.0
""
""
""
""
""
305.0
32.0
107.0
37.0
95.0
81.0
35.0
""
""
109.0
""
""
""
26.0
""
111.0
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
23.0
22.0
""
149.0
""
20.0
""
37.0
179.0
24.0
25.0
77.0
93.0
31.0
23.0
""
""
52.0
""
""
23.0
65.0
1040.0
261.0
214.0
1763.0
560.0
303.0
222.0
942.0
222.0
300.0
26.0
107.0
68.0
39.0
121.0
""
112.0
121.0
115.0
""
""
""
43.0
""
""
34.0
""
88.0
97.0
""
""
""
558.0
""
41.0
""
51.0
""
89.0
124.0
""
24.0
67.0
43.0
""
""
24.0
""
56.0
""
""
""
""
94.0
""
""
211.0
66.0
""
48.0
""
""
""
""
75.0
408.0
""
959.0
21.0
""
22.0
162.0
1283.0
264.0
80.0
344.0
56.0
30.0
199.0
589.0
35.0
22.0
""
45.0
171.0
""
""
197.0
""
""
53.0
""
""
67.0
145.0
""
""
""
135.0
86.0
454.0
76.0
233.0
124.0
33.0
47.0
90.0
176.0
215.0
30.0
23.0
74.0
37.0
38.0
""
""
591.0
79.0
266.0
448.0
21.0
""
""
""
""
""
220.0
33.0
23.0
50.0
208.0
134.0
119.0
41.0
""
30.0
""
""
""
29.0
""
""
26.0
27.0
""
61.0
""
""
35.0
224.0
37.0
45.0
526.0
57.0
27.0
""
70.0
20.0
51.0
210.0
23.0
174.0
30.0
242.0
372.0
238.0
388.0
4782.0
409.0
1876.0
1335.0
133.0
99.0
26.0
""
39.0
""
""
98.0
46.0
""
45.0
253.0
""
""
784.0
187.0
22.0
190.0
997.0
20.0
23.0
""
""
""
23.0
20.0
24.0
""
46.0
44.0
51.0
615.0
""
31.0
58.0
46.0
29.0
""
29.0
42.0
""
79.0
51.0
""
64.0
147.0
74.0
""
95.0
79.0
60.0
50.0
162.0
25.0
""
""
61.0
56.0
33.0
45.0
235.0
""
199.0
312.0
729.0
63.0
3719.0
292.0
42.0
22.0
418.0
""
""
39.0
67.0
""
""
20.0
""
""
""
""
""
21.0
""
31.0
37.0
""
25.0
""
28.0
29.0
""
68.0
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
36.0
""
""
62.0
72.0
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
26.0
""
26.0
""
26.0
134.0
""
""
""
69.0
""
""
""
""
117.0
116.0
21.0
""
25.0
23.0
""
""
58.0
74.0
""
101.0
""
""
343.0
48.0
""
""
""
""
31.0
676.0
""
""
785.0
112.0
""
""
""
""
""
""
""
""
27.0
32.0
""
62.0
""
""
637.0
2710.0
""
""
63.0
32.0
65.0
""
""
""
""
""
""
33.0
""
""
76.0
148.0
321.0
58.0
40.0
22.0
52.0
59.0
52.0
703.0
66.0
23.0
""
""
37.0
""
79.0
40.0
76.0
""
31.0
99.0
52.0
133.0
27.0
317.0
""
""
43.0
3067.0
194.0
21.0
250.0
""
494.0
71.0
292.0
986.0
248.0
144.0
515.0
68.0
22.0
21.0
""
293.0
90.0
28.0
""
55.0
31.0
29.0
76.0
624.0
55.0
75.0
2017.0
47.0
6862.0
266.0
97.0
""
832.0
182.0
97.0
60.0
162.0
123.0
930.0
3822.0
2843.0
184.0
605.0
4652.0
230.0
78.0
26.0
345.0
85.0
""
172.0
189.0
181.0
224.0
95.0
89.0
401.0
23.0
54.0
184.0
27.0
""
32.0
89.0
57.0
397.0
68.0
459.0
1747.0
2874.0
86.0
206.0
110.0
82.0
163.0
95.0
21.0
42.0
50.0
38.0
524.0
22.0
87.0
32.0
55.0
""
161.0
""
""
""
""
""
""
24.0
""
""
""
""
""
54.0
""
""
37.0
""
34.0
""
27.0
""
""
""
""
71.0
""
""
29.0
""
21.0
""
""
36.0
38.0
23.0
30.0
58.0
""
647.0
45.0
103.0
316.0
771.0
52.0
25.0
206.0
2734.0
69.0
3869.0
148.0
1936.0
181.0
""
279.0
242.0
35.0
201.0
131.0
84.0
64.0
326.0
107.0
""
57.0
59.0
""
""
""
176.0
972.0
90.0
176.0
""
""
26.0
26.0
""
78.0
108.0
""
""
168.0
63.0
138.0
38.0
52.0
1164.0
1235.0
3047.0
394.0
2773.0
2661.0
51.0
""
""
292.0
421.0
3003.0
1165.0
""
""
2389.0
544.0
778.0
16379.0
35.0
""
124.0
46.0
193.0
45.0
82.0
645.0
38.0
454.0
38.0
328.0
306.0
""
""
55.0
""
""
""
50.0
""
1269.0
