hs_hisp_male_n
48.0
22.0
""
85.0
106.0
""
202.0
""
""
56.0
58.0
315.0
""
25.0
77.0
""
""
61.0
""
""
62.0
313.0
58.0
34.0
337.0
""
88.0
156.0
375.0
20.0
""
31.0
222.0
182.0
""
108.0
""
21.0
""
""
68.0
""
""
""
""
""
552.0
60.0
110.0
26.0
81.0
83.0
35.0
""
""
106.0
""
""
""
24.0
""
123.0
""
""
""
""
""
""
""
""
""
""
""
34.0
""
""
23.0
""
""
202.0
24.0
29.0
""
44.0
213.0
""
23.0
114.0
109.0
48.0
29.0
""
""
57.0
""
""
32.0
187.0
1854.0
526.0
343.0
9354.0
1433.0
524.0
332.0
2274.0
338.0
438.0
28.0
173.0
105.0
35.0
142.0
""
145.0
169.0
148.0
""
""
""
55.0
21.0
""
55.0
""
111.0
105.0
""
""
""
1096.0
""
62.0
""
148.0
""
94.0
136.0
""
28.0
109.0
48.0
""
""
25.0
""
69.0
""
""
""
""
125.0
""
""
228.0
75.0
""
44.0
""
""
""
""
96.0
496.0
""
2653.0
""
""
""
120.0
1327.0
224.0
59.0
307.0
29.0
31.0
206.0
625.0
21.0
""
""
24.0
185.0
""
""
221.0
""
""
58.0
""
""
80.0
150.0
""
""
""
124.0
71.0
416.0
75.0
287.0
170.0
50.0
64.0
76.0
163.0
273.0
25.0
23.0
119.0
31.0
47.0
""
""
708.0
61.0
265.0
605.0
23.0
""
""
""
""
""
224.0
43.0
23.0
37.0
183.0
148.0
134.0
50.0
""
32.0
""
""
""
""
""
""
20.0
50.0
25.0
60.0
""
26.0
45.0
215.0
26.0
50.0
671.0
52.0
28.0
""
59.0
""
47.0
211.0
22.0
193.0
23.0
465.0
617.0
282.0
552.0
15449.0
561.0
6265.0
2368.0
254.0
130.0
27.0
""
32.0
""
""
77.0
36.0
""
22.0
632.0
""
""
1948.0
210.0
""
423.0
2067.0
24.0
""
""
""
""
""
""
34.0
""
64.0
39.0
56.0
623.0
""
24.0
46.0
51.0
26.0
""
52.0
46.0
""
105.0
44.0
33.0
47.0
155.0
101.0
""
69.0
73.0
30.0
27.0
146.0
26.0
""
""
65.0
81.0
27.0
31.0
234.0
""
196.0
352.0
901.0
76.0
9503.0
360.0
43.0
""
385.0
""
24.0
48.0
54.0
""
""
""
""
""
""
""
24.0
""
""
22.0
41.0
""
22.0
""
33.0
26.0
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
24.0
""
""
50.0
63.0
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
56.0
""
""
41.0
""
31.0
28.0
27.0
162.0
""
""
""
59.0
""
""
""
""
117.0
121.0
""
""
41.0
50.0
""
""
68.0
132.0
""
104.0
""
""
424.0
54.0
""
""
""
""
28.0
686.0
""
""
673.0
83.0
""
""
""
""
""
""
""
""
22.0
56.0
""
70.0
""
22.0
758.0
3082.0
""
""
99.0
36.0
45.0
""
""
""
""
""
""
36.0
""
""
83.0
163.0
369.0
44.0
38.0
""
63.0
64.0
38.0
742.0
58.0
32.0
""
""
42.0
""
87.0
51.0
86.0
""
49.0
126.0
53.0
210.0
""
383.0
""
""
45.0
5563.0
208.0
""
290.0
""
481.0
50.0
383.0
939.0
253.0
160.0
582.0
102.0
23.0
""
""
345.0
163.0
40.0
""
104.0
54.0
56.0
122.0
549.0
64.0
81.0
2302.0
67.0
7259.0
189.0
112.0
""
1053.0
221.0
106.0
113.0
174.0
98.0
1650.0
6533.0
2629.0
276.0
733.0
9071.0
324.0
153.0
54.0
414.0
79.0
""
205.0
323.0
362.0
205.0
80.0
100.0
384.0
26.0
38.0
207.0
23.0
""
52.0
101.0
95.0
488.0
113.0
544.0
2610.0
5144.0
110.0
338.0
173.0
142.0
163.0
86.0
27.0
73.0
48.0
46.0
694.0
22.0
88.0
47.0
55.0
""
176.0
""
""
""
""
""
""
""
""
""
""
""
""
54.0
""
""
28.0
""
26.0
""
21.0
""
""
""
""
66.0
""
""
23.0
""
""
""
""
26.0
29.0
24.0
28.0
49.0
""
632.0
33.0
99.0
266.0
637.0
41.0
20.0
154.0
2502.0
56.0
5172.0
131.0
2496.0
183.0
""
238.0
221.0
29.0
153.0
111.0
128.0
83.0
414.0
98.0
""
50.0
54.0
""
""
""
247.0
1165.0
97.0
245.0
""
""
""
""
""
69.0
115.0
""
""
199.0
53.0
157.0
30.0
42.0
2102.0
2270.0
5164.0
582.0
3764.0
5159.0
67.0
31.0
""
485.0
659.0
5576.0
2141.0
""
""
5387.0
1628.0
1309.0
44360.0
25.0
""
168.0
124.0
194.0
37.0
85.0
812.0
78.0
643.0
35.0
597.0
492.0
""
""
61.0
""
""
""
70.0
20.0
1487.0
