stayhome_black_pooled_n
834.0
293.0
36.0
2718.0
5287.0
1181.0
13575.0
161.0
66.0
4748.0
3645.0
21364.0
33.0
365.0
2250.0
20.0
""
1234.0
20.0
1814.0
12401.0
13092.0
4093.0
5343.0
18522.0
1671.0
4136.0
8952.0
24861.0
1829.0
3373.0
2517.0
20688.0
12969.0
4018.0
6339.0
2439.0
3006.0
1220.0
1506.0
16661.0
2993.0
1022.0
209.0
2009.0
3021.0
32952.0
3424.0
17057.0
3552.0
5368.0
9108.0
6185.0
477.0
551.0
13819.0
1495.0
191.0
274.0
4714.0
2003.0
9770.0
719.0
432.0
62.0
211.0
""
67.0
132.0
58.0
2685.0
3698.0
5626.0
3763.0
1772.0
145.0
3106.0
729.0
734.0
34534.0
3900.0
830.0
176.0
1210.0
12802.0
523.0
619.0
3581.0
6099.0
1311.0
1260.0
127.0
80.0
4544.0
44.0
""
455.0
2065.0
16468.0
5338.0
3375.0
55236.0
15510.0
3198.0
3911.0
17544.0
3791.0
17562.0
1541.0
2089.0
3015.0
6583.0
18005.0
2014.0
13378.0
10368.0
13424.0
920.0
593.0
922.0
4479.0
1471.0
1574.0
3181.0
1789.0
9304.0
9233.0
1396.0
1921.0
1768.0
72702.0
2589.0
2572.0
920.0
1099.0
2527.0
6923.0
9046.0
1504.0
3044.0
6748.0
1491.0
832.0
1356.0
5522.0
1389.0
3525.0
3581.0
2893.0
2796.0
450.0
18961.0
6237.0
1975.0
6486.0
11511.0
1402.0
10249.0
1154.0
325.0
57.0
44.0
3267.0
42124.0
730.0
76368.0
49.0
39.0
20.0
803.0
60356.0
2582.0
69.0
2913.0
125.0
36.0
2910.0
5461.0
68.0
24.0
34.0
43.0
9236.0
183.0
271.0
14645.0
118.0
56.0
3383.0
56.0
254.0
1724.0
10118.0
41.0
328.0
392.0
365.0
1089.0
5465.0
151.0
5431.0
1011.0
95.0
547.0
1829.0
3219.0
15145.0
162.0
477.0
924.0
230.0
1268.0
""
52.0
9346.0
2168.0
2240.0
25395.0
175.0
302.0
334.0
207.0
324.0
145.0
13319.0
983.0
203.0
341.0
10530.0
4389.0
1224.0
2491.0
20.0
292.0
""
548.0
""
957.0
""
52.0
454.0
272.0
829.0
1250.0
172.0
412.0
2491.0
3428.0
87.0
433.0
12039.0
590.0
126.0
""
639.0
83.0
67.0
2719.0
113.0
1362.0
394.0
1458.0
2092.0
4383.0
3797.0
123864.0
4526.0
45143.0
60483.0
7469.0
5703.0
1498.0
424.0
97.0
""
23.0
357.0
150.0
""
95.0
3351.0
""
""
15725.0
766.0
44.0
