work_24_hisp_male_n
32.0
86.0
""
""
57.0
""
""
97.0
""
""
23.0
""
""
""
""
58.0
""
""
""
""
""
30.0
98.0
""
49.0
29.0
""
40.0
""
28.0
""
""
""
""
55.0
23.0
237.0
""
22.0
""
53.0
36.0
""
""
189.0
""
""
96.0
180.0
""
134.0
76.0
""
""
""
""
46.0
""
78.0
""
""
""
54.0
""
""
""
""
""
""
542.0
""
""
""
""
167.0
""
""
38.0
33.0
""
""
""
""
51.0
""
""
""
""
""
""
""
""
""
""
""
""
43.0
1050.0
358.0
188.0
231.0
85.0
90.0
17005.0
650.0
225.0
6467.0
1339.0
928.0
457.0
2178.0
""
""
""
480.0
""
""
""
63.0
""
25.0
""
""
""
""
""
48.0
73.0
39.0
""
""
""
""
53.0
""
""
80.0
""
27.0
42.0
""
25.0
21.0
""
""
43.0
57.0
""
""
""
""
""
""
35.0
""
""
26.0
36.0
""
""
""
""
""
""
""
""
21.0
""
65.0
""
342.0
""
""
53.0
""
""
224.0
67.0
""
""
32.0
""
372.0
43.0
""
45.0
6706.0
""
84.0
700.0
105.0
161.0
4507.0
86.0
428.0
9635.0
183.0
202.0
3677.0
59.0
7887.0
1634.0
150.0
101.0
94735.0
1799.0
532.0
39.0
334.0
2925.0
33.0
25.0
5225.0
845.0
166.0
18713.0
870.0
38.0
17978.0
5555.0
928.0
21185.0
18918.0
2623.0
5454.0
1121.0
4103.0
3451.0
10070.0
2261.0
359.0
""
103.0
2358.0
1927.0
4711.0
649.0
272.0
""
5498.0
134.0
7137.0
1364.0
403.0
3387.0
194.0
2075.0
33.0
""
47.0
839.0
186.0
39.0
""
""
58.0
28.0
31.0
""
107.0
4962.0
""
417.0
57.0
50.0
2070.0
120.0
169.0
""
""
""
""
69.0
""
2203.0
""
23.0
53.0
131.0
674.0
167.0
""
87.0
387.0
""
58.0
70.0
163.0
274.0
274.0
""
27.0
23.0
""
123.0
1601.0
""
153.0
""
37.0
""
""
""
""
35.0
22.0
1515.0
41.0
2431.0
2466.0
151.0
171.0
2051.0
413.0
118.0
213.0
178.0
775.0
160.0
1084.0
287.0
""
210.0
""
1015.0
8131.0
""
223.0
151.0
366.0
1029.0
61.0
94.0
""
1252.0
337.0
125.0
""
56.0
""
29.0
""
""
138.0
319.0
351.0
326.0
5178.0
""
250.0
31.0
""
""
569.0
1519.0
213.0
44.0
""
""
741.0
600.0
250.0
27947.0
347.0
57.0
375.0
217.0
5831.0
2420.0
3928.0
957.0
1325.0
1771.0
104.0
188.0
753.0
175.0
503.0
1795.0
48.0
36.0
""
""
1164.0
""
45.0
""
""
""
""
""
""
""
63.0
76.0
""
""
60.0
""
""
""
39.0
""
""
""
""
65.0
""
64.0
27.0
""
213.0
129.0
""
195.0
116.0
""
454.0
""
891.0
35.0
53.0
126.0
""
94.0
""
""
""
""
""
902.0
""
""
62.0
133.0
""
""
22.0
""
""
""
""
132.0
67.0
138.0
""
818.0
""
""
56.0
83.0
23.0
""
1462.0
59.0
569.0
""
""
35.0
""
""
165.0
185.0
""
63.0
""
""
""
""
""
""
""
""
23.0
""
209.0
""
""
85.0
21.0
""
""
""
""
""
""
""
""
""
""
""
63.0
378.0
47.0
32.0
""
88.0
40.0
""
""
""
67.0
""
""
""
""
""
256.0
80.0
""
""
""
29.0
""
""
22.0
""
""
28.0
""
""
""
31.0
56.0
36.0
""
""
30.0
""
""
""
""
21.0
56.0
21.0
""
""
""
""
""
""
466.0
""
""
""
""
339.0
2028.0
110.0
294.0
451.0
""
155.0
20.0
""
167.0
""
""
27.0
233.0
""
""
""
821.0
""
165.0
""
""
""
95.0
30.0
24.0
41.0
64.0
""
80.0
92.0
130.0
28.0
""
""
22.0
41.0
209.0
28.0
""
61.0
90.0
66.0
""
""
249.0
""
46.0
22.0
""
""
230.0
""
67.0
""
""
45.0
123.0
""
""
""
""
36.0
22840.0
""
""
151.0
""
27.0
2324.0
""
""
""
""
""
""
""
""
""
75.0
""
""
""
""
67.0
47.0
32.0
""
""
""
""
""
2683.0
181.0
254.0
62.0
2354.0
241.0
""
40.0
38.0
""
""
613.0
