kfr_stycz_asian_pooled_n
104.0
50.0
""
299.0
170.0
""
807.0
""
""
275.0
171.0
1647.0
""
157.0
376.0
""
""
104.0
""
""
160.0
313.0
91.0
30.0
1244.0
""
74.0
232.0
2124.0
24.0
23.0
79.0
1083.0
496.0
21.0
462.0
""
21.0
""
""
167.0
""
""
""
""
""
1749.0
175.0
528.0
79.0
115.0
400.0
48.0
""
""
175.0
""
""
""
26.0
""
268.0
""
""
""
""
""
""
""
""
20.0
""
24.0
29.0
""
""
20.0
""
""
717.0
22.0
73.0
""
30.0
1163.0
34.0
20.0
132.0
241.0
38.0
37.0
""
20.0
257.0
""
""
49.0
124.0
2613.0
309.0
314.0
3308.0
1024.0
302.0
393.0
2604.0
300.0
1748.0
20.0
155.0
160.0
64.0
343.0
""
402.0
346.0
301.0
""
""
""
82.0
28.0
23.0
63.0
""
239.0
189.0
""
""
21.0
6719.0
32.0
167.0
31.0
198.0
""
138.0
175.0
""
53.0
172.0
148.0
""
""
32.0
""
99.0
26.0
""
""
""
312.0
54.0
""
745.0
319.0
""
135.0
""
21.0
""
""
216.0
3519.0
""
16949.0
30.0
""
""
70.0
4719.0
356.0
29.0
143.0
""
""
194.0
899.0
26.0
""
""
32.0
512.0
26.0
27.0
916.0
""
""
194.0
""
""
99.0
535.0
""
""
30.0
78.0
49.0
316.0
""
256.0
132.0
34.0
47.0
86.0
246.0
884.0
57.0
57.0
91.0
71.0
102.0
""
""
260.0
150.0
106.0
1464.0
32.0
27.0
""
24.0
23.0
25.0
1397.0
75.0
94.0
67.0
886.0
132.0
191.0
195.0
""
65.0
""
21.0
""
91.0
""
""
63.0
69.0
30.0
172.0
34.0
38.0
123.0
600.0
34.0
185.0
1561.0
137.0
48.0
""
84.0
30.0
33.0
680.0
34.0
326.0
46.0
510.0
692.0
675.0
663.0
46581.0
1460.0
19910.0
9736.0
565.0
313.0
61.0
""
51.0
""
""
279.0
168.0
""
67.0
1563.0
""
""
9355.0
733.0
42.0
416.0
3629.0
73.0
""
""
""
""
""
""
""
""
64.0
64.0
159.0
7519.0
""
31.0
300.0
36.0
""
""
44.0
69.0
""
129.0
115.0
45.0
348.0
542.0
319.0
""
477.0
229.0
219.0
25.0
525.0
43.0
""
""
70.0
198.0
55.0
40.0
173.0
""
187.0
262.0
1595.0
44.0
20842.0
390.0
49.0
""
1600.0
""
""
104.0
101.0
30.0
""
""
""
""
""
25.0
26.0
33.0
""
31.0
66.0
""
30.0
""
""
22.0
""
94.0
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
85.0
""
""
""
""
""
""
22.0
""
""
43.0
78.0
""
""
""
27.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
86.0
""
""
65.0
28.0
757.0
""
""
""
58.0
""
""
""
""
""
38.0
""
""
""
""
""
""
53.0
169.0
""
336.0
""
""
490.0
""
""
""
""
""
""
593.0
""
""
54.0
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
239.0
3706.0
""
""
35.0
""
""
""
""
""
""
""
""
67.0
""
""
73.0
130.0
779.0
24.0
36.0
""
39.0
36.0
42.0
1548.0
30.0
21.0
""
""
153.0
""
158.0
31.0
93.0
""
43.0
314.0
37.0
249.0
""
546.0
""
""
37.0
338.0
37.0
""
""
""
25.0
""
""
118.0
44.0
""
252.0
""
""
""
""
""
83.0
""
""
28.0
""
""
""
65.0
""
""
1485.0
""
1173.0
""
""
""
113.0
""
""
""
""
""
39.0
292.0
266.0
81.0
429.0
13747.0
504.0
43.0
24.0
47.0
""
""
""
""
""
""
""
""
97.0
""
""
109.0
""
""
""
""
""
88.0
""
293.0
3128.0
6990.0
40.0
126.0
65.0
43.0
119.0
26.0
""
24.0
""
""
1433.0
""
43.0
48.0
""
20.0
829.0
""
""
""
""
""
75.0
67.0
""
32.0
""
""
""
85.0
""
""
36.0
""
""
""
""
""
""
""
""
47.0
""
""
""
""
""
""
""
26.0
48.0
""
""
24.0
""
15420.0
435.0
1552.0
""
47.0
""
""
""
550.0
""
3475.0
""
725.0
76.0
""
30.0
84.0
""
24.0
791.0
49.0
""
382.0
26.0
""
35.0
""
""
""
""
162.0
1612.0
85.0
75.0
""
""
""
""
""
""
52.0
""
""
190.0
95.0
116.0
31.0
65.0
1857.0
1446.0
4455.0
972.0
12428.0
20365.0
""
""
""
878.0
725.0
44848.0
5089.0
""
""
14065.0
145.0
874.0
97069.0
22.0
36.0
23.0
29.0
361.0
""
135.0
4666.0
31.0
673.0
25.0
88.0
315.0
""
""
50.0
""
""
""
191.0
46.0
16060.0
