kfr_native_black_female_n
130.0
47.0
""
367.0
793.0
182.0
2056.0
25.0
""
675.0
579.0
2989.0
""
56.0
306.0
""
""
174.0
""
310.0
1932.0
1898.0
717.0
822.0
2740.0
231.0
772.0
1355.0
3533.0
303.0
527.0
381.0
2843.0
1803.0
787.0
879.0
366.0
456.0
232.0
252.0
2359.0
428.0
163.0
32.0
366.0
453.0
4539.0
478.0
2311.0
540.0
838.0
1376.0
986.0
81.0
150.0
2042.0
260.0
53.0
59.0
833.0
357.0
1445.0
154.0
89.0
""
34.0
""
""
""
""
423.0
684.0
1063.0
570.0
283.0
21.0
458.0
140.0
115.0
4576.0
727.0
127.0
29.0
176.0
1718.0
85.0
100.0
520.0
943.0
200.0
191.0
""
""
646.0
""
""
69.0
265.0
2157.0
636.0
346.0
3634.0
1342.0
291.0
426.0
1692.0
475.0
2254.0
223.0
239.0
451.0
906.0
2846.0
365.0
1848.0
1483.0
1868.0
189.0
88.0
189.0
704.0
263.0
215.0
490.0
298.0
1203.0
1400.0
260.0
320.0
336.0
8579.0
372.0
335.0
132.0
154.0
393.0
987.0
1368.0
277.0
436.0
971.0
211.0
153.0
193.0
796.0
272.0
827.0
563.0
477.0
445.0
97.0
2743.0
858.0
366.0
872.0
1720.0
215.0
1512.0
203.0
62.0
""
""
436.0
5224.0
112.0
9056.0
""
""
""
149.0
9529.0
382.0
24.0
450.0
34.0
""
463.0
821.0
""
""
""
""
1333.0
35.0
45.0
2172.0
21.0
""
471.0
""
36.0
219.0
1595.0
""
58.0
70.0
59.0
183.0
813.0
21.0
851.0
139.0
""
75.0
297.0
437.0
1955.0
""
75.0
132.0
34.0
200.0
""
""
1395.0
334.0
341.0
4154.0
26.0
61.0
58.0
38.0
51.0
26.0
1914.0
140.0
25.0
73.0
1615.0
737.0
188.0
339.0
""
60.0
""
110.0
""
143.0
""
20.0
59.0
43.0
135.0
134.0
34.0
54.0
365.0
536.0
29.0
65.0
1831.0
104.0
23.0
""
98.0
""
""
364.0
""
175.0
57.0
201.0
275.0
582.0
439.0
8477.0
564.0
4609.0
7345.0
978.0
849.0
255.0
108.0
""
""
""
41.0
26.0
""
""
318.0
""
""
1180.0
97.0
""
254.0
2012.0
24.0
""
""
""
""
""
""
""
""
""
""
22.0
1233.0
""
""
""
""
""
""
""
135.0
""
43.0
52.0
""
""
43.0
34.0
""
28.0
20.0
25.0
""
157.0
""
""
""
99.0
399.0
33.0
33.0
236.0
""
327.0
409.0
2392.0
236.0
11777.0
418.0
83.0
""
4533.0
25.0
25.0
212.0
252.0
73.0
""
""
""
""
""
123.0
129.0
99.0
""
63.0
201.0
""
178.0
36.0
318.0
104.0
""
25.0
""
""
38.0
26.0
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
202.0
""
""
""
20.0
""
""
""
""
""
25.0
""
""
""
""
""
""
""
28.0
""
60.0
""
""
706.0
""
""
""
""
""
""
429.0
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
952.0
""
""
""
""
21.0
""
""
""
""
""
""
27.0
""
""
167.0
181.0
472.0
""
""
""
""
63.0
108.0
2333.0
49.0
25.0
""
""
193.0
""
80.0
""
35.0
""
27.0
125.0
139.0
43.0
24.0
924.0
81.0
""
31.0
290.0
28.0
""
""
""
20.0
""
41.0
263.0
50.0
20.0
128.0
29.0
""
""
""
39.0
""
""
""
""
""
""
""
102.0
48.0
""
904.0
""
1079.0
""
""
""
146.0
""
""
""
""
""
""
""
175.0
270.0
307.0
6393.0
1127.0
260.0
169.0
57.0
""
""
""
""
""
27.0
""
""
132.0
""
""
169.0
""
""
""
29.0
""
467.0
193.0
746.0
2021.0
4871.0
221.0
631.0
624.0
507.0
336.0
48.0
""
71.0
""
30.0
1322.0
29.0
118.0
341.0
74.0
""
181.0
""
""
""
""
""
""
""
""
""
""
""
""
75.0
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
344.0
""
""
""
""
""
""
""
136.0
""
986.0
""
269.0
""
""
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
132.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
176.0
295.0
392.0
59.0
1371.0
512.0
""
""
""
84.0
52.0
2934.0
1003.0
""
""
1152.0
49.0
108.0
7584.0
""
""
""
""
70.0
""
""
441.0
""
73.0
""
30.0
38.0
""
""
""
""
""
""
""
""
1364.0
