grad_white_female_n
1413.0
616.0
152.0
1709.0
1001.0
181.0
1938.0
170.0
163.0
768.0
920.0
2711.0
165.0
334.0
868.0
97.0
68.0
804.0
116.0
123.0
993.0
966.0
684.0
337.0
2421.0
82.0
352.0
1005.0
2316.0
192.0
226.0
536.0
1999.0
1187.0
181.0
936.0
184.0
300.0
58.0
50.0
798.0
154.0
80.0
47.0
111.0
111.0
2273.0
633.0
1336.0
366.0
816.0
1083.0
454.0
36.0
61.0
941.0
152.0
73.0
52.0
284.0
172.0
1442.0
119.0
265.0
334.0
313.0
132.0
206.0
232.0
301.0
103.0
167.0
152.0
454.0
234.0
133.0
414.0
333.0
148.0
1876.0
249.0
455.0
279.0
478.0
2905.0
382.0
407.0
584.0
1134.0
827.0
575.0
259.0
283.0
1092.0
257.0
81.0
490.0
933.0
4297.0
1158.0
1546.0
2998.0
2349.0
1327.0
1247.0
2851.0
1121.0
2363.0
233.0
722.0
541.0
388.0
1269.0
82.0
1155.0
1935.0
934.0
86.0
53.0
89.0
407.0
200.0
137.0
201.0
166.0
713.0
725.0
205.0
106.0
147.0
5570.0
267.0
413.0
179.0
592.0
296.0
1070.0
495.0
93.0
191.0
667.0
486.0
75.0
143.0
304.0
82.0
790.0
248.0
133.0
159.0
369.0
2018.0
401.0
56.0
1477.0
1066.0
140.0
712.0
228.0
423.0
56.0
179.0
668.0
4789.0
86.0
7522.0
608.0
620.0
199.0
1317.0
13089.0
1642.0
710.0
2344.0
690.0
337.0
1825.0
4596.0
653.0
463.0
489.0
530.0
3799.0
435.0
428.0
5411.0
131.0
593.0
1381.0
121.0
266.0
588.0
3177.0
157.0
254.0
628.0
1063.0
1202.0
2630.0
457.0
2120.0
1500.0
535.0
773.0
1370.0
1976.0
3720.0
535.0
874.0
1200.0
860.0
1363.0
249.0
223.0
1734.0
2435.0
1469.0
6620.0
667.0
766.0
378.0
715.0
681.0
418.0
4279.0
1158.0
1333.0
2021.0
7975.0
2656.0
2775.0
963.0
164.0
725.0
109.0
357.0
174.0
871.0
76.0
413.0
874.0
448.0
428.0
1265.0
492.0
314.0
552.0
3565.0
665.0
1011.0
6225.0
1441.0
1001.0
195.0
984.0
545.0
403.0
2759.0
860.0
2828.0
1141.0
1746.0
3646.0
3522.0
1964.0
11318.0
2717.0
8887.0
11778.0
1407.0
970.0
413.0
56.0
1015.0
135.0
305.0
2052.0
1044.0
394.0
877.0
3168.0
""
""
8996.0
3264.0
402.0
1533.0
6721.0
525.0
310.0
217.0
153.0
336.0
665.0
428.0
545.0
266.0
947.0
653.0
1527.0
9545.0
329.0
852.0
1302.0
458.0
412.0
449.0
581.0
1113.0
171.0
720.0
975.0
663.0
1011.0
2598.0
1323.0
416.0
2340.0
1881.0
1244.0
939.0
2451.0
936.0
396.0
522.0
826.0
1376.0
625.0
559.0
1404.0
354.0
2183.0
1960.0
5027.0
527.0
13889.0
2198.0
347.0
449.0
6094.0
157.0
387.0
1019.0
1400.0
655.0
155.0
326.0
233.0
168.0
209.0
555.0
352.0
398.0
87.0
764.0
941.0
131.0
606.0
230.0
301.0
557.0
147.0
1404.0
""
69.0
293.0
276.0
143.0
70.0
61.0
186.0
145.0
534.0
""
48.0
21.0
82.0
41.0
26.0
342.0
83.0
""
""
""
53.0
""
22.0
22.0
47.0
74.0
157.0
81.0
128.0
207.0
86.0
865.0
251.0
129.0
92.0
""
47.0
270.0
678.0
172.0
219.0
