kfr_imm_other_male_n
""
""
""
""
""
""
28.0
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
55.0
""
""
62.0
""
""
40.0
113.0
""
""
""
50.0
63.0
""
20.0
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
31.0
""
""
38.0
34.0
""
""
""
""
""
""
""
""
""
141.0
20.0
20.0
366.0
79.0
26.0
41.0
158.0
27.0
107.0
""
""
""
""
21.0
""
46.0
""
53.0
""
""
""
""
""
""
29.0
""
""
28.0
""
""
""
194.0
""
""
""
""
""
""
28.0
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
77.0
""
""
""
""
""
""
""
""
131.0
""
609.0
""
""
""
""
212.0
21.0
""
""
""
""
""
30.0
""
""
""
""
54.0
""
""
33.0
""
""
""
""
""
32.0
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
75.0
""
""
""
""
""
""
58.0
""
""
""
40.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
68.0
""
""
""
""
""
""
32.0
""
""
""
""
34.0
30.0
48.0
1305.0
58.0
505.0
241.0
29.0
""
""
""
""
""
""
""
""
""
""
146.0
""
""
402.0
""
""
25.0
183.0
""
""
""
""
""
""
""
""
""
""
""
""
123.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
21.0
45.0
""
454.0
""
""
""
90.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
102.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
124.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
27.0
""
""
""
""
""
""
79.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
74.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
75.0
""
117.0
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
236.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
108.0
104.0
173.0
""
""
""
""
47.0
""
""
""
""
""
81.0
""
""
""
""
""
76.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
709.0
""
44.0
""
""
""
""
""
43.0
""
160.0
""
70.0
""
""
""
""
""
""
50.0
""
""
31.0
""
""
""
""
""
""
""
33.0
174.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
80.0
57.0
112.0
43.0
437.0
463.0
""
""
""
37.0
43.0
992.0
241.0
""
""
556.0
""
47.0
2142.0
""
""
""
""
29.0
""
""
195.0
""
46.0
""
""
""
""
""
""
""
""
""
""
""
671.0
