proginc_hisp_female_n
""
""
""
33.0
49.0
""
85.0
""
""
""
22.0
133.0
""
""
32.0
""
""
35.0
""
""
23.0
114.0
""
""
128.0
""
23.0
53.0
127.0
""
""
""
67.0
60.0
""
42.0
""
""
""
""
26.0
""
""
""
""
""
182.0
""
43.0
""
34.0
24.0
""
""
""
37.0
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
64.0
""
""
""
""
71.0
""
""
42.0
40.0
""
""
""
""
""
""
""
""
76.0
631.0
173.0
129.0
3015.0
483.0
221.0
114.0
720.0
112.0
143.0
""
56.0
44.0
""
58.0
""
52.0
47.0
35.0
""
""
""
""
""
""
""
""
33.0
28.0
""
""
""
392.0
""
""
""
53.0
""
33.0
52.0
""
""
38.0
""
""
""
""
""
21.0
""
""
""
""
42.0
""
""
72.0
30.0
""
""
""
""
""
""
44.0
182.0
""
1001.0
""
""
""
53.0
505.0
99.0
25.0
125.0
""
""
62.0
253.0
""
""
""
""
65.0
""
""
89.0
""
""
33.0
""
""
24.0
63.0
""
""
""
47.0
32.0
143.0
35.0
88.0
54.0
21.0
20.0
28.0
75.0
89.0
""
""
31.0
""
""
""
""
260.0
22.0
96.0
215.0
""
""
""
""
""
""
91.0
""
""
""
96.0
56.0
65.0
20.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
85.0
""
21.0
241.0
24.0
23.0
""
26.0
""
""
81.0
""
79.0
""
183.0
239.0
99.0
203.0
5431.0
204.0
2075.0
801.0
80.0
44.0
""
""
""
""
""
""
""
""
""
213.0
""
""
722.0
86.0
""
159.0
720.0
""
""
""
""
""
""
""
""
""
24.0
""
20.0
264.0
""
""
""
""
""
""
20.0
""
""
46.0
25.0
""
""
49.0
33.0
""
33.0
""
""
""
60.0
""
""
""
24.0
25.0
""
22.0
99.0
""
79.0
109.0
332.0
33.0
3299.0
145.0
""
""
136.0
""
""
25.0
31.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
60.0
""
""
""
27.0
""
""
""
""
24.0
35.0
""
""
""
""
""
""
26.0
51.0
""
45.0
""
""
142.0
""
""
""
""
""
""
245.0
""
""
242.0
29.0
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
246.0
1082.0
""
""
28.0
21.0
32.0
""
""
""
""
""
""
""
""
""
23.0
71.0
144.0
21.0
""
""
26.0
""
21.0
303.0
""
""
""
""
""
""
28.0
""
30.0
""
""
48.0
""
84.0
""
184.0
""
""
""
1763.0
52.0
""
101.0
""
153.0
""
129.0
271.0
89.0
51.0
217.0
31.0
""
""
""
117.0
51.0
""
""
26.0
""
20.0
37.0
175.0
""
23.0
766.0
22.0
2401.0
51.0
40.0
""
307.0
80.0
34.0
40.0
53.0
41.0
582.0
1976.0
792.0
97.0
247.0
2780.0
112.0
53.0
""
116.0
""
""
61.0
121.0
128.0
61.0
""
30.0
140.0
""
""
65.0
""
""
""
23.0
28.0
154.0
30.0
183.0
848.0
1772.0
36.0
137.0
62.0
36.0
57.0
36.0
""
27.0
""
21.0
277.0
""
38.0
""
""
""
55.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
295.0
""
37.0
80.0
301.0
""
""
55.0
792.0
""
1826.0
26.0
922.0
64.0
""
104.0
79.0
""
58.0
38.0
44.0
35.0
110.0
45.0
""
22.0
""
""
""
""
88.0
378.0
32.0
71.0
""
""
""
""
""
24.0
41.0
""
""
65.0
25.0
59.0
""
27.0
748.0
680.0
1744.0
217.0
1327.0
1741.0
32.0
""
""
186.0
213.0
1877.0
773.0
""
""
1965.0
586.0
395.0
15728.0
""
""
57.0
39.0
90.0
20.0
27.0
294.0
27.0
220.0
""
214.0
157.0
""
""
21.0
""
""
""
23.0
""
587.0
