kir_stycz_pooled_female_mean
0.3725729
0.37413895
0.4143177
0.39475399
0.4711698
0.37008861
0.38149777
0.40579802
0.37502885
0.3753722
0.40337104
0.37908152
0.39993343
0.38757327
0.3953962
0.39954451
0.44706365
0.3922593
0.44240823
0.42708513
0.48376408
0.44957647
0.45806891
0.38864642
0.3404088
0.41614729
0.37549198
0.35552019
0.37759712
0.38861495
0.4769581
0.37777582
0.41991827
0.37523162
0.40377784
0.43482959
0.35372767
0.42562202
""
0.38929608
0.39244658
0.40971905
0.37684184
0.39070198
0.31371441
0.29725099
0.38524351
0.34102437
0.39001864
0.42369717
0.41482022
0.3673332
0.36163515
0.34559962
0.34386578
0.37340927
0.38122112
0.42248434
0.40628904
0.36311552
0.36817253
0.3378275
0.36322165
0.40968531
0.39792538
0.39057216
0.38620922
0.36571336
0.37478212
0.49876559
0.3678582
0.3884823
0.37305763
0.36998275
0.36172393
0.41027012
0.43602881
0.35403961
0.319094
0.33109909
0.34778932
0.32338881
0.41556722
0.39502111
0.40914911
0.39906323
0.37044954
0.39787734
0.36733299
0.31915158
0.37481949
0.33665246
0.33701017
0.38760319
0.38320065
0.38641942
0.31516892
0.37030536
0.39036793
0.38725984
0.35682446
0.35181445
0.36478037
0.37101126
0.35166404
""
0.3691749
0.38670474
0.38825268
0.38279659
0.40972164
0.35974857
0.37868139
0.38938734
0.40406403
0.38960409
0.364346
0.37758753
0.3879779
0.35648522
0.38289896
0.38939244
0.38852763
0.38664091
0.32672158
0.37030119
0.35561249
0.3691214
0.35959068
0.36362293
0.37387413
0.35248634
0.32659909
0.35697725
0.43434229
0.41996574
0.38015711
0.28092834
0.37446398
0.41358837
0.37557629
0.33367875
0.3465254
0.41561553
0.37879825
0.3760139
0.34326801
0.36429912
0.3475734
0.38081801
0.4135448
0.33786094
0.39911309
0.35729206
0.37983504
0.39328742
0.36995399
0.38015592
0.40958604
0.3660329
0.31662983
0.32652479
0.46478096
0.4247562
0.33861327
0.30395696
0.37195644
0.3090961
0.34495413
0.38793603
0.40580502
0.36051685
0.41334262
0.37992308
0.37218475
0.38134569
0.35955244
0.34795809
