pos_hours_hisp_pooled_n
28.0
21.0
""
55.0
85.0
""
144.0
""
""
27.0
39.0
228.0
""
20.0
64.0
""
""
53.0
""
""
45.0
202.0
29.0
23.0
233.0
""
59.0
112.0
251.0
""
""
21.0
146.0
116.0
""
81.0
""
""
""
""
46.0
""
""
""
""
""
387.0
33.0
73.0
""
58.0
46.0
22.0
""
""
70.0
""
""
""
21.0
""
94.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
124.0
""
20.0
""
30.0
142.0
""
""
83.0
71.0
25.0
22.0
""
""
30.0
""
""
23.0
146.0
1265.0
338.0
229.0
6005.0
938.0
396.0
218.0
1439.0
206.0
257.0
20.0
114.0
76.0
29.0
114.0
""
94.0
102.0
87.0
""
""
""
37.0
""
""
36.0
""
71.0
67.0
""
""
""
750.0
""
33.0
""
94.0
""
57.0
95.0
""
""
79.0
31.0
""
""
20.0
""
47.0
""
""
""
""
79.0
""
""
140.0
55.0
""
33.0
""
""
""
""
69.0
341.0
""
1896.0
""
""
""
91.0
1015.0
166.0
44.0
230.0
""
20.0
133.0
474.0
23.0
""
""
""
129.0
""
""
166.0
""
""
60.0
""
""
54.0
123.0
""
""
""
87.0
53.0
281.0
60.0
188.0
117.0
45.0
41.0
53.0
127.0
172.0
""
23.0
73.0
21.0
35.0
""
""
505.0
38.0
178.0
405.0
""
""
""
""
""
""
168.0
29.0
27.0
27.0
164.0
105.0
97.0
37.0
""
""
""
""
""
""
""
""
""
25.0
""
47.0
""
""
25.0
149.0
20.0
41.0
469.0
45.0
29.0
""
43.0
""
29.0
148.0
""
147.0
21.0
354.0
436.0
193.0
384.0
10335.0
386.0
4087.0
1558.0
177.0
81.0
20.0
""
20.0
""
""
34.0
21.0
""
21.0
419.0
""
""
1334.0
146.0
""
291.0
1326.0
21.0
""
""
""
""
""
""
28.0
""
47.0
27.0
39.0
496.0
""
""
33.0
30.0
27.0
""
35.0
32.0
""
83.0
37.0
""
41.0
97.0
76.0
""
58.0
49.0
32.0
""
107.0
""
""
""
51.0
59.0
26.0
30.0
177.0
""
151.0
220.0
627.0
59.0
6447.0
263.0
33.0
""
267.0
""
21.0
36.0
50.0
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
24.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
34.0
41.0
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
35.0
""
24.0
20.0
21.0
112.0
""
""
""
47.0
""
""
""
""
67.0
76.0
""
""
26.0
37.0
""
""
49.0
99.0
""
73.0
""
""
275.0
38.0
""
""
""
""
""
476.0
""
""
477.0
55.0
""
""
""
""
""
""
""
""
""
61.0
""
34.0
""
""
509.0
2103.0
""
""
53.0
37.0
42.0
""
""
""
""
""
""
22.0
""
""
48.0
130.0
273.0
42.0
29.0
""
44.0
42.0
33.0
550.0
41.0
22.0
""
""
26.0
""
57.0
32.0
59.0
""
29.0
84.0
36.0
147.0
""
335.0
""
""
30.0
3543.0
134.0
""
193.0
""
299.0
""
248.0
579.0
164.0
90.0
413.0
62.0
""
""
""
234.0
109.0
34.0
""
62.0
40.0
41.0
70.0
347.0
37.0
44.0
1474.0
39.0
4733.0
119.0
73.0
""
608.0
171.0
64.0
75.0
111.0
65.0
1135.0
3868.0
1625.0
198.0
469.0
5489.0
213.0
104.0
33.0
238.0
51.0
""
118.0
227.0
235.0
138.0
37.0
62.0
263.0
""
24.0
131.0
""
""
37.0
58.0
57.0
310.0
60.0
351.0
1675.0
3365.0
71.0
240.0
117.0
76.0
106.0
67.0
21.0
59.0
34.0
38.0
518.0
""
72.0
26.0
24.0
""
107.0
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
24.0
""
""
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
26.0
23.0
""
20.0
38.0
""
516.0
34.0
74.0
158.0
527.0
28.0
""
101.0
1609.0
31.0
3447.0
69.0
1776.0
128.0
""
191.0
157.0
21.0
114.0
73.0
85.0
55.0
233.0
86.0
""
36.0
31.0
""
""
""
176.0
744.0
60.0
144.0
""
""
""
""
""
49.0
83.0
""
""
131.0
43.0
101.0
""
42.0
1413.0
1431.0
3409.0
395.0
2603.0
3485.0
47.0
28.0
""
348.0
426.0
3735.0
1486.0
""
""
3842.0
1115.0
812.0
30800.0
22.0
""
109.0
77.0
165.0
33.0
54.0
577.0
49.0
435.0
25.0
424.0
324.0
""
""
45.0
""
""
""
49.0
20.0
1129.0
