lpov_nbh_white_pooled_n
40463
18260
4251
51792
28177
4429
56323
5751
3974
21184
26225
78836
4029
10160
25167
2899
2194
25417
3601
3263
27919
28300
20299
8848
69204
2033
10402
29011
65540
5802
6436
14022
54242
32980
3951
32590
6115
9138
1254
1309
25021
5017
2734
1402
3300
3552
66353
18611
44978
11577
23196
34432
14187
936
1656
27098
4096
1427
1394
7817
5000
40450
2251
6956
9952
8199
2728
5101
6016
8479
3296
5074
4217
12142
5623
3440
11437
8888
3538
54248
6084
12916
7155
13773
84346
10805
11471
16241
33732
21061
15723
6649
7666
33888
7408
2827
14886
28054
132921
35557
46940
97422
75301
39220
42816
93353
37531
77122
8654
24246
16863
10974
35060
2237
33949
55310
27878
1731
1659
1811
12346
6700
5420
6330
4947
21827
20849
5577
3414
3566
172450
8356
11487
5493
18459
8478
31707
14833
2278
6179
21151
14467
1750
3196
8001
1907
14748
7892
4255
4178
10234
57969
12048
1788
46456
33244
3554
19880
4600
12075
1659
4894
19454
129982
2309
198723
10369
10541
3465
27006
306217
33745
11514
43986
11236
4994
38684
98940
13414
7309
8257
9833
93576
10949
9535
147094
4118
13556
37505
2984
6787
16268
77596
4388
6067
14885
23158
24331
64673
9210
50736
33093
12093
16778
32043
46596
104377
14251
21266
26536
20617
32325
4702
4720
46802
58376
35583
168112
16581
16943
9758
15187
18943
10560
112528
28894
21213
31786
167883
60400
51875
28434
3813
17667
3121
9729
3875
23332
1883
10955
25295
11685
13126
31374
11109
9489
16612
79429
11933
22983
153299
27557
16605
3680
19420
11747
8165
69192
14609
58094
17986
43524
81279
76988
51961
317900
72887
237664
297135
36253
25838
9773
1525
21089
2121
5288
51469
22651
7065
18693
96144
483
388
261145
92940
8981
40852
185882
12025
4174
3452
2484
5589
8661
5615
7075
3032
14315
10585
25038
202796
4397
12716
20881
6487
7511
7004
10174
19500
3036
15582
21535
12969
17804
48176
26220
5701
35033
26951
19095
11700
43804
15948
8177
9486
16383
27039
12488
11496
31935
6994
43824
46780
109118
10442
359399
49092
8982
12377
162385
3258
7070
21545
32543
13030
4445
7891
5961
4305
5126
12451
8328
10893
2355
12616
18377
2797
14341
5978
6756
14588
1905
24891
228
1168
5388
4411
2157
1291
943
2840
2664
11246
222
627
242
1442
694
446
7144
1203
138
92
274
760
59
437
381
760
1234
2855
1705
2487
3527
1542
18017
4149
1830
1505
138
653
4607
8771
2611
2718
10361
17244
1422
3711
256
11986
7655
1393
893
528
1001
4412
2733
2021
1278
677
472
2095
265
8278
5333
6453
5812
6309
5101
5149
9866
46663
3583
3724
5134
15530
85
197
70
89
6045
9757
1869
654
5622
6396
3791
2582
7405
16787
2046
25118
3960
4653
66993
3684
1515
150
673
1139
3906
48702
364
333
10030
1116
847
737
556
1058
1644
825
342
1950
4720
4203
1194
5815
183
2314
34573
147505
2048
84
2881
4516
7459
3941
983
541
2037
1070
1161
6033
2200
1857
11734
24373
40207
7379
4705
5206
4113
12601
9492
124060
14011
7887
3026
1675
22923
6584
37096
11244
21460
4914
10295
21428
7302
26568
5921
60572
3074
2333
8511
18386
4598
442
1799
40
6356
113
5029
16691
4918
1427
16903
4685
562
356
37
2388
3151
1262
821
2133
1327
1465
2043
8773
2506
816
61873
3545
65267
1389
4161
84
17924
1481
510
362
170
317
1033
8099
19440
9748
20749
195895
29574
9739
5050
7249
1253
375
1129
1079
172
2941
1308
1864
14345
530
760
11328
2170
345
1477
4120
3696
15783
5522
19435
114515
165713
13064
26920
19532
14438
11871
3630
487
7473
4588
5144
76187
4093
12101
13559
5463
28
24357
303
24
28
97
50
738
2310
751
985
97
62
30
7021
1617
1344
8810
1224
3739
1484
3034
3886
1327
45
357
13855
100
911
7081
6510
4886
652
1688
9536
11041
5296
1283
8305
90
18319
791
2629
933
6045
487
275
1970
31765
488
174376
1905
46739
15831
865
9888
17702
2148
4669
2484
10286
3963
40852
5249
581
13647
4690
872
2599
120
42318
139194
17359
29527
982
760
2836
4081
1678
9251
10916
552
716
17535
8414
21156
3173
13261
38039
32700
50824
23861
130540
80457
4573
1652
1073
30754
34764
152539
79319
113
1403
110681
7123
31092
434214
7492
4445
5649
7174
47917
6212
18568
127843
4733
70892
5655
14840
25349
4210
612
13173
136
520
658
12357
7016
230433
