work_24_asian_female_n
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
153.0
""
""
""
45.0
""
""
""
157.0
""
""
""
160.0
""
75.0
20.0
""
""
""
""
""
""
58.0
""
""
""
30.0
""
""
""
""
""
""
392.0
""
""
""
""
62.0
""
""
31.0
""
""
51.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
30.0
""
""
""
""
1505.0
38.0
""
342.0
53.0
""
26.0
49.0
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
133.0
""
""
""
""
""
145.0
""
""
""
""
""
85.0
""
""
""
5782.0
""
""
140.0
""
""
2706.0
""
93.0
1649.0
31.0
68.0
66.0
""
672.0
148.0
""
""
22629.0
53.0
227.0
""
21.0
449.0
""
""
536.0
146.0
""
8618.0
244.0
""
2011.0
3244.0
32.0
2545.0
5468.0
4324.0
1728.0
130.0
3235.0
332.0
8101.0
166.0
106.0
""
""
1546.0
346.0
629.0
247.0
""
""
344.0
""
1109.0
280.0
132.0
363.0
""
600.0
""
""
""
184.0
66.0
""
""
""
""
""
""
""
""
405.0
""
117.0
""
""
342.0
""
""
""
""
""
""
""
""
383.0
""
""
""
""
95.0
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
44.0
""
651.0
493.0
61.0
79.0
393.0
186.0
72.0
""
61.0
322.0
43.0
257.0
128.0
""
107.0
""
214.0
978.0
""
47.0
32.0
123.0
45.0
""
""
""
608.0
214.0
27.0
""
""
""
""
""
""
""
""
38.0
46.0
610.0
""
33.0
""
""
""
74.0
130.0
96.0
""
""
""
83.0
81.0
37.0
744.0
27.0
""
139.0
""
868.0
129.0
494.0
132.0
530.0
154.0
""
39.0
86.0
53.0
91.0
292.0
""
""
""
""
148.0
""
""
""
""
""
""
""
""
""
49.0
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
28.0
""
""
112.0
""
""
48.0
41.0
""
411.0
""
477.0
""
""
129.0
""
30.0
""
""
""
""
""
725.0
""
""
21.0
34.0
""
""
""
""
""
""
""
79.0
21.0
41.0
""
567.0
""
""
""
25.0
""
""
1316.0
22.0
65.0
""
""
""
""
""
100.0
68.0
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
103.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
80.0
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
403.0
5554.0
221.0
662.0
137.0
""
""
""
""
""
""
""
""
22.0
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
128.0
""
""
""
""
""
5334.0
""
""
28.0
""
""
2029.0
""
""
""
""
