kir_26_white_male_p50
0.49316415
0.49172965
0.50402069
0.49835992
0.51326197
0.51965165
0.51513618
0.49700439
0.50846362
0.51767004
0.50190032
0.5282532
0.4944348
0.48919779
0.51283324
0.51228625
0.51652163
0.50671238
0.49480432
0.51902258
0.51434612
0.51186913
0.5024693
0.52621222
0.53064471
0.53068405
0.5352965
0.51730913
0.53925312
0.5354135
0.55969179
0.55110252
0.5593152
0.54511964
0.55305499
0.52419645
0.57447475
0.52981722
0.55264843
0.55937952
0.53074586
0.56817806
0.59533209
0.65284371
0.58007896
0.52702695
0.54240769
0.63602591
0.57326901
0.5673545
0.57341087
0.59975225
0.54120904
0.6134299
0.54926145
0.56225878
0.57321465
0.63699865
0.5538972
0.52865529
0.53783935
0.51406014
0.5385288
0.52062947
0.49120396
0.50797039
0.49086964
0.53191578
0.50051039
0.48579028
0.52750373
0.5064773
0.52619892
0.51595336
0.51305777
0.50400901
0.5270949
0.51279747
0.54265916
0.51639324
0.52463108
0.51226324
0.513044
0.51024389
0.51907694
0.52248317
0.52254212
0.52410203
0.52263993
0.52577335
0.51997113
0.50196558
0.48185223
0.49829593
0.51001191
0.49621797
0.50768721
0.51127243
0.51630867
0.53152728
0.52960968
0.52704287
0.52972323
0.54143947
0.5110389
0.52863401
0.51785868
0.5245629
0.53861356
0.51634532
0.51264435
0.52317387
0.52602923
0.54249346
0.53495961
0.50618255
0.50754887
0.52266091
0.51856643
0.50686747
0.51350993
0.53130525
0.50394076
0.52448684
0.52248639
0.52366096
0.51214117
0.53195328
0.48597148
0.52902937
0.52867299
0.51529187
0.50610745
0.51315933
0.51884997
0.53864753
0.52855819
0.49986693
0.53237116
0.52120799
0.5176518
0.51886052
0.52274686
0.52715445
0.51168853
0.53549868
0.51916599
0.52831548
0.55116588
0.52571082
0.53375804
0.53523397
0.55036026
0.59669727
0.51768279
0.54272914
0.55939633
0.53109843
0.56291687
0.54328793
0.52643955
0.5640077
0.55835301
0.57469869
0.56787354
0.58326018
0.51921034
0.56914109
0.50876606
0.51810074
0.51564276
0.51576138
0.51962739
0.51822227
0.51999003
0.52229309
0.51816458
0.52998674
0.52476901
0.51265222
0.5339421
0.51971269
0.5272702
0.52685034
0.50805312
0.53665644
0.51240265
0.55259454
0.49898198
0.50791556
0.50651282
0.54038084
0.52512878
0.5569495
0.54016519
0.54662842
0.55385631
0.5737139
0.53187412
0.55239898
0.54245228
0.56217396
0.56064868
0.5299589
0.5173654
0.54310012
0.5289914
0.53260422
0.54169279
0.54333907
0.53395247
