kir_native_hisp_pooled_n
94.0
38.0
""
154.0
173.0
""
307.0
30.0
""
66.0
85.0
456.0
""
32.0
95.0
""
""
115.0
""
""
138.0
454.0
122.0
60.0
433.0
20.0
117.0
271.0
713.0
27.0
34.0
58.0
365.0
319.0
32.0
186.0
""
33.0
""
""
124.0
21.0
""
""
""
21.0
649.0
76.0
208.0
79.0
197.0
168.0
66.0
""
""
219.0
21.0
""
""
53.0
32.0
252.0
""
36.0
""
23.0
""
""
""
""
""
""
29.0
43.0
20.0
""
46.0
39.0
""
317.0
40.0
42.0
""
74.0
393.0
49.0
54.0
174.0
201.0
75.0
56.0
29.0
20.0
106.0
""
""
52.0
143.0
2230.0
524.0
434.0
3608.0
1193.0
593.0
445.0
2019.0
405.0
651.0
55.0
243.0
157.0
84.0
247.0
""
239.0
238.0
231.0
""
""
""
98.0
27.0
23.0
88.0
25.0
180.0
172.0
27.0
""
""
1165.0
23.0
75.0
""
101.0
27.0
162.0
233.0
""
44.0
178.0
95.0
""
27.0
56.0
""
124.0
31.0
""
20.0
28.0
196.0
36.0
""
409.0
129.0
""
114.0
20.0
""
""
""
170.0
855.0
""
2034.0
50.0
41.0
37.0
363.0
2659.0
583.0
168.0
741.0
108.0
70.0
432.0
1238.0
85.0
48.0
36.0
76.0
380.0
20.0
32.0
422.0
""
32.0
118.0
""
""
133.0
309.0
""
""
35.0
306.0
171.0
957.0
153.0
455.0
251.0
82.0
103.0
177.0
349.0
476.0
52.0
61.0
160.0
77.0
87.0
""
20.0
1207.0
158.0
506.0
932.0
41.0
36.0
38.0
30.0
34.0
26.0
475.0
84.0
60.0
94.0
463.0
292.0
248.0
100.0
""
54.0
""
33.0
""
60.0
""
""
56.0
59.0
35.0
146.0
20.0
32.0
86.0
428.0
74.0
86.0
1067.0
106.0
73.0
""
146.0
52.0
107.0
436.0
48.0
389.0
70.0
512.0
784.0
472.0
781.0
9787.0
793.0
3809.0
2799.0
295.0
201.0
64.0
23.0
78.0
""
25.0
183.0
84.0
25.0
95.0
517.0
""
""
1632.0
358.0
43.0
436.0
2029.0
49.0
49.0
21.0
""
27.0
48.0
47.0
43.0
29.0
109.0
83.0
114.0
1373.0
38.0
60.0
114.0
83.0
65.0
""
70.0
93.0
20.0
164.0
116.0
50.0
127.0
306.0
167.0
34.0
217.0
146.0
119.0
82.0
321.0
57.0
36.0
28.0
121.0
116.0
75.0
93.0
523.0
36.0
414.0
649.0
1516.0
127.0
7546.0
638.0
87.0
41.0
854.0
""
33.0
82.0
139.0
37.0
""
50.0
25.0
23.0
28.0
37.0
35.0
51.0
""
64.0
84.0
""
54.0
21.0
50.0
56.0
""
123.0
""
""
29.0
""
""
""
""
""
""
30.0
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
80.0
""
""
""
""
""
""
68.0
28.0
27.0
117.0
133.0
""
25.0
""
51.0
33.0
""
""
""
""
""
""
""
""
""
""
""
""
111.0
34.0
23.0
52.0
28.0
52.0
25.0
56.0
279.0
23.0
""
27.0
140.0
""
""
""
""
255.0
216.0
46.0
""
54.0
48.0
33.0
""
116.0
147.0
""
193.0
23.0
32.0
705.0
97.0
37.0
""
""
""
70.0
1403.0
""
""
1593.0
213.0
""
""
""
""
""
20.0
""
22.0
58.0
82.0
33.0
126.0
""
46.0
1316.0
5471.0
""
""
125.0
69.0
147.0
""
""
""
""
""
""
62.0
""
""
150.0
326.0
656.0
122.0
75.0
44.0
100.0
131.0
111.0
1468.0
136.0
43.0
""
""
85.0
25.0
181.0
86.0
176.0
23.0
73.0
195.0
111.0
268.0
49.0
689.0
35.0
25.0
107.0
6272.0
392.0
44.0
486.0
22.0
928.0
129.0
603.0
1929.0
505.0
313.0
1055.0
160.0
38.0
40.0
""
584.0
198.0
63.0
""
103.0
56.0
75.0
153.0
1234.0
115.0
144.0
4120.0
105.0
13811.0
504.0
188.0
""
1674.0
384.0
179.0
112.0
308.0
265.0
1952.0
7597.0
5688.0
433.0
1240.0
9513.0
490.0
178.0
54.0
751.0
158.0
26.0
317.0
397.0
364.0
457.0
184.0
174.0
788.0
40.0
106.0
368.0
52.0
""
83.0
190.0
112.0
800.0
144.0
944.0
3469.0
5937.0
208.0
456.0
242.0
161.0
345.0
180.0
38.0
103.0
85.0
82.0
1079.0
55.0
187.0
81.0
104.0
""
340.0
""
""
""
""
""
""
48.0
""
""
""
""
""
118.0
""
""
83.0
""
69.0
36.0
52.0
42.0
""
""
""
153.0
""
""
54.0
39.0
41.0
""
""
93.0
85.0
53.0
53.0
139.0
""
1374.0
91.0
200.0
656.0
1595.0
105.0
74.0
412.0
5453.0
138.0
7833.0
287.0
3888.0
394.0
""
595.0
491.0
83.0
402.0
272.0
173.0
143.0
662.0
226.0
""
123.0
114.0
""
22.0
""
361.0
1939.0
198.0
358.0
""
""
54.0
51.0
20.0
150.0
250.0
""
""
338.0
149.0
300.0
68.0
125.0
2352.0
2476.0
6294.0
780.0
5564.0
5512.0
112.0
31.0
27.0
630.0
868.0
6194.0
2377.0
""
46.0
4876.0
1060.0
1631.0
33307.0
76.0
35.0
250.0
93.0
430.0
77.0
179.0
1321.0
70.0
987.0
63.0
663.0
614.0
38.0
""
117.0
""
""
""
121.0
55.0
2706.0
