kir_stycz_hisp_pooled_n
342.0
238.0
21.0
680.0
910.0
62.0
1659.0
86.0
45.0
451.0
507.0
2871.0
34.0
148.0
605.0
33.0
33.0
489.0
37.0
52.0
501.0
1688.0
391.0
296.0
2767.0
64.0
526.0
1053.0
2678.0
97.0
95.0
171.0
1651.0
1207.0
73.0
728.0
55.0
112.0
""
25.0
422.0
52.0
22.0
""
26.0
47.0
4206.0
327.0
898.0
206.0
622.0
600.0
239.0
""
""
715.0
43.0
28.0
31.0
154.0
84.0
936.0
""
88.0
51.0
55.0
""
""
41.0
53.0
37.0
46.0
72.0
186.0
83.0
33.0
140.0
84.0
46.0
1504.0
110.0
173.0
53.0
275.0
1903.0
167.0
111.0
620.0
719.0
390.0
200.0
90.0
95.0
410.0
85.0
49.0
241.0
1834.0
17444.0
4375.0
3054.0
87043.0
11658.0
5416.0
2345.0
21042.0
2637.0
3734.0
224.0
1370.0
657.0
264.0
963.0
35.0
948.0
1199.0
928.0
24.0
38.0
33.0
456.0
156.0
115.0
356.0
80.0
693.0
548.0
131.0
33.0
51.0
9806.0
106.0
374.0
76.0
1462.0
69.0
592.0
835.0
67.0
103.0
623.0
365.0
32.0
75.0
192.0
""
327.0
117.0
33.0
45.0
64.0
894.0
126.0
""
1419.0
528.0
31.0
313.0
37.0
41.0
""
""
716.0
3852.0
36.0
23441.0
59.0
60.0
33.0
815.0
9771.0
1598.0
278.0
1742.0
114.0
102.0
1213.0
5038.0
164.0
64.0
71.0
69.0
1136.0
67.0
86.0
1601.0
26.0
90.0
526.0
24.0
50.0
381.0
1209.0
42.0
36.0
103.0
810.0
364.0
2877.0
396.0
1742.0
1237.0
272.0
358.0
454.0
1333.0
2398.0
171.0
159.0
743.0
206.0
329.0
25.0
47.0
5445.0
423.0
1847.0
4345.0
102.0
84.0
63.0
60.0
99.0
61.0
1846.0
248.0
117.0
169.0
1312.0
896.0
776.0
329.0
""
116.0
""
63.0
""
142.0
""
42.0
140.0
315.0
157.0
523.0
51.0
186.0
299.0
1372.0
128.0
282.0
5167.0
248.0
125.0
""
293.0
106.0
291.0
1540.0
118.0
1593.0
135.0
3809.0
5191.0
2235.0
3911.0
131436.0
3929.0
51673.0
20614.0
1913.0
863.0
184.0
48.0
123.0
""
34.0
441.0
153.0
40.0
142.0
5695.0
""
""
18537.0
1543.0
69.0
4180.0
18918.0
145.0
45.0
31.0
21.0
39.0
66.0
39.0
123.0
41.0
358.0
291.0
194.0
5437.0
32.0
81.0
273.0
229.0
140.0
32.0
363.0
221.0
36.0
652.0
273.0
168.0
378.0
822.0
609.0
48.0
365.0
246.0
187.0
81.0
883.0
95.0
90.0
48.0
342.0
392.0
153.0
213.0
1740.0
53.0
1184.0
2852.0
7066.0
488.0
83795.0
2904.0
218.0
97.0
2758.0
""
101.0
230.0
427.0
77.0
33.0
73.0
138.0
31.0
79.0
95.0
140.0
118.0
30.0
97.0
193.0
30.0
135.0
52.0
115.0
182.0
""
175.0
""
""
34.0
65.0
21.0
22.0
34.0
21.0
21.0
71.0
""
""
""
""
""
""
112.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
258.0
36.0
""
""
""
""
26.0
69.0
65.0
23.0
254.0
335.0
""
26.0
""
85.0
36.0
""
""
""
""
25.0
""
""
""
""
""
""
""
271.0
67.0
66.0
185.0
32.0
101.0
177.0
131.0
1212.0
53.0
""
87.0
335.0
""
""
""
""
596.0
818.0
98.0
""
195.0
288.0
81.0
27.0
465.0
906.0
42.0
709.0
54.0
57.0
3173.0
259.0
53.0
""
""
""
137.0
4788.0
""
""
4945.0
460.0
54.0
""
""
""
""
43.0
""
30.0
114.0
387.0
50.0
495.0
""
117.0
5594.0
28536.0
29.0
""
635.0
210.0
321.0
51.0
""
""
""
""
""
217.0
20.0
""
483.0
1190.0
2731.0
249.0
157.0
88.0
351.0
266.0
255.0
6319.0
257.0
165.0
21.0
""
231.0
54.0
500.0
285.0
490.0
38.0
368.0
802.0
264.0
1925.0
100.0
2569.0
85.0
82.0
288.0
43892.0
1220.0
133.0
1559.0
31.0
3537.0
152.0
2763.0
7177.0
1638.0
812.0
4397.0
564.0
93.0
80.0
""
1628.0
1062.0
192.0
36.0
579.0
271.0
255.0
703.0
3995.0
431.0
441.0
21920.0
451.0
69542.0
1325.0
