coll_other_male_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
41.0
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
134.0
""
""
""
""
49.0
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
320.0
""
""
90.0
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
407.0
""
""
45.0
""
""
230.0
""
27.0
108.0
""
32.0
""
""
110.0
26.0
""
""
1346.0
""
40.0
""
""
39.0
""
""
103.0
24.0
""
463.0
47.0
""
238.0
356.0
""
304.0
586.0
161.0
139.0
29.0
233.0
68.0
363.0
46.0
30.0
""
""
171.0
79.0
84.0
26.0
""
""
47.0
""
128.0
36.0
""
65.0
""
106.0
""
""
""
34.0
""
""
""
""
""
""
""
""
""
74.0
""
21.0
""
""
141.0
""
""
""
""
""
""
""
""
62.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
71.0
56.0
""
""
71.0
28.0
""
""
""
42.0
20.0
38.0
""
""
25.0
""
49.0
147.0
""
""
""
24.0
""
""
""
""
78.0
36.0
""
""
""
""
""
""
""
""
""
""
""
122.0
""
""
""
""
""
""
23.0
22.0
""
""
""
20.0
""
""
109.0
""
""
38.0
""
102.0
21.0
70.0
23.0
80.0
39.0
""
""
""
""
26.0
49.0
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
33.0
""
44.0
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
270.0
1652.0
74.0
214.0
40.0
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
359.0
""
""
""
""
""
103.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
""
""
72.0
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
25.0
