comcoll_asian_pooled_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
69.0
""
""
""
""
""
""
""
57.0
""
""
""
53.0
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
174.0
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
540.0
""
""
121.0
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
""
""
""
52.0
""
""
""
""
""
""
""
""
""
2422.0
""
""
42.0
""
""
1170.0
""
26.0
574.0
""
23.0
23.0
""
261.0
68.0
""
""
10314.0
21.0
92.0
""
""
141.0
""
""
226.0
67.0
""
3719.0
87.0
""
752.0
1216.0
""
1010.0
2339.0
2112.0
625.0
50.0
1486.0
122.0
3417.0
60.0
23.0
""
""
677.0
125.0
209.0
84.0
""
""
123.0
""
525.0
93.0
34.0
143.0
""
226.0
""
""
""
79.0
20.0
""
""
""
""
""
""
""
""
139.0
""
45.0
""
""
127.0
""
""
""
""
""
""
""
""
143.0
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
242.0
226.0
22.0
24.0
156.0
55.0
22.0
""
23.0
115.0
20.0
105.0
53.0
""
40.0
""
63.0
342.0
""
""
""
41.0
""
""
""
""
222.0
74.0
""
""
""
""
""
""
""
""
""
""
""
224.0
""
""
""
""
""
28.0
46.0
30.0
""
""
""
26.0
22.0
""
300.0
""
""
51.0
""
319.0
41.0
158.0
51.0
201.0
65.0
""
""
28.0
""
30.0
110.0
""
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
138.0
""
169.0
""
""
46.0
""
""
""
""
""
""
""
264.0
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
185.0
""
""
""
""
""
""
378.0
""
""
""
""
""
""
""
24.0
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
192.0
2798.0
116.0
267.0
53.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
52.0
""
""
""
""
""
2378.0
""
""
""
""
""
891.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
106.0
""
""
""
322.0
""
""
""
""
""
""
47.0
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
