work_24_other_pooled_n
289.0
144.0
27.0
501.0
302.0
62.0
741.0
32.0
25.0
182.0
232.0
1075.0
25.0
96.0
224.0
""
36.0
273.0
41.0
51.0
319.0
1155.0
261.0
118.0
1180.0
33.0
203.0
739.0
1908.0
60.0
98.0
143.0
1104.0
1117.0
83.0
495.0
36.0
88.0
""
""
234.0
56.0
""
""
35.0
51.0
1163.0
223.0
495.0
166.0
431.0
351.0
121.0
""
""
448.0
37.0
28.0
""
90.0
55.0
551.0
22.0
60.0
59.0
57.0
""
27.0
38.0
44.0
42.0
50.0
65.0
112.0
43.0
21.0
68.0
42.0
22.0
847.0
66.0
111.0
35.0
109.0
978.0
101.0
104.0
521.0
551.0
209.0
108.0
40.0
50.0
342.0
59.0
""
127.0
231.0
2396.0
525.0
585.0
3563.0
1340.0
529.0
763.0
2241.0
599.0
1550.0
95.0
314.0
249.0
225.0
613.0
25.0
636.0
503.0
667.0
30.0
""
""
179.0
76.0
72.0
261.0
58.0
419.0
360.0
48.0
32.0
30.0
3453.0
87.0
157.0
42.0
181.0
70.0
388.0
467.0
34.0
86.0
341.0
341.0
21.0
35.0
116.0
32.0
281.0
77.0
45.0
35.0
68.0
525.0
130.0
22.0
1277.0
339.0
34.0
271.0
32.0
75.0
""
24.0
476.0
2724.0
38.0
7400.0
150.0
62.0
153.0
258.0
4777.0
574.0
119.0
406.0
110.0
43.0
597.0
1203.0
114.0
106.0
77.0
87.0
1261.0
93.0
88.0
1468.0
""
65.0
416.0
""
62.0
365.0
811.0
20.0
35.0
110.0
183.0
181.0
690.0
55.0
631.0
294.0
76.0
164.0
305.0
492.0
1268.0
106.0
158.0
214.0
166.0
248.0
24.0
26.0
499.0
515.0
452.0
2051.0
132.0
170.0
88.0
114.0
175.0
92.0
1738.0
233.0
156.0
193.0
1510.0
507.0
386.0
319.0
20.0
173.0
21.0
106.0
24.0
205.0
""
50.0
159.0
97.0
152.0
391.0
81.0
103.0
263.0
914.0
109.0
254.0
1650.0
274.0
146.0
""
290.0
88.0
57.0
854.0
71.0
460.0
129.0
472.0
742.0
858.0
920.0
10963.0
877.0
4937.0
4781.0
568.0
488.0
121.0
31.0
188.0
27.0
49.0
582.0
238.0
88.0
185.0
2152.0
""
""
5123.0
912.0
92.0
555.0
3021.0
122.0
50.0
32.0
""
49.0
70.0
44.0
42.0
27.0
76.0
73.0
191.0
3420.0
49.0
145.0
196.0
56.0
53.0
27.0
64.0
142.0
""
140.0
202.0
65.0
133.0
350.0
289.0
78.0
240.0
164.0
163.0
47.0
527.0
70.0
51.0
50.0
178.0
334.0
106.0
120.0
350.0
38.0
361.0
519.0
1429.0
120.0
6255.0
564.0
221.0
63.0
2086.0
20.0
50.0
191.0
281.0
119.0
49.0
74.0
63.0
37.0
41.0
90.0
53.0
89.0
22.0
85.0
154.0
23.0
91.0
48.0
83.0
104.0
""
291.0
""
""
44.0
39.0
""
""
""
""
""
76.0
""
""
""
22.0
""
""
108.0
""
""
""
""
""
""
""
""
""
""
""
31.0
38.0
36.0
""
196.0
39.0
""
""
""
""
28.0
157.0
22.0
""
147.0
145.0
""
32.0
""
70.0
47.0
""
""
""
""
29.0
20.0
""
""
""
""
41.0
""
40.0
33.0
29.0
41.0
37.0
21.0
40.0
58.0
444.0
24.0
20.0
""
335.0
20.0
""
""
""
60.0
160.0
""
""
28.0
33.0
29.0
""
49.0
168.0
21.0
324.0
24.0
37.0
973.0
34.0
""
""
""
""
36.0
1603.0
""
""
207.0
22.0
""
""
""
""
""
""
""
""
22.0
22.0
""
65.0
""
29.0
484.0
3096.0
""
""
49.0
42.0
99.0
24.0
""
""
""
""
""
80.0
26.0
""
381.0
471.0
805.0
72.0
91.0
45.0
55.0
377.0
202.0
2075.0
140.0
78.0
""
""
287.0
49.0
443.0
121.0
445.0
45.0
99.0
801.0
716.0
601.0
231.0
2941.0
246.0
28.0
207.0
838.0
165.0
""
40.0
""
104.0
""
63.0
230.0
153.0
""
218.0
40.0
""
""
""
27.0
51.0
""
""
43.0
""
23.0
""
85.0
22.0
""
1303.0
28.0
1857.0
30.0
42.0
""
221.0
21.0
""
""
""
""
38.0
229.0
421.0
125.0
261.0
3977.0
329.0
106.0
56.0
149.0
""
""
""
28.0
""
27.0
""
""
253.0
""
""
215.0
""
""
23.0
35.0
22.0
201.0
62.0
1150.0
2066.0
3222.0
156.0
282.0
209.0
195.0
707.0
103.0
""
322.0
106.0
206.0
3031.0
262.0
288.0
164.0
186.0
""
1635.0
""
""
""
33.0
20.0
47.0
187.0
66.0
84.0
49.0
22.0
""
433.0
52.0
37.0
219.0
""
41.0
""
51.0
58.0
""
""
""
195.0
""
""
81.0
83.0
67.0
""
22.0
220.0
175.0
39.0
""
92.0
""
15077.0
778.0
2044.0
26.0
171.0
""
""
31.0
1069.0
""
3933.0
""
1430.0
192.0
""
225.0
327.0
54.0
232.0
2307.0
108.0
55.0
713.0
95.0
""
176.0
30.0
""
29.0
""
585.0
2565.0
178.0
294.0
""
""
22.0
36.0
""
83.0
300.0
""
""
440.0
280.0
446.0
91.0
301.0
1622.0
1170.0
1998.0
858.0
6944.0
5424.0
80.0
20.0
23.0
886.0
1105.0
12507.0
3775.0
""
33.0
6305.0
245.0
1087.0
24182.0
110.0
78.0
109.0
120.0
1033.0
144.0
426.0
3856.0
108.0
1729.0
152.0
383.0
510.0
51.0
""
229.0
""
""
""
310.0
205.0
11027.0
