wgflx_rk_asian_male_n
""
""
""
""
""
""
42.0
""
""
""
""
97.0
""
""
""
""
""
""
""
""
""
""
""
""
72.0
""
""
""
125.0
""
""
""
68.0
31.0
""
21.0
""
""
""
""
""
""
""
""
""
""
99.0
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
114.0
28.0
""
157.0
48.0
""
""
117.0
""
76.0
""
""
""
""
25.0
""
25.0
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
237.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
188.0
""
738.0
""
""
""
""
305.0
27.0
""
""
""
""
""
49.0
""
""
""
""
24.0
""
""
54.0
""
""
""
""
""
""
33.0
""
""
""
""
""
22.0
""
""
""
""
""
""
22.0
61.0
""
""
""
""
""
""
""
""
""
""
93.0
""
""
""
""
""
""
67.0
""
""
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
39.0
""
""
79.0
""
""
""
""
""
""
31.0
""
29.0
""
32.0
62.0
38.0
38.0
2234.0
117.0
1035.0
473.0
36.0
""
""
""
""
""
""
22.0
""
""
""
51.0
""
""
411.0
51.0
""
28.0
191.0
""
""
""
""
""
""
""
""
""
""
""
""
315.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
36.0
""
""
24.0
""
""
""
29.0
""
""
""
""
""
""
""
""
""
20.0
20.0
72.0
""
986.0
""
""
""
98.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
37.0
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
163.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
""
""
""
""
73.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
73.0
""
47.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
513.0
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
148.0
338.0
""
""
""
""
""
""
""
""
""
""
83.0
""
""
""
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
791.0
22.0
75.0
""
""
""
""
""
""
""
136.0
""
30.0
""
""
""
""
""
""
51.0
""
""
""
""
""
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
89.0
78.0
209.0
55.0
485.0
958.0
""
""
""
43.0
40.0
1898.0
179.0
""
""
598.0
""
42.0
3931.0
""
""
""
""
""
""
""
189.0
""
31.0
""
""
""
""
""
""
""
""
""
""
""
633.0
