grad_hisp_female_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
30.0
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
100.0
41.0
25.0
20.0
""
""
1727.0
63.0
21.0
741.0
105.0
104.0
42.0
210.0
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
689.0
""
""
80.0
""
21.0
435.0
""
29.0
956.0
""
24.0
386.0
""
683.0
156.0
""
""
10847.0
179.0
43.0
""
32.0
291.0
""
""
510.0
88.0
""
2008.0
87.0
""
1777.0
565.0
102.0
2003.0
1968.0
256.0
526.0
102.0
417.0
304.0
1023.0
192.0
40.0
""
""
228.0
182.0
465.0
78.0
29.0
""
533.0
""
719.0
131.0
38.0
339.0
21.0
234.0
""
""
""
82.0
22.0
""
""
""
""
""
""
""
""
496.0
""
42.0
""
""
228.0
""
""
""
""
""
""
""
""
215.0
""
""
""
25.0
71.0
24.0
""
""
44.0
""
""
""
""
26.0
25.0
""
""
""
""
""
202.0
""
""
""
""
""
""
""
""
""
""
162.0
""
251.0
234.0
""
""
182.0
32.0
""
""
""
71.0
20.0
99.0
33.0
""
""
""
89.0
707.0
""
22.0
""
21.0
103.0
""
""
""
105.0
33.0
""
""
""
""
""
""
""
""
23.0
28.0
25.0
455.0
""
25.0
""
""
""
44.0
125.0
27.0
""
""
""
53.0
47.0
22.0
2487.0
43.0
""
27.0
22.0
464.0
151.0
376.0
62.0
123.0
139.0
""
21.0
54.0
""
55.0
135.0
""
""
""
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
30.0
""
86.0
""
""
""
""
""
""
""
""
""
""
89.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
""
""
""
""
103.0
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
38.0
295.0
""
37.0
48.0
""
""
""
""
21.0
""
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
2572.0
""
""
""
""
""
273.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
274.0
24.0
""
""
248.0
33.0
""
""
""
""
""
39.0
""
""
